,label
72,3
75,3
79,3
83,3
86,3
88,3
91,3
95,3
99,3
101,3
105,3
118,3
119,3
120,3
121,3
123,3
124,3
126,3
127,3
129,3
222,3
231,3
242,3
293,3
307,3
323,3
336,3
339,3
340,3
345,3
349,3
353,3
356,3
363,3
368,3
376,3
380,3
387,3
392,3
399,3
405,3
406,3
408,3
410,3
413,3
419,3
425,3
429,3
430,3
435,3
439,3
440,3
444,3
446,3
453,3
462,3
474,3
479,3
490,3
497,3
498,3
502,3
507,3
509,3
526,3
757,3
763,3
767,3
781,3
802,3
3496,3
3499,3
3503,3
3509,3
3517,3
3523,3
3529,3
3547,3
3552,3
3571,3
3582,3
3608,3
3616,3
3625,3
3627,3
3629,3
3632,3
3640,3
3644,3
3645,3
3657,3
3658,3
3663,3
3674,3
3685,3
3688,3
3698,3
3700,3
3718,3
3734,3
3742,3
3746,3
3750,3
3751,3
3756,3
3757,3
3759,3
3764,3
3768,3
3773,3
3776,3
3781,3
3789,3
3793,3
3794,3
3795,3
3801,3
3812,3
3823,3
3833,3
3843,3
3854,3
3859,3
3862,3
3863,3
3869,3
3870,3
3872,3
3875,3
3876,3
3881,3
3884,3
3889,3
3898,3
3903,3
3904,3
3914,3
3919,3
3923,3
3929,3
3930,3
3932,3
3935,3
3944,3
3949,3
3956,3
3960,3
3968,3
3971,3
3976,3
3981,3
3987,3
3989,3
3990,3
3995,3
3996,3
4000,3
4005,3
4008,3
4012,3
4015,3
4026,3
4028,3
4030,3
4032,3
4033,3
4035,3
4046,3
4047,3
4057,3
4063,3
4068,3
4070,3
4072,3
4075,3
4084,3
4089,3
4097,3
4098,3
4099,3
4100,3
4107,3
4123,3
4124,3
4126,3
4127,3
4128,3
4139,3
4140,3
4141,3
4142,3
4145,3
4147,3
4150,3
4151,3
4153,3
4155,3
4171,3
4173,3
4175,3
4177,3
4179,3
4182,3
4183,3
4189,3
4198,3
4200,3
4206,3
4208,3
4222,3
4227,3
4229,3
4231,3
4234,3
4243,3
4246,3
4255,3
4256,3
4257,3
4260,3
4263,3
4267,3
4268,3
4272,3
4274,3
4275,3
4276,3
4278,3
4284,3
4292,3
4293,3
4296,3
4303,3
4308,3
4312,3
4316,3
4320,3
4326,3
4328,3
4334,3
4343,3
4345,3
4347,3
4353,3
4355,3
4371,3
4373,3
4374,3
4376,3
4378,3
4379,3
4381,3
4382,3
4383,3
4403,3
4404,3
4405,3
4406,3
4408,3
4410,3
4411,3
4412,3
4419,3
4424,3
4427,3
4431,3
4433,3
4438,3
4442,3
4447,3
4449,3
4450,3
4459,3
4460,3
4462,3
4465,3
4469,3
4474,3
4475,3
4476,3
4478,3
4486,3
4491,3
4495,3
4497,3
4503,3
4507,3
4510,3
4512,3
4519,3
4522,3
4526,3
4528,3
4531,3
4534,3
4543,3
4547,3
4548,3
4551,3
4552,3
4554,3
4555,3
4557,3
4561,3
4565,3
4569,3
4572,3
4575,3
4579,3
4584,3
4585,3
4586,3
4590,3
4592,3
4598,3
4600,3
4605,3
4606,3
4607,3
4609,3
4614,3
4615,3
4629,3
4630,3
4633,3
4639,3
4643,3
4645,3
4646,3
4647,3
4650,3
4659,3
4664,3
4668,3
4671,3
4677,3
4678,3
4683,3
4685,3
4690,3
4691,3
4692,3
4693,3
4695,3
4696,3
4699,3
4708,3
4709,3
4711,3
4712,3
4715,3
4722,3
4724,3
4726,3
4732,3
4733,3
4735,3
4737,3
4739,3
4740,3
4743,3
4747,3
4748,3
4750,3
4752,3
4753,3
4755,3
4756,3
4762,3
4768,3
4772,3
4779,3
4780,3
4781,3
4782,3
4787,3
4791,3
4794,3
4805,3
4806,3
4807,3
4812,3
4814,3
4817,3
4822,3
4826,3
4827,3
4832,3
4837,3
4840,3
4846,3
4853,3
4854,3
4855,3
4856,3
4857,3
4858,3
4859,3
4860,3
4863,3
