x,y,z,UDNS_0,UDNS_1,UDNS_2
1.87536,0.0768397,0.05,0,0,0
1.87536,0.0798018,0.05,-0.000692508,0.000251818,4.97979e-07
1.87536,0.0827639,0.05,-0.00126757,0.000458562,9.10915e-07
1.87536,0.0857261,0.05,-0.00177003,0.000633895,1.26647e-06
1.87536,0.0886882,0.05,-0.00221946,0.000782724,1.59335e-06
1.87536,0.0916503,0.05,-0.0026182,0.00092058,1.93463e-06
1.87536,0.0946124,0.05,-0.00298891,0.00105343,2.29944e-06
1.87536,0.0975746,0.05,-0.00329435,0.0011649,2.82631e-06
1.87536,0.100537,0.05,-0.00357841,0.00127021,3.36944e-06
1.87536,0.103499,0.05,-0.00382417,0.00136067,4.05235e-06
1.87536,0.106461,0.05,-0.0040406,0.00144365,4.71074e-06
1.87536,0.109423,0.05,-0.00423544,0.00151703,5.49565e-06
1.87536,0.112385,0.05,-0.00440788,0.00158379,6.2152e-06
1.87536,0.115347,0.05,-0.00455931,0.00164114,7.03262e-06
1.87536,0.118309,0.05,-0.00469703,0.0016957,7.76443e-06
1.87536,0.121272,0.05,-0.00481564,0.001742,8.52459e-06
1.87536,0.124234,0.05,-0.0049298,0.00178883,9.23508e-06
1.87536,0.127196,0.05,-0.0050207,0.00182508,9.82164e-06
1.87536,0.130158,0.05,-0.00511087,0.00186078,1.04326e-05
1.87536,0.13312,0.05,-0.00518154,0.00189051,1.08519e-05
1.87536,0.136082,0.05,-0.00524801,0.00191808,1.12263e-05
1.87536,0.139044,0.05,-0.00530759,0.0019454,1.16382e-05
1.87536,0.142006,0.05,-0.00535661,0.00196741,1.18037e-05
1.87536,0.144969,0.05,-0.00540414,0.00198841,1.20236e-05
1.87536,0.147931,0.05,-0.00544129,0.00200748,1.21216e-05
1.87536,0.150893,0.05,-0.00547451,0.00202397,1.20282e-05
1.87536,0.153855,0.05,-0.00550345,0.00203944,1.21478e-05
1.87536,0.156817,0.05,-0.00552654,0.00205401,1.18683e-05
1.87536,0.159779,0.05,-0.00554745,0.00206656,1.15316e-05
1.87536,0.162741,0.05,-0.00556555,0.00207903,1.15014e-05
1.87536,0.165703,0.05,-0.00557619,0.00208752,1.09064e-05
1.87536,0.168665,0.05,-0.00558684,0.00209601,1.03114e-05
1.87536,0.171628,0.05,-0.0055931,0.00210385,9.91244e-06
1.87536,0.17459,0.05,-0.00559461,0.00210921,9.08839e-06
1.87536,0.177552,0.05,-0.00559611,0.00211458,8.26435e-06
1.87536,0.180514,0.05,-0.00559354,0.00211946,7.50795e-06
1.87536,0.183476,0.05,-0.00558782,0.00212234,6.53717e-06
