x,y,z,UDNS_0,UDNS_1,UDNS_2
3.1585,0,0.05,0,0,0
3.1585,0.00303904,0.05,-0.00075072,-1.0935e-06,-9.68647e-06
3.1585,0.00607808,0.05,-0.00141411,-2.91673e-06,-1.89204e-05
3.1585,0.00911712,0.05,-0.00195945,-6.2427e-06,-2.80091e-05
3.1585,0.0121562,0.05,-0.00240338,-1.07793e-05,-3.68485e-05
3.1585,0.0151952,0.05,-0.00275908,-1.63826e-05,-4.52948e-05
3.1585,0.0182342,0.05,-0.00304199,-2.29254e-05,-5.33017e-05
3.1585,0.0212733,0.05,-0.00326875,-3.02666e-05,-6.07766e-05
3.1585,0.0243123,0.05,-0.00343513,-3.85277e-05,-6.75399e-05
3.1585,0.0273514,0.05,-0.00356925,-4.73331e-05,-7.38435e-05
3.1585,0.0303904,0.05,-0.00367501,-5.66516e-05,-7.97021e-05
3.1585,0.0334294,0.05,-0.00375079,-6.65579e-05,-8.49897e-05
3.1585,0.0364685,0.05,-0.00381379,-7.67383e-05,-8.99992e-05
3.1585,0.0395075,0.05,-0.00385667,-8.73653e-05,-9.45609e-05
3.1585,0.0425465,0.05,-0.00388421,-9.83469e-05,-9.86726e-05
3.1585,0.0455856,0.05,-0.00390381,-0.000109514,-0.000102565
3.1585,0.0486246,0.05,-0.00390846,-0.000121054,-0.0001059
3.1585,0.0516637,0.05,-0.00391071,-0.000132654,-0.000109124
3.1585,0.0547027,0.05,-0.00390222,-0.000144529,-0.000111785
3.1585,0.0577417,0.05,-0.00389211,-0.000156442,-0.000114311
3.1585,0.0607808,0.05,-0.00387445,-0.000168535,-0.000116332
3.1585,0.0638198,0.05,-0.00385556,-0.000180657,-0.000118229
3.1585,0.0668589,0.05,-0.00383084,-0.000192936,-0.000119687
3.1585,0.0698979,0.05,-0.00380567,-0.000205227,-0.000121079
3.1585,0.0729369,0.05,-0.00377555,-0.000217686,-0.000122087
3.1585,0.075976,0.05,-0.00374543,-0.000230144,-0.000123094
3.1585,0.079015,0.05,-0.00371167,-0.000242713,-0.00012383
3.1585,0.0820541,0.05,-0.00367749,-0.000255296,-0.000124563
3.1585,0.0850931,0.05,-0.00364136,-0.000267932,-0.000125189
3.1585,0.0881321,0.05,-0.003604,-0.000280614,-0.00012577
3.1585,0.0911712,0.05,-0.00356605,-0.000293311,-0.000126317
3.1585,0.0942102,0.05,-0.00352624,-0.000306098,-0.000126725
3.1585,0.0972492,0.05,-0.00348643,-0.000318885,-0.000127133
3.1585,0.100288,0.05,-0.00344541,-0.000331728,-0.000127404
3.1585,0.103327,0.05,-0.00340398,-0.000344607,-0.000127599
3.1585,0.106366,0.05,-0.00336238,-0.00035748,-0.000127806
3.1585,0.109405,0.05,-0.00331969,-0.000370432,-0.000127861
3.1585,0.112444,0.05,-0.003277,-0.000383384,-0.000127916
3.1585,0.115483,0.05,-0.00323386,-0.000396318,-0.000127976
3.1585,0.118523,0.05,-0.00319012,-0.000409287,-0.000127968
3.1585,0.121562,0.05,-0.00314637,-0.000422256,-0.00012796
3.1585,0.124601,0.05,-0.00310211,-0.00043519,-0.000127973
