x,y,z,UDNS_0,UDNS_1,UDNS_2
1.08573,0.522747,0.05,0,0,0
1.08573,0.525263,0.05,-0.000224352,0.000144641,6.69366e-07
1.08573,0.527779,0.05,-0.000441956,0.00028483,1.31938e-06
1.08573,0.530294,0.05,-0.000641107,0.000413046,1.94907e-06
1.08573,0.53281,0.05,-0.000815884,0.000524895,2.41775e-06
1.08573,0.535326,0.05,-0.000973541,0.000626034,2.70285e-06
1.08573,0.537842,0.05,-0.00111744,0.000719392,2.68626e-06
1.08573,0.540357,0.05,-0.0012548,0.000813482,2.57443e-06
1.08573,0.542873,0.05,-0.00139048,0.000907879,2.43266e-06
1.08573,0.545389,0.05,-0.0015233,0.00100229,2.23973e-06
1.08573,0.547905,0.05,-0.0016562,0.00109492,2.18613e-06
1.08573,0.55042,0.05,-0.00178794,0.00118617,2.02999e-06
1.08573,0.552936,0.05,-0.00191303,0.00127309,1.95575e-06
1.08573,0.555452,0.05,-0.00203712,0.00135974,1.7935e-06
1.08573,0.557968,0.05,-0.00215148,0.00144026,1.79375e-06
1.08573,0.560484,0.05,-0.00226402,0.00152011,1.72297e-06
1.08573,0.562999,0.05,-0.00236824,0.00159388,1.81669e-06
1.08573,0.565515,0.05,-0.0024706,0.00166615,1.85598e-06
1.08573,0.568031,0.05,-0.00256441,0.00173223,2.02326e-06
1.08573,0.570547,0.05,-0.00265542,0.0017965,2.18236e-06
1.08573,0.573062,0.05,-0.00274104,0.00185725,2.37763e-06
1.08573,0.575578,0.05,-0.00282345,0.00191566,2.61893e-06
1.08573,0.578094,0.05,-0.00290333,0.00197271,2.82245e-06
1.08573,0.58061,0.05,-0.00297578,0.00202445,3.13568e-06
1.08573,0.583125,0.05,-0.00304778,0.00207895,2.53731e-06
1.08573,0.585641,0.05,-0.00310827,0.00212004,3.70489e-06
1.08573,0.588157,0.05,-0.00316764,0.00216374,4.08746e-06
1.08573,0.590673,0.05,-0.00322308,0.00220548,4.2689e-06
1.08573,0.593189,0.05,-0.00327371,0.00224368,4.60673e-06
1.08573,0.595704,0.05,-0.00332403,0.00228407,4.1529e-06
1.08573,0.59822,0.05,-0.00336698,0.00231465,4.95841e-06
1.08573,0.600736,0.05,-0.00340843,0.00234664,5.21498e-06
1.08573,0.603252,0.05,-0.00344729,0.00237724,5.13994e-06
