0.00102579 	0.000350352 	-3.32485e-07 	-1.77653e-26
0.00324584 	0.000789795 	-1.35989e-06 	-5.44452e-26
0.00588381 	0.000911898 	-3.04958e-06 	-5.56839e-26
0.00889561 	0.000960972 	-5.22103e-06 	-7.00625e-25
0.0122408 	0.000987576 	-7.73554e-06 	4.51412e-25
0.0158868 	0.001007 	-1.05689e-05 	1.79452e-24
0.0198092 	0.0010247 	-1.37121e-05 	-6.16131e-25
0.0239917 	0.00104292 	-1.71401e-05 	-1.24366e-24
0.0284241 	0.00106251 	-2.08135e-05 	2.73462e-24
0.0331018 	0.00108366 	-2.47139e-05 	2.84946e-24
0.0380237 	0.00110645 	-2.88529e-05 	-3.29938e-24
0.0431921 	0.00113098 	-3.32454e-05 	-3.00086e-24
0.0486116 	0.00115734 	-3.7901e-05 	-6.24423e-24
0.0542883 	0.00118568 	-4.283e-05 	8.84298e-25
0.0602299 	0.00121612 	-4.80446e-05 	1.31078e-23
0.0664452 	0.00124884 	-5.35584e-05 	-1.31203e-24
0.0729439 	0.00128399 	-5.93859e-05 	-7.60951e-24
0.0797362 	0.00132176 	-6.55415e-05 	-2.01937e-25
0.0868332 	0.00136236 	-7.20392e-05 	-2.52765e-23
0.0942464 	0.00140603 	-7.88929e-05 	-4.54676e-23
0.101988 	0.00145303 	-8.61162e-05 	1.63706e-23
0.11007 	0.00150364 	-9.37198e-05 	2.638e-23
0.118505 	0.00155817 	-0.000101714 	1.99195e-23
0.127306 	0.00161699 	-0.000110109 	3.97187e-23
0.136488 	0.00168046 	-0.000118918 	-3.07427e-23
0.146063 	0.00174896 	-0.000128151 	-2.99035e-23
0.156046 	0.00182292 	-0.000137824 	-2.24191e-23
0.166451 	0.00190281 	-0.000147953 	-4.44219e-23
0.177292 	0.00198915 	-0.000158556 	2.88298e-23
0.188585 	0.00208252 	-0.000169653 	1.22479e-24
0.200343 	0.00218353 	-0.000181265 	1.09789e-22
0.212583 	0.00229281 	-0.000193417 	1.38391e-22
0.225318 	0.00241105 	-0.000206131 	-4.4325e-23
0.238565 	0.00253894 	-0.000219433 	-3.58831e-25
0.252337 	0.00267718 	-0.000233343 	-6.05173e-23
0.266651 	0.00282651 	-0.000247873 	-6.23057e-23
0.28152 	0.00298766 	-0.000263028 	-7.26825e-23
0.296961 	0.00316142 	-0.000278802 	-6.22205e-23
0.312986 	0.00334863 	-0.000295176 	2.91847e-22
0.32961 	0.00355019 	-0.000312117 	2.96772e-22
0.346847 	0.00376705 	-0.000329582 	7.91227e-23
0.364709 	0.00400024 	-0.000347514 	-3.6136e-22
0.38321 	0.00425085 	-0.000365844 	1.17544e-22
0.402362 	0.00452003 	-0.000384487 	-1.61888e-22
0.422175 	0.00480893 	-0.000403348 	2.41875e-22
0.442659 	0.00511876 	-0.000422312 	-1.94824e-22
0.463825 	0.00545069 	-0.000441253 	-5.36509e-22
0.485681 	0.0058059 	-0.000460024 	-1.45838e-23
0.508233 	0.00618557 	-0.000478464 	-3.25133e-23
0.531487 	0.00659078 	-0.000496392 	-4.10838e-22
0.555448 	0.00702258 	-0.000513612 	-1.88307e-22
0.58012 	0.00748191 	-0.00052991 	2.36677e-22
0.605503 	0.00796958 	-0.000545059 	6.53253e-22
0.631598 	0.00848621 	-0.000558817 	-6.98474e-22
0.658402 	0.00903218 	-0.000570936 	-2.37336e-22
0.685912 	0.00960758 	-0.000581159 	6.46153e-22
0.714123 	0.0102121 	-0.000589234 	1.63612e-21
0.743026 	0.010845 	-0.000594919 	4.22985e-22
0.772613 	0.0115051 	-0.000597992 	-2.50749e-22
0.802872 	0.0121905 	-0.000598268 	-1.12453e-21
0.833789 	0.0128987 	-0.000595606 	-2.61684e-22
0.865349 	0.0136265 	-0.000589927 	-2.6653e-22
0.897534 	0.01437 	-0.000581232 	-2.36759e-22
0.930323 	0.0151248 	-0.000569604 	1.72241e-22
0.963695 	0.0158856 	-0.000555221 	4.23616e-22
0.997626 	0.0166469 	-0.00053835 	1.99058e-21
1.03209 	0.0174032 	-0.000519336 	-2.24235e-22
1.06706 	0.0181488 	-0.000498589 	-2.46689e-21
1.1025 	0.0188785 	-0.000476555 	-4.72532e-22
1.13839 	0.0195878 	-0.000453692 	-2.08838e-22
1.17469 	0.0202729 	-0.000430448 	1.77582e-24
1.21136 	0.0209305 	-0.00040724 	8.01279e-22
1.24837 	0.0215579 	-0.000384434 	1.55798e-21
1.28569 	0.022153 	-0.000362338 	-4.16781e-21
1.32327 	0.0227145 	-0.000341179 	1.45116e-21
1.36107 	0.0232421 	-0.000321108 	9.36321e-22
1.39905 	0.0237359 	-0.00030221 	1.59026e-21
1.43718 	0.024197 	-0.000284522 	-1.70144e-21
1.47541 	0.0246267 	-0.00026803 	-1.9962e-23
1.51369 	0.0250273 	-0.000252573 	3.19989e-22
1.552 	0.025402 	-0.000237739 	-3.12764e-22
1.59028 	0.0257548 	-0.000223131 	-1.84526e-21
1.62849 	0.0260876 	-0.000208546 	1.65151e-21
1.66659 	0.0263996 	-0.000194092 	1.20941e-21
1.70455 	0.0266903 	-0.000179957 	-5.64363e-22
1.74231 	0.0269591 	-0.000166266 	1.35638e-22
1.77985 	0.0272061 	-0.000153093 	3.57382e-22
1.81712 	0.0274316 	-0.000140482 	-1.50025e-21
1.85409 	0.0276362 	-0.000128446 	6.61179e-22
1.89072 	0.0278206 	-0.000116977 	2.9722e-22
1.92697 	0.0279855 	-0.000106056 	-1.66373e-22
1.96282 	0.0281315 	-9.56601e-05 	4.30103e-22
