y,nut,omega
0,0,40115.59
0.00086769924,9.9533808e-11,23398.633
0.0017874829,2.4270628e-09,4417.9372
0.0027624773,2.2744353e-08,1559.8443
0.0037959966,1.2651946e-07,742.88843
0.0048915537,5.0811614e-07,417.25388
0.0060528726,1.6348886e-06,259.48119
0.0072839007,4.4701944e-06,172.74195
0.0085888223,1.0734742e-05,120.69736
0.0099720729,2.3033961e-05,87.466608
0.011438354,4.4585479e-05,65.306798
0.01299265,7.851994e-05,50.088353
0.014640245,0.00012719859,39.412035
0.016386737,0.00019200802,31.776847
0.018238064,0.0002735979,26.202413
0.020200518,0.00037223982,22.039922
0.022280771,0.00048809795,18.859343
0.024485892,0.00062137747,16.374564
0.026823378,0.00077238754,14.393273
0.029301173,0.00094155851,12.784186
0.0319277,0.0011294386,11.455999
0.034711887,0.001336683,10.343949
0.037663197,0.0015640413,9.4011883
0.040791661,0.0018123448,8.5931911
0.044107915,0.002082495,7.8940573
0.047623229,0.0023754528,7.2840402
0.051349553,0.0026922279,6.7478565
0.055299553,0.0030338686,6.2735145
0.059486654,0.0034014508,5.8514858
0.06392509,0.003796067,5.4741127
0.068629948,0.0042188137,5.1351751
0.073617218,0.0046707778,4.8295728
0.078903853,0.0051530218,4.5530864
0.084507823,0.0056665668,4.3021973
0.090448176,0.0062123745,4.0739498
0.096745104,0.0067913263,3.8658439
0.10342001,0.007404201,3.6757523
0.11049558,0.0080516502,3.5018547
0.11799587,0.008734172,3.3425856
0.12594638,0.0094520821,3.1965922
0.13437411,0.010205484,3.0627008
0.14330773,0.010994237,2.9398895
0.1527776,0.011817924,2.8272652
0.1628159,0.012675818,2.7240454
0.17345677,0.013566851,2.6295428
0.18473635,0.014489581,2.5431519
0.19669301,0.015442163,2.4643382
0.20936737,0.016422325,2.392629
0.22280253,0.017427348,2.3276045
0.23704414,0.018454051,2.2688914
0.25214061,0.019498787,2.2161552
0.26814327,0.020557449,2.1690944
0.28510649,0.021625485,2.1274346
0.30308795,0.022697934,2.0909213
0.32214876,0.023769469,2.0593144
0.34235371,0.024834463,2.0323801
0.36377149,0.025887071,2.0098834
0.38647488,0.026921329,1.9915784
0.41054106,0.027931274,1.9771977
0.43605183,0.028911076,1.9664399
0.46309391,0.02985518,1.958955
0.49175922,0.030758345,1.9543357
0.52214518,0.031616132,1.9520778
0.55435509,0.032425104,1.9515577
0.58849842,0.033182444,1.952045
0.62469124,0.033886465,1.952659
0.66305656,0.034536562,1.9523605
0.70372479,0.035133466,1.9499334
0.74683417,0.035679577,1.9439717
0.79253123,0.036177373,1.9329252
0.84097128,0.036632997,1.9151444
0.892319,0.03705393,1.8889719
0.9467489,0.03744581,1.8528792
1.004446,0.03781525,1.8056471
1.0656064,0.03816809,1.7465815
1.1304381,0.038507811,1.6757368
1.1668563,0.038680428,1.6324562
1.1991613,0.038833563,1.5941006
1.2720096,0.039137785,1.5036627
1.3492308,0.039403919,1.4073487
1.4310872,0.039596141,1.3091193
1.5178571,0.039675081,1.2139211
1.6046271,0.039627111,1.1277671
1.6864835,0.03943678,1.0547998
1.7637046,0.039075415,0.99530311
1.836553,0.0385346,0.94765957
1.9052762,0.037823419,0.90997092
1.9701079,0.036955886,0.88061224
2.0312683,0.035947911,0.85829645
2.0889654,0.034815838,0.84205306
2.1433953,0.033576338,0.83116993
2.194743,0.032245812,0.82514645
2.2431831,0.030840555,0.82364375
2.2888801,0.029376902,0.82645682
2.3319895,0.02787055,0.83350278
2.3726577,0.026336639,0.8447939
2.411023,0.024789733,0.8604304
2.4472159,0.023243631,0.88059817
2.4813592,0.021711246,0.90556896
2.5135691,0.020204496,0.9357041
2.5439551,0.018734219,0.97146064
2.5726204,0.017310105,1.0133994
2.5826574,0.016801815,1.0315104
2.5996625,0.01594068,1.0621936
2.6251732,0.014633216,1.11864
2.6492394,0.013393746,1.1836672
2.6719428,0.012227056,1.2583418
2.6933606,0.011136662,1.3438704
2.7135655,0.010124805,1.4415935
2.7326263,0.0091924463,1.5529697
2.7506078,0.0083392897,1.6795454
2.767571,0.0075638221,1.8229095
2.7835737,0.0068633899,1.9846316
2.7986701,0.0062343156,2.1661894
2.8129118,0.005672059,2.3688899
2.8263469,0.0051714154,2.5937984
2.8390213,0.0047267246,2.8416875
2.8509779,0.0043321521,3.113019
2.8622575,0.003981881,3.4079681
2.8728984,0.0036702738,3.7264922
2.8829367,0.0033920708,4.0684389
2.8924066,0.0031424771,4.4336795
2.9013402,0.0029172204,4.822256
2.9097679,0.0027125692,5.2345261
2.9177184,0.0025253212,5.6712967
2.9252187,0.0023527703,6.1339407
2.9322943,0.0021926611,6.6244972
2.9389692,0.002043138,7.1457589
2.9452661,0.0019026931,7.7013547
2.9512065,0.001770116,8.2958351
2.9568104,0.0016444482,8.934772
2.9620971,0.0015249422,9.6248805
2.9670843,0.0014110183,10.374177
2.9717892,0.0013022386,11.192182
2.9762276,0.0011982834,12.090188
2.9804147,0.0010989201,13.081592
2.9843647,0.0010039862,14.182344
2.9880911,0.00091337221,15.411513
2.9916064,0.00082700778,16.792027
2.9949226,0.00074485038,18.351623
2.9980511,0.00066687586,20.124101
3.0010024,0.00059307129,22.150968
3.0037866,0.0005234294,24.483618
3.0064131,0.00045794485,27.186267
3.0088909,0.00039661226,30.339944
3.0112284,0.00033942599,34.04801
3.0134335,0.00028638236,38.443979
3.0155138,0.00023748481,43.70292
3.0174762,0.0001927536,50.058822
3.0193275,0.00015224185,57.832808
3.021074,0.00011606116,67.482692
3.0227216,8.4416395e-05,79.698638
3.0242759,5.7635509e-05,95.603827
3.0257422,3.6141251e-05,117.19396
3.0271255,2.0263582e-05,148.29834
3.0284304,9.8639687e-06,196.64672
3.0296614,4.0457707e-06,278.52056
3.0308227,1.3518954e-06,430.98555
3.0319183,3.5001189e-07,751.65543
3.0329518,6.4031731e-08,1564.5936
3.0339268,6.8749198e-09,4419.9215
3.0348466,2.8234595e-10,23398.832
3.0357143,0,40115.019
