y,I01,I02
0,2.4435197e-09,-2.4434154e-09
0.00086769924,5.7909471e-08,-5.789278e-08
0.0017874829,6.9600269e-07,-6.9556144e-07
0.0027624773,4.3624988e-06,-4.3578586e-06
0.0037959966,1.8634224e-05,-1.8605126e-05
0.0048915537,6.2045864e-05,-6.1914566e-05
0.0060528726,0.00017317924,-0.00017270765
0.0072839007,0.00042075552,-0.0004193281
0.0085888223,0.00090321303,-0.00089945282
0.0099720729,0.0017131939,-0.0017044171
0.011438354,0.0028550735,-0.0028367441
0.01299265,0.0041757801,-0.0041413267
0.014640245,0.0054153725,-0.0053566729
0.016386737,0.0063625122,-0.0062708105
0.018238064,0.0069567911,-0.0068233579
0.020200518,0.0072601101,-0.0070763385
0.022280771,0.0073743108,-0.0071315742
0.024485892,0.0073872421,-0.0070768031
0.026823378,0.0073582004,-0.0069711547
0.029301173,0.0073224188,-0.0068496146
0.0319277,0.0072992585,-0.0067312064
0.034711887,0.0072987035,-0.0066255006
0.037663197,0.0073256043,-0.006536869
0.040791661,0.0073819985,-0.006466831
0.044107915,0.0074684612,-0.0064154137
0.047623229,0.0075849898,-0.0063820228
0.051349553,0.0077313744,-0.0063658147
0.055299553,0.0079073702,-0.0063658704
0.059486654,0.0081127945,-0.0063812958
0.06392509,0.0083476165,-0.0064113059
0.068629948,0.0086119737,-0.0064552387
0.073617218,0.0089061598,-0.0065125439
0.078903853,0.00923064,-0.0065827954
0.084507823,0.0095860524,-0.0066656905
0.090448176,0.0099731869,-0.0067610308
0.096745104,0.010393011,-0.0068687444
0.10342001,0.010846689,-0.0069889008
0.11049558,0.011335486,-0.0071216429
0.11799587,0.011860785,-0.0072672162
0.12594638,0.01242415,-0.0074260112
0.13437411,0.013027246,-0.0075985102
0.14330773,0.013671816,-0.00778529
0.1527776,0.014359716,-0.0079870621
0.1628159,0.015092866,-0.0082046556
0.17345677,0.015873202,-0.0084390063
0.18473635,0.016702672,-0.0086911947
0.19669301,0.017583174,-0.0089624291
0.20936737,0.018516477,-0.0092540268
0.22280253,0.019504139,-0.0095674083
0.23704414,0.020547443,-0.0099040938
0.25214061,0.0216473,-0.01026569
0.26814327,0.022804166,-0.010653872
