y,nut,omega
0,0,40115.22
0.00086769924,7.3906524e-11,23398.803
0.0017874829,1.8015507e-09,4418.8701
0.0027624773,1.6864679e-08,1561.3419
0.0037959966,9.3571452e-08,745.16594
0.0048915537,3.7382996e-07,420.44414
0.0060528726,1.1919828e-06,263.62547
0.0072839007,3.2163063e-06,177.75648
0.0085888223,7.6002623e-06,126.35052
0.0099720729,1.6057199e-05,93.391565
0.011438354,3.0755456e-05,71.074062
0.01299265,5.4030468e-05,55.322392
0.014640245,8.8059261e-05,43.887473
0.016386737,0.0001346477,35.438146
0.018238064,0.00019515956,29.115898
0.020200518,0.00027054847,24.327908
0.022280771,0.00036145857,20.652431
0.024485892,0.0004683278,17.788563
0.026823378,0.00059148165,15.521979
0.029301173,0.00073121822,13.699799
0.0319277,0.00088785398,12.212719
0.034711887,0.0010617456,10.98202
0.037663197,0.0012532961,9.9504163
0.040791661,0.001462951,9.0757144
0.044107915,0.0016911932,8.326403
0.047623229,0.0019385367,7.6786039
0.051349553,0.0022055169,7.1139859
0.055299553,0.0024926781,6.6183025
0.059486654,0.0028005634,6.1803477
0.06392509,0.0031297091,5.7911955
0.068629948,0.0034806318,5.4436654
0.073617218,0.0038538094,5.1319363
0.078903853,0.0042496668,4.8512467
0.084507823,0.0046685556,4.5976737
0.090448176,0.0051107295,4.3679656
0.096745104,0.0055763016,4.1594252
0.10342001,0.0060652213,3.9698001
0.11049558,0.0065772697,3.797185
0.11799587,0.0071120323,3.6399627
0.12594638,0.0076688655,3.496761
0.13437411,0.0082468685,3.3664135
0.14330773,0.0088449027,3.2479104
0.1527776,0.009461567,3.1403797
0.1628159,0.010095128,3.0430869
0.17345677,0.010743487,2.95542
0.18473635,0.011404144,2.8768773
0.19669301,0.012074168,2.8070598
0.20936737,0.012750157,2.7456645
0.22280253,0.013428209,2.6924833
0.23704414,0.014103885,2.6474024
0.25214061,0.014772174,2.6104063
0.26814327,0.015427458,2.5815858
0.28510649,0.016063471,2.5611484
0.30308795,0.016673258,2.5494366
0.32214876,0.017249191,2.5469414
0.34235371,0.017782926,2.5543322
0.36377149,0.018264939,2.5725539
0.38647488,0.018684955,2.6028114
0.41054106,0.019032165,2.6465975
0.43605183,0.019294848,2.7058163
0.46309391,0.019460829,2.7828032
0.49175922,0.019518064,2.8803495
0.52214518,0.019455731,3.0016346
0.55435509,0.019266099,3.1499088
0.58849842,0.018947858,3.3275639
0.62469124,0.018513522,3.5335755
0.66305656,0.018001727,3.7581106
0.70372479,0.017465317,3.9806997
0.74683417,0.016934289,4.1760203
0.79253123,0.016423523,4.3177126
0.84097128,0.015924159,4.3841495
0.87300938,0.015640418,4.3622449
0.89232374,0.015468919,4.3493315
0.94676658,0.015224701,4.1790992
1.0044767,0.015459615,3.8606662
1.0656501,0.016435463,3.4315469
1.1304946,0.018274551,2.9668899
1.1992304,0.02092425,2.5323414
1.272091,0.024196488,2.1599951
1.3493238,0.027775342,1.8584319
1.4311911,0.031270273,1.6233804
1.5179708,0.034330658,1.4434768
1.6047489,0.036717298,1.3077713
1.6866115,0.038398144,1.2050748
1.7437698,0.039196981,1.145829
1.7638597,0.039477666,1.1249979
1.8367876,0.040062866,1.0607372
1.9055763,0.040237304,1.0083284
1.970461,0.040065505,0.96532786
2.0316639,0.039598629,0.93016078
2.0893942,0.038879027,0.90175898
2.1438493,0.037943243,0.87936787
2.1952153,0.036823922,0.86243837
2.2436677,0.035551137,0.8505635
2.289372,0.034152383,0.84345928
2.3324844,0.032654365,0.84090669
2.373152,0.031082366,0.84275764
2.4115136,0.029457015,0.84901483
2.4477001,0.027797291,0.85975205
2.4818351,0.026123074,0.87503943
2.5140349,0.024452791,0.89499921
2.5444093,0.022802802,0.91982139
2.573062,0.021187393,0.94976512
2.5828748,0.020617932,0.96261621
2.6000986,0.01961827,0.98517462
2.6256058,0.01810595,1.0264565
2.6496662,0.016658961,1.0740966
2.6723619,0.015283654,1.1286787
2.6937705,0.013984618,1.1908891
2.7139649,0.012764814,1.2615287
2.7330143,0.011625724,1.3415276
2.7509836,0.010567517,1.4319628
2.7679341,0.0095892242,1.5340769
2.7839236,0.0086889119,1.6493002
2.7990067,0.0078638632,1.7792736
2.8132348,0.0071107499,1.9258708
2.8266564,0.0064257653,2.0912306
2.8393173,0.0058047647,2.2777899
