y,I01,I02
0.44812865,7.7760789e-09,-7.7755307e-09
0.44889173,1.4048561e-07,-1.4045749e-07
0.44970062,1.4266783e-06,-1.4262099e-06
0.45055804,7.5837965e-06,-7.5803132e-06
0.4514669,2.7485089e-05,-2.7468709e-05
0.4524303,7.780564e-05,-7.7748185e-05
0.4534515,0.0001858584,-0.00018569363
0.45453396,0.00039228972,-0.00039188152
0.45568137,0.00075252502,-0.00075162076
0.45689761,0.001334683,-0.0013328515
0.45818681,0.0022101624,-0.0022067222
0.45955335,0.0034322264,-0.0034261778
0.46100186,0.0050005539,-0.0049905425
0.46253725,0.0068196661,-0.0068040048
0.46416474,0.0086755773,-0.0086523454
0.46588984,0.010263452,-0.010230661
0.46771841,0.011276973,-0.011232755
0.46965663,0.011521286,-0.011464043
0.47171109,0.01098224,-0.01091065
0.47388874,0.0098133569,-0.009726211
0.47619696,0.0082602868,-0.0081561842
0.47864358,0.0065742558,-0.0064512958
0.48123688,0.0049547476,-0.0048103218
0.48398565,0.0035305442,-0.0033612348
0.48689919,0.0023672696,-0.0021688129
0.48998737,0.0014856851,-0.0012529601
0.49326063,0.00087972911,-0.00060673426
0.49673006,0.00052987661,-0.00020968768
0.50040738,0.00041157421,-3.6298481e-05
0.50430504,0.00049993703,-6.065608e-05
0.50843621,0.00077204078,-0.00025872053
0.51281485,0.0012078279,-0.00060920689
0.51745575,0.0017902726,-0.0010937394
0.5223746,0.0025052445,-0.0016966891
0.52758798,0.0033412211,-0.0024048765
0.5331135,0.0042890007,-0.0032072957
0.5389698,0.005341443,-0.0040948625
0.54517662,0.0064932003,-0.0050601933
0.55175487,0.0077405614,-0.0060975349
0.55872671,0.009081304,-0.0072027321
0.56611562,0.010514554,-0.008373274
0.57394645,0.012040682,-0.009608469
0.58224554,0.013661152,-0.010909651
0.59104077,0.015378351,-0.012280492
0.60036169,0.01719539,-0.013727407
0.61023957,0.019115841,-0.015260011
0.62070753,0.021143384,-0.016891548
0.63180065,0.023283515,-0.018641051
0.64355608,0.025542797,-0.020533576
0.65601313,0.027927097,-0.022599247
0.66921344,0.030448347,-0.024878353
0.68320109,0.033128643,-0.027423584
0.69802271,0.036009449,-0.030306968
0.71372771,0.039174245,-0.033643964
0.73036835,0.042797092,-0.037632303
0.74799993,0.046204407,-0.04164893
0.76668101,0.047845534,-0.044150024
0.78647352,0.048049992,-0.045230501
0.80744298,0.048049995,-0.045882691
0.82965874,0.048049993,-0.046286137
0.85319413,0.047403174,-0.045874915
0.87812672,0.04506358,-0.043685133
0.90453854,0.041537183,-0.04024403
0.93251635,0.037821375,-0.036552399
0.96215187,0.034418958,-0.033132601
0.99354207,0.031745584,-0.03041943
1.0138311,0.030525951,-0.029177166
1.0267912,0.029759176,-0.028394848
