y,Ax_0,Ax_1,Ax_2,Ax_3,Ax_4,Ax_5,Rx_0,Rx_1,Rx_2,Rx_3,Rx_4,Rx_5
0,-1.4820365e-08,6.244664e-06,-1.7226906e-25,1.1308279e-08,-3.8957344e-25,3.5120861e-09,5.1262058e-08,-1.8237282e-05,5.0208402e-25,-1.9265874e-08,1.1371134e-24,-3.1996184e-08
0.00086769924,-1.9440806e-07,2.1271581e-05,-1.997935e-27,3.4582443e-07,9.6004085e-25,-1.5141637e-07,7.9246987e-07,-7.1642199e-05,2.8426762e-25,-7.2921322e-07,-2.7173844e-24,-6.3256674e-08
0.0017874829,-9.4097749e-07,9.2810492e-05,1.4299885e-24,2.7947592e-06,-2.3999943e-25,-1.8537817e-06,5.0214658e-06,-0.00027106355,-4.2769671e-24,-4.2431728e-06,8.523697e-25,-7.7829308e-07
0.0027624773,-1.8187707e-06,0.00024420249,3.2057178e-25,1.3443776e-05,-1.0123375e-23,-1.1625005e-05,1.9564148e-05,-0.00071331489,-2.8069122e-24,-1.4702214e-05,2.9451757e-23,-4.8619339e-06
0.0037959966,8.206e-07,0.00051818459,-2.1093386e-24,4.8858774e-05,4.4444338e-24,-4.9679374e-05,5.8509825e-05,-0.0015140924,9.8974431e-24,-3.7810371e-05,-1.423989e-23,-2.0699454e-05
0.0048915537,1.837988e-05,0.00095957619,1.3159751e-23,0.00014708075,2.3057337e-23,-0.00016546063,0.00014932237,-0.0028056808,-2.7489067e-23,-8.0520382e-05,-5.6217102e-23,-6.8801985e-05
0.0060528726,7.7107132e-05,0.001617336,-1.4157716e-23,0.00038479924,-2.9474546e-23,-0.00046190637,0.00034263825,-0.0047351307,1.7268735e-23,-0.00015077238,6.527251e-23,-0.00019186587
0.0072839007,0.00022697245,0.0025352231,1.5480974e-23,0.00089536983,3.7278478e-23,-0.0011223423,0.00072274446,-0.0074406608,6.0077299e-23,-0.00025652514,-1.2347701e-22,-0.00046621931
0.0085888223,0.00054508965,0.0037285631,4.2966848e-23,0.0018643066,7.5827658e-23,-0.0024093963,0.0014060637,-0.010989439,-4.8664433e-23,-0.00040423047,-1.4528894e-22,-0.0010018332
0.0099720729,0.0011147477,0.0051479246,-2.5631242e-22,0.0034560965,-2.6719667e-22,-0.0045708442,0.0025019062,-0.015271878,-3.2069276e-23,-0.00059960781,5.4875043e-22,-0.0019022984
0.011438354,0.001962534,0.0066543112,-5.3493616e-23,0.0056578924,-9.019219e-23,-0.0076204264,0.0040225486,-0.019908024,7.5192464e-23,-0.00085159361,1.3676386e-22,-0.0031709549
0.01299265,0.0029869997,0.0080476171,5.074012e-22,0.0081649436,5.0557638e-22,-0.011151943,0.0058037659,-0.024294892,-8.8510786e-23,-0.0011692536,-6.1992764e-22,-0.0046345123
0.014640245,0.0039734342,0.0091514033,-1.6517569e-23,0.010497285,-3.0945015e-23,-0.01447072,0.0075524178,-0.027853975,-9.531718e-24,-0.0015478225,-1.5672702e-23,-0.0060045954
0.016386737,0.0047197948,0.0098903314,-2.4845515e-22,0.012288635,-2.4646954e-22,-0.01700843,0.00901759,-0.030303808,5.9955647e-23,-0.0019660527,2.2629155e-22,-0.0070515373
0.018238064,0.0051486657,0.010298435,3.7941371e-23,0.013451966,2.5403198e-22,-0.018600631,0.010114763,-0.031715735,-3.463087e-22,-0.0024034364,1.55751e-22,-0.0077113267
0.020200518,0.0053032002,0.010467814,-2.7642209e-22,0.01410947,-2.731132e-22,-0.01941267,0.010901639,-0.03235856,1.0157377e-23,-0.0028509479,2.3139348e-22,-0.0080506904
0.022280771,0.0052753054,0.010492662,-3.7710702e-22,0.014442678,-6.0667889e-23,-0.019717984,0.01148467,-0.032522147,-4.1407429e-22,-0.0033049512,4.9982903e-22,-0.0081797184
0.024485892,0.0051497781,0.010442777,4.8738968e-22,0.014602436,1.0089301e-21,-0.019752214,0.01195597,-0.032430323,-6.3398062e-22,-0.0037609033,-1.7224453e-22,-0.0081950673
0.026823378,0.0049856246,0.010362271,1.0372903e-21,0.014688532,5.7133145e-22,-0.019674157,0.012376915,-0.032228932,6.1047395e-22,-0.0042138333,-1.1386292e-21,-0.0081630819
0.029301173,0.0048183145,0.010276958,-5.259764e-22,0.01475977,-6.0564703e-22,-0.019578085,0.012783531,-0.032004015,-9.7771809e-23,-0.0046601071,5.5389339e-22,-0.0081234236
0.0319277,0.0046673871,0.0102013,-6.4287646e-22,0.014848433,-6.0995151e-23,-0.01951582,0.013195356,-0.031803134,-6.0308637e-22,-0.0050975508,6.7130004e-22,-0.0080978049
0.034711887,0.0045429737,0.010143076,7.4139855e-22,0.01497116,-1.6459766e-22,-0.019514134,0.013622173,-0.031651192,1.4072333e-21,-0.0055248168,-1.2841917e-21,-0.0080973559
0.037663197,0.0044500916,0.010106294,1.8098101e-23,0.015135904,-1.1962827e-21,-0.019585995,0.014068342,-0.031560478,1.6427477e-21,-0.0059409075,-6.4840934e-22,-0.0081274352
0.040791661,0.0043910562,0.010092842,-3.5529766e-22,0.015345805,-5.5567082e-22,-0.019736861,0.014535172,-0.031536266,3.1174703e-22,-0.0063448848,2.4081601e-22,-0.0081902874
0.044107915,0.004366856,0.010103467,1.6885442e-24,0.015601478,-9.5360543e-22,-0.019968334,0.015022337,-0.031580078,1.1780352e-21,-0.006735771,-3.6627284e-22,-0.0082865665
0.047623229,0.004377971,0.010138405,-3.3249612e-22,0.015902453,-2.1591899e-21,-0.020280424,0.015528841,-0.031691712,2.1904976e-21,-0.0071125709,-4.7247155e-22,-0.0084162698
0.051349553,0.0044247423,0.010197658,-3.89297e-22,0.016247799,-8.3969398e-22,-0.020672542,0.016053384,-0.031870153,4.9841721e-22,-0.0074742357,1.879951e-22,-0.0085791484
