y,R_0,R_1,R_2,R_3,R_4,R_5,RB_0,RB_1,RB_2,RB_3,RB_4,RB_5
1.0002541,6.6666667e-11,0,0,6.6666667e-11,0,6.6666667e-11,6.6666667e-11,0,0,6.6666667e-11,0,6.6666667e-11
1.0008359,2.1035383e-06,-1.0644677e-08,3.3623393e-24,2.1035588e-06,-1.7324438e-26,2.1035446e-06,2.1035383e-06,-1.0644677e-08,3.3623393e-24,2.1035588e-06,-1.7324439e-26,2.1035446e-06
1.0014527,1.7502246e-05,-2.6507613e-07,-3.4568376e-24,1.7504131e-05,3.3860646e-25,1.7503058e-05,1.7502246e-05,-2.6507613e-07,-3.4568376e-24,1.7504131e-05,3.3860646e-25,1.7503058e-05
1.0021064,7.612306e-05,-2.5291202e-06,-6.6520843e-24,7.6150563e-05,3.8614321e-25,7.6135608e-05,7.612306e-05,-2.5291201e-06,-6.6520843e-24,7.6150563e-05,3.8614321e-25,7.6135608e-05
1.0027994,0.00022975931,-1.4208246e-05,-7.6871798e-25,0.00022995203,-4.7807105e-24,0.00022984941,0.00022975931,-1.4208245e-05,-7.6871796e-25,0.00022995203,-4.7807105e-24,0.00022984941
1.0035339,0.00055181171,-5.6551498e-05,-1.3851256e-19,0.00055269396,3.1834095e-22,0.00055222047,0.00055181171,-5.6551496e-05,-1.3851256e-19,0.00055269396,3.1834092e-22,0.00055222047
1.0043126,0.0011301693,-0.00017401178,2.4125927e-19,0.0011331656,-5.9890446e-22,0.001131503,0.0011301693,-0.00017401178,2.4125926e-19,0.0011331656,-5.9890449e-22,0.001131503
1.005138,0.0020418478,-0.00043106963,1.608341e-18,0.0020496109,-4.7825987e-21,0.0020451769,0.0020418478,-0.00043106964,1.608341e-18,0.0020496109,-4.7825986e-21,0.0020451769
1.006013,0.0033073267,-0.00087917784,-1.0689132e-18,0.0033226078,2.2013985e-21,0.0033138653,0.0033073267,-0.00087917785,-1.0689132e-18,0.0033226078,2.2013986e-21,0.0033138653
1.0069405,0.0048561432,-0.0015099417,-2.3942229e-18,0.0048793744,8.6737046e-21,0.0048663345,0.0048561432,-0.0015099417,-2.3942229e-18,0.0048793744,8.6737044e-21,0.0048663345
