y,nut,omega
-2.7950884e-17,0,40115.591
0.00086769924,1.9705641e-10,23398.691
0.0017874829,4.8039438e-09,4418.1637
0.0027624773,4.4978358e-08,1560.318
0.0037959966,2.4962107e-07,743.60719
0.0048915537,9.9754947e-07,418.11037
0.0060528726,3.1794824e-06,260.29092
0.0072839007,8.5518144e-06,173.30933
0.0085888223,2.0013655e-05,120.90889
0.0099720729,4.1450152e-05,87.361996
0.011438354,7.6942387e-05,65.051132
0.01299265,0.00012977322,49.861964
0.014640245,0.00020193682,39.322637
0.016386737,0.0002943198,31.850425
0.018238064,0.00040717794,26.41795
0.020200518,0.00054054845,22.361859
0.022280771,0.00069448704,19.254131
0.024485892,0.00086916728,16.815882
0.026823378,0.0010649048,14.862167
0.029301173,0.0012821485,13.267639
0.0319277,0.0015214605,11.945362
0.034711887,0.0017834933,10.833653
0.037663197,0.0020689677,9.8877991
0.040791661,0.0023786524,9.0747347
0.044107915,0.0027133438,8.3695603
0.047623229,0.0030738466,7.7532116
0.051349553,0.003460956,7.2108688
0.055299553,0.0038754377,6.7308535
0.059486654,0.0043180064,6.3038505
0.06392509,0.0047893039,5.9223466
0.068629948,0.0052898749,5.5802202
0.073617218,0.0058201417,5.2724383
0.078903853,0.0063803773,4.9948288
0.084507823,0.0069706757,4.7439078
0.090448176,0.0075909213,4.5167473
0.096745104,0.008240756,4.3108726
0.10342001,0.0089195467,4.1241816
0.11049558,0.0096263517,3.9548809
0.11799587,0.010359888,3.8014357
0.12594638,0.011118494,3.6625298
0.13437411,0.0119001,3.5370335
0.14330773,0.012702198,3.4239768
0.1527776,0.013521816,3.3225281
0.1628159,0.014355498,3.2319759
0.17345677,0.015199291,3.1517153
0.18473635,0.016048737,3.0812348
0.19669301,0.016898884,3.0201067
0.20936737,0.017744301,2.9679775
0.22280253,0.018579106,2.92456
0.23704414,0.019397019,2.8896259
0.25214061,0.020191417,2.8629982
0.26814327,0.020955184,2.8445744
0.28510649,0.021680871,2.8343058
0.30308795,0.022362283,2.8319971
0.32214876,0.022992788,2.8375311
0.34235371,0.023564901,2.8509203
0.36377149,0.024072191,2.8720641
0.38647488,0.024508773,2.9008098
0.41054106,0.02486949,2.9369065
0.43605183,0.025150107,2.9799442
0.46309391,0.025347536,3.0292785
0.49175922,0.025460084,3.0839318
0.52214518,0.025487759,3.1424644
0.55435509,0.025432648,3.2028105
0.58849842,0.025299112,3.262082
0.62469124,0.025091193,3.3163462
0.66305656,0.024828499,3.3599772
0.70372479,0.024533592,3.3860716
0.74683417,0.024211605,3.3885922
0.79253123,0.023882429,3.3604682
0.84097128,0.023576206,3.2947306
0.892319,0.023320046,3.1878574
0.9467489,0.023160612,3.0385332
1.004446,0.023179337,2.8479073
1.0656064,0.023495074,2.6213056
1.1304381,0.024222694,2.3723927
