y,gradU_0,gradU_1,gradU_2,gradU_3,gradU_4,gradU_5,gradU_6,gradU_7,gradU_8
0.44812952,-13.322941,-10.321873,1.267523e-16,17.161259,13.296313,-1.7108517e-16,5.2434018e-22,4.0545409e-22,-3.4349678e-38
0.44889266,-13.179216,-10.218978,2.4490144e-17,16.992486,13.177538,-3.5674972e-17,3.5239262e-17,2.7191328e-17,-4.8528557e-34
0.44970152,-12.896203,-9.9890611,-8.6244177e-17,16.661277,12.909424,1.1821293e-16,-9.3756257e-17,-7.2607566e-17,3.3237041e-34
0.45055892,-12.606939,-9.7329543,-1.714878e-17,16.32304,12.608434,2.5219129e-17,9.2535399e-17,7.1062551e-17,1.2464723e-33
0.45146777,-12.293756,-9.4657841,-1.00814e-16,15.954943,12.293998,1.2058936e-16,1.7553578e-16,1.3545954e-16,5.9648192e-35
0.45243114,-11.948655,-9.1751613,2.6141825e-17,15.546556,11.950069,-3.4900223e-17,-2.4201872e-14,-1.8721008e-14,-8.709231e-32
0.45345231,-11.54818,-8.8408376,1.4192616e-16,15.067428,11.550378,-1.774733e-16,2.3848806e-15,1.8176253e-15,-9.6629158e-33
0.45453475,-11.049203,-8.4282461,-1.1713504e-16,14.461559,11.050025,1.485968e-16,8.3091702e-14,6.4064845e-14,9.9235912e-32
0.45568213,-10.390978,-7.8906665,-5.395566e-19,13.649918,10.388186,-1.3030853e-17,-1.2818799e-14,-9.8601285e-15,1.720109e-32
0.45689834,-9.5166229,-7.1870547,-1.0820614e-17,12.558097,9.5110594,1.9795106e-17,-5.7723437e-14,-4.4450879e-14,-1.6054617e-32
0.45818751,-8.416097,-6.3131708,-1.1031345e-16,11.171885,8.4121436,1.6822982e-16,1.676644e-14,1.286964e-14,-4.2799262e-33
0.45955401,-7.1596138,-5.3231552,2.1211281e-16,9.5807388,7.1603459,-2.7608559e-16,3.6733335e-14,2.8002472e-14,-1.0177239e-31
0.46100249,-5.8787052,-4.3156985,1.6216227e-16,7.9537246,5.8824311,-2.2048633e-16,-2.6776631e-15,-2.0344635e-15,-1.2438789e-32
0.46253785,-4.7030482,-3.3899232,-2.1385345e-16,6.458115,4.7062136,2.7475589e-16,-3.4275322e-14,-2.6128626e-14,9.6388909e-32
0.46416529,-3.7095345,-2.6067978,-6.8474616e-17,5.1935253,3.7106735,8.6446046e-17,-1.0807136e-17,-7.705118e-18,-9.8240185e-35
0.46589035,-2.9158179,-1.9812668,1.0148186e-16,4.1833539,2.9156064,-1.3146814e-16,-1.291039e-16,-9.6355523e-17,2.0170898e-34
0.46771887,-2.3020425,-1.497776,-3.9749003e-17,3.4026342,2.3014883,5.1641023e-17,-1.3013826e-14,-9.7789133e-15,-9.5061304e-33
0.46965705,-1.8342468,-1.1292159,-1.4409358e-17,2.8081289,1.8338269,1.849397e-17,1.245338e-14,9.3776125e-15,3.0272279e-33
0.47171146,-1.4784652,-0.84863242,2.195236e-17,2.3564908,1.4782423,-2.7239601e-17,1.3014085e-14,9.7803267e-15,9.1396439e-33
0.47388905,-1.2063745,-0.6337323,4.535188e-18,2.0115502,1.2062811,-5.6107147e-18,-3.5796805e-14,-2.6816109e-14,3.776618e-33
0.47619722,-0.99625537,-0.46750224,2.8914231e-17,1.7455713,0.99622985,-3.9185277e-17,2.5190552e-14,1.8623679e-14,-2.7255105e-32
0.47864379,-0.83209244,-0.3374091,-4.7499303e-18,1.5381092,0.83209778,9.2126819e-18,2.105298e-15,1.7028851e-15,-1.7165778e-32
0.48123703,-0.70225306,-0.23434531,-3.6195197e-17,1.3743224,0.70227008,5.0284112e-17,-2.5973297e-14,-1.921576e-14,2.5755169e-32
0.48398573,-0.59830916,-0.15170723,9.5714882e-18,1.2434658,0.59832978,-1.3379699e-17,2.0732826e-14,1.5354371e-14,8.1625389e-33
0.4868992,-0.51412389,-0.084681186,2.55718e-17,1.1377217,0.51414466,-3.4477708e-17,1.8686405e-14,1.358375e-14,-5.8612408e-33
0.4899873,-0.44518829,-0.029726879,-3.8613956e-18,1.0513525,0.44520725,5.3846718e-18,5.4393233e-15,3.9002997e-15,1.2372389e-33
0.49326049,-0.38815458,0.015784861,-1.3780552e-17,0.98010278,0.38817178,1.6765498e-17,-1.2032784e-14,-8.799895e-15,7.1998024e-33
0.49672983,-0.34050856,0.053830107,-9.3785524e-18,0.92078146,0.34052438,1.1952493e-17,-3.8993397e-15,-2.7887162e-15,-1.2305224e-33
0.50040707,-0.3003394,0.085912044,1.4449275e-17,0.8709671,0.30035313,-1.9589889e-17,-5.2936363e-15,-3.8033512e-15,-1.6375747e-33
0.50430464,-0.26617663,0.11318545,4.6813488e-18,0.82879988,0.26618889,-6.385759e-18,-2.256129e-15,-1.5689409e-15,-1.6177988e-35
0.50843572,-0.23687704,0.13654851,-1.533784e-17,0.7928374,0.23688812,2.1001575e-17,-8.4464395e-17,-5.8644406e-17,-6.1751099e-36
0.51281426,-0.21154139,0.15670709,-6.5270102e-19,0.76194804,0.21155109,5.1237102e-19,2.0884914e-15,1.4508443e-15,-2.0185892e-35
0.51745505,-0.18945428,0.17422032,7.6030309e-18,0.73523462,0.1894634,-1.0701188e-17,-1.456697e-14,-9.913982e-15,5.8447033e-33
0.52237379,-0.17004157,0.18953651,2.8426632e-18,0.71198009,0.17005012,-3.2479526e-18,-8.4491379e-16,-5.7450762e-16,3.4351095e-34
0.52758706,-0.15283711,0.20301759,-4.6717275e-18,0.69160493,0.15284476,7.2798335e-18,2.5055727e-14,1.6955912e-14,-2.4164194e-33
0.53311245,-0.13745891,0.21495717,-2.9090623e-19,0.67363697,0.13746582,-4.1958889e-19,7.2668604e-16,4.9056918e-16,1.4324297e-34
0.53896862,-0.12359177,0.22559539,6.4761094e-18,0.65768921,0.12359804,-8.3797567e-18,-1.0867354e-14,-7.304062e-15,-2.9272198e-33
0.5451753,-0.11097315,0.23512894,-9.0041035e-19,0.6434417,0.11097923,2.12578e-18,-1.7055656e-17,-1.2267713e-17,-5.2351182e-37
0.55175341,-0.099382786,0.24371996,-4.8864059e-18,0.63062821,0.099388775,6.0590994e-18,5.7833968e-15,3.80269e-15,-2.8528738e-34
0.5587251,-0.088634888,0.25150135,3.4454942e-19,0.61902613,0.088640524,-3.7498433e-19,5.0206687e-16,3.293114e-16,-3.479182e-35
0.56611385,-0.078572164,0.25858093,9.9382404e-19,0.60844892,0.078577481,-1.0103723e-18,-5.3929502e-15,-3.5483475e-15,2.7917772e-34
0.57394452,-0.06906162,0.26504551,2.8064335e-19,0.59874024,0.069066308,-4.9506492e-19,-1.000838e-16,-6.2420129e-17,1.9367134e-35
0.58224344,-0.059990085,0.27096289,1.0454949e-18,0.58976793,0.059994623,-1.7900026e-18,-1.8170369e-14,-1.1242095e-14,1.3675335e-33
0.59103849,-0.05126135,0.2763829,-5.4854095e-19,0.58141979,0.05127003,6.6554228e-19,-1.2099956e-15,-8.0893972e-16,-9.7642369e-35
0.60035921,-0.042793673,0.28134226,-6.5328881e-19,0.57359933,0.042812636,7.1441198e-19,2.5535001e-14,1.5645745e-14,-1.1901409e-33
0.61023689,-0.034518192,0.28587719,5.6282701e-19,0.5662229,0.034531789,-1.3723716e-19,8.6181084e-16,5.7667917e-16,1.8305493e-34
0.62070465,-0.026395622,0.29003964,-3.7800541e-19,0.5592487,0.026291379,6.0331036e-19,-9.3934774e-15,-5.6611969e-15,1.251252e-34
0.63179756,-0.018418837,0.29378495,-5.7713685e-19,0.55269548,0.018094962,3.4764819e-19,-2.4569922e-16,-1.4508575e-16,9.707852e-36
0.64355276,-0.010750983,0.29673252,-2.9919702e-19,0.54685098,0.010666839,5.3087453e-19,1.3048288e-15,8.0110444e-16,-2.4526106e-34
0.65600958,-0.0042145408,0.29848088,3.4147391e-19,0.54350442,0.0048300773,-4.092615e-19,-4.0190286e-17,-2.1970046e-17,1.1142276e-36
0.66920964,8.7360743e-05,0.29911067,9.7675047e-19,0.545333,0.00043629407,-1.480436e-18,5.0316856e-17,2.7761253e-17,9.1184657e-36
0.68319703,0.0024972484,0.29876632,4.0091703e-19,0.55206622,-0.0027001563,-8.1713701e-19,1.2985836e-17,6.9180123e-18,-2.7856229e-37
0.6980184,0.0045548739,0.2976063,-9.2290098e-19,0.56079388,-0.0048678552,1.4747923e-18,1.1095641e-15,5.5589106e-16,3.1383966e-35
0.71372312,0.0071639098,0.29611216,-7.5658164e-19,0.56983082,-0.0072160721,8.2258423e-19,6.4289383e-15,3.218688e-15,-9.0836333e-35
0.73036348,0.010517867,0.29456285,1.2206423e-19,0.57883436,-0.010493487,-4.2870066e-19,-4.2216578e-16,-2.1070343e-16,-2.8997747e-35
0.74799478,0.014704608,0.29286402,-1.7484978e-19,0.58753372,-0.014691378,5.0521525e-19,-6.2245037e-15,-3.1159274e-15,6.8418256e-35
