"U:0","U:1","U:2","k","nut","omega","p","Points:0","Points:1","Points:2"
-0.048378,0.039658,-0.021318,9.9181e-06,2.4954e-07,40.667,-0.084243,0.60746,0.78846,2.25
-0.043007,0.03574,-0.019101,9.1079e-06,2.346e-07,39.728,-0.083304,0.64407,0.75751,2.25
-0.038417,0.032002,-0.017095,8.5926e-06,2.2853e-07,38.483,-0.082537,0.68057,0.72644,2.25
-0.034687,0.028723,-0.015287,8.3831e-06,2.3171e-07,37.044,-0.081938,0.71717,0.69548,2.25
-0.031893,0.026155,-0.01369,8.5555e-06,2.4634e-07,35.57,-0.081463,0.75399,0.66479,2.25
-0.029892,0.024287,-0.012296,9.1132e-06,2.7296e-07,34.196,-0.081082,0.79105,0.63439,2.25
-0.028586,0.023055,-0.011092,1.0044e-05,3.1212e-07,32.958,-0.080778,0.82833,0.60424,2.25
-0.027954,0.02243,-0.010072,1.1407e-05,3.667e-07,31.855,-0.080531,0.86579,0.57433,2.25
-0.027988,0.022385,-0.0092312,1.3313e-05,4.415e-07,30.872,-0.08033,0.90343,0.54463,2.25
-0.028669,0.022884,-0.008556,1.5898e-05,5.4254e-07,29.993,-0.080159,0.94121,0.51511,2.25
-0.029955,0.023877,-0.0080306,1.9358e-05,6.7835e-07,29.203,-0.080009,0.9791,0.48574,2.25
-0.031779,0.025292,-0.0076274,2.3935e-05,8.5977e-07,28.481,-0.079866,1.0171,0.4565,2.25
-0.034008,0.027003,-0.0073205,2.9884e-05,1.0995e-06,27.801,-0.079717,1.0552,0.42734,2.25
-0.036475,0.028828,-0.0070913,3.7393e-05,1.4101e-06,27.123,-0.079552,1.0933,0.39824,2.25
-0.03908,0.030605,-0.0069346,4.6655e-05,1.8076e-06,26.401,-0.079368,1.1315,0.36925,2.25
-0.041797,0.032242,-0.0068468,5.804e-05,2.3181e-06,25.613,-0.079166,1.1698,0.34045,2.25
-0.044586,0.033654,-0.0068234,7.2039e-05,2.9766e-06,24.759,-0.078942,1.2084,0.31197,2.25
-0.047389,0.03475,-0.0068591,8.9414e-05,3.8358e-06,23.848,-0.078699,1.2473,0.28392,2.25
-0.050149,0.035443,-0.0069467,0.00011041,4.9338e-06,22.894,-0.078439,1.2865,0.25643,2.25
-0.052818,0.035659,-0.0070764,0.00013381,6.2446e-06,21.918,-0.078169,1.3263,0.22965,2.25
-0.05537,0.035355,-0.0072362,0.00015879,7.7504e-06,20.951,-0.077897,1.3667,0.20374,2.25
-0.057843,0.03454,-0.0074157,0.00018601,9.5038e-06,20.009,-0.077638,1.4077,0.17892,2.25
-0.060344,0.033298,-0.0076059,0.00021627,1.1565e-05,19.109,-0.077406,1.4496,0.1554,2.25
-0.062903,0.031703,-0.0077946,0.00024974,1.395e-05,18.283,-0.077199,1.4922,0.13337,2.25
-0.065447,0.029756,-0.0079666,0.00028586,1.6624e-05,17.548,-0.077021,1.5356,0.11299,2.25
-0.067922,0.027451,-0.0081085,0.00032361,1.9498e-05,16.923,-0.076876,1.5798,0.094364,2.25
-0.07035,0.024815,-0.0082101,0.00036198,2.2457e-05,16.42,-0.076774,1.6248,0.077649,2.25
-0.072781,0.021893,-0.008265,0.00039984,2.5336e-05,16.06,-0.076721,1.6705,0.062979,2.25
-0.075406,0.018754,-0.0082707,0.00043624,2.796e-05,15.863,-0.076737,1.7169,0.050495,2.25
-0.078463,0.015491,-0.0082294,0.00047075,3.0157e-05,15.856,-0.076822,1.7638,0.040327,2.25
-0.082549,0.0122,-0.0081536,0.00050496,3.1926e-05,16.055,-0.077022,1.8112,0.032592,2.25
-0.0883,0.0090589,-0.0080674,0.00054444,3.3589e-05,16.447,-0.077305,1.8589,0.027389,2.25
-0.097162,0.0062062,-0.0080263,0.00061538,3.7157e-05,16.809,-0.077804,1.9069,0.024792,2.25
-0.10873,0.0043887,-0.0080644,0.00075682,4.5946e-05,16.753,-0.078193,1.9549,0.024486,2.25
-0.11929,0.0035421,-0.0081011,0.00092581,5.7468e-05,16.382,-0.078287,2.0029,0.024486,2.25
-0.12765,0.0028982,-0.0080581,0.001078,6.8345e-05,16.034,-0.078279,2.0509,0.024486,2.25
-0.13447,0.0024083,-0.0079448,0.0012249,7.9013e-05,15.757,-0.078094,2.0989,0.024486,2.25
-0.14,0.0020025,-0.0077826,0.0013639,8.9256e-05,15.527,-0.077789,2.147,0.024486,2.25
-0.14455,0.0016752,-0.0075826,0.0014965,9.9119e-05,15.339,-0.077351,2.195,0.024486,2.25
-0.1483,0.0014036,-0.0073524,0.0016231,0.0001086,15.181,-0.076806,2.243,0.024486,2.25
-0.15141,0.0011782,-0.0070971,0.0017444,0.00011773,15.048,-0.076155,2.291,0.024486,2.25
-0.15396,0.00098731,-0.0068201,0.001861,0.00012654,14.934,-0.07541,2.339,0.024486,2.25
-0.15606,0.00082369,-0.0065242,0.0019732,0.00013505,14.834,-0.074576,2.3871,0.024486,2.25
-0.15775,0.00068091,-0.0062119,0.0020817,0.00014329,14.746,-0.07366,2.4351,0.024486,2.25
-0.15909,0.00055447,-0.0058851,0.0021865,0.0001513,14.666,-0.072666,2.4831,0.024486,2.25
-0.16011,0.00044079,-0.0055456,0.002288,0.00015908,14.594,-0.071598,2.5311,0.024486,2.25
-0.16083,0.0003374,-0.0051951,0.0023865,0.00016666,14.528,-0.070461,2.5792,0.024486,2.25
-0.16129,0.00024237,-0.0048347,0.002482,0.00017403,14.467,-0.069257,2.6272,0.024486,2.25
-0.1615,0.00015448,-0.0044655,0.0025747,0.00018122,14.41,-0.067991,2.6752,0.024486,2.25
-0.16147,7.2653e-05,-0.0040882,0.0026646,0.00018823,14.356,-0.066666,2.7232,0.024486,2.25
-0.16124,-3.987e-06,-0.0037033,0.0027519,0.00019507,14.305,-0.065284,2.7712,0.024486,2.25
-0.1608,-7.6027e-05,-0.0033114,0.0028366,0.00020171,14.257,-0.063851,2.8193,0.024486,2.25
-0.16016,-0.0001441,-0.0029129,0.0029189,0.00020817,14.214,-0.062367,2.8673,0.024486,2.25
-0.15935,-0.00020896,-0.0025081,0.0029987,0.00021445,14.173,-0.060838,2.9153,0.024486,2.25
-0.15837,-0.00027077,-0.0020973,0.0030762,0.00022056,14.135,-0.059264,2.9633,0.024486,2.25
-0.15722,-0.00032975,-0.0016805,0.0031514,0.0002265,14.099,-0.057651,3.0113,0.024486,2.25
-0.15593,-0.00038605,-0.0012579,0.0032242,0.00023229,14.064,-0.055999,3.0594,0.024486,2.25
-0.15449,-0.0004402,-0.00082941,0.0032948,0.00023791,14.031,-0.054314,3.1074,0.024486,2.25
-0.15292,-0.00049163,-0.00039498,0.003363,0.00024336,13.999,-0.052596,3.1554,0.024486,2.25
-0.15122,-0.00054088,4.5376e-05,0.0034288,0.00024864,13.968,-0.05085,3.2034,0.024486,2.25
-0.1494,-0.00058767,0.00049187,0.0034922,0.00025375,13.939,-0.049078,3.2515,0.024486,2.25
-0.14746,-0.00063231,0.0009444,0.0035534,0.00025869,13.911,-0.047282,3.2995,0.024486,2.25
-0.14542,-0.00067488,0.0014033,0.0036121,0.00026346,13.884,-0.045466,3.3475,0.024486,2.25
-0.14328,-0.00071547,0.0018691,0.0036685,0.00026805,13.858,-0.043632,3.3955,0.024486,2.25
-0.14105,-0.00075413,0.0023422,0.0037225,0.00027246,13.833,-0.041783,3.4435,0.024486,2.25
-0.13874,-0.00079083,0.002823,0.0037742,0.0002767,13.809,-0.039921,3.4916,0.024486,2.25
-0.13634,-0.00082551,0.0033119,0.0038234,0.00028076,13.786,-0.038049,3.5396,0.024486,2.25
-0.13387,-0.00085834,0.0038093,0.0038704,0.00028464,13.764,-0.036169,3.5876,0.024486,2.25
-0.13134,-0.00088937,0.0043157,0.0039149,0.00028834,13.743,-0.034283,3.6356,0.024486,2.25
-0.12874,-0.00091852,0.0048314,0.0039572,0.00029186,13.723,-0.032394,3.6836,0.024486,2.25
-0.12609,-0.00094587,0.0053567,0.0039971,0.0002952,13.704,-0.030502,3.7317,0.024486,2.25
-0.12339,-0.00097148,0.0058917,0.0040347,0.00029837,13.686,-0.028612,3.7797,0.024486,2.25
-0.12065,-0.00099532,0.0064369,0.00407,0.00030135,13.668,-0.026724,3.8277,0.024486,2.25
-0.11786,-0.0010174,0.0069922,0.0041031,0.00030416,13.651,-0.024839,3.8757,0.024486,2.25
-0.11504,-0.0010378,0.0075579,0.0041339,0.00030679,13.635,-0.022961,3.9237,0.024486,2.25
-0.11219,-0.0010566,0.0081339,0.0041625,0.00030925,13.62,-0.02109,3.9718,0.024486,2.25
-0.10932,-0.0010739,0.0087203,0.0041889,0.00031154,13.605,-0.019228,4.0198,0.024486,2.25
-0.10642,-0.0010896,0.0093169,0.0042132,0.00031365,13.591,-0.017376,4.0678,0.024486,2.25
-0.10351,-0.0011038,0.0099236,0.0042353,0.0003156,13.578,-0.015535,4.1158,0.024486,2.25
-0.10058,-0.0011164,0.01054,0.0042554,0.00031738,13.566,-0.013708,4.1639,0.024486,2.25
-0.097649,-0.0011276,0.011166,0.0042734,0.00031899,13.554,-0.011893,4.2119,0.024486,2.25
-0.094707,-0.0011375,0.011802,0.0042895,0.00032045,13.543,-0.010094,4.2599,0.024486,2.25
-0.091762,-0.001146,0.012446,0.0043035,0.00032174,13.532,-0.0083104,4.3079,0.024486,2.25
-0.088818,-0.0011532,0.013098,0.0043157,0.00032288,13.522,-0.0065431,4.3559,0.024486,2.25
-0.085878,-0.0011591,0.013758,0.0043259,0.00032386,13.513,-0.0047929,4.404,0.024486,2.25
-0.082943,-0.0011638,0.014425,0.0043344,0.0003247,13.504,-0.0030604,4.452,0.024486,2.25
-0.080018,-0.0011674,0.015099,0.004341,0.00032539,13.496,-0.0013462,4.5,0.024486,2.25
-0.077104,-0.0011698,0.015778,0.0043459,0.00032593,13.489,0.00034938,4.548,0.024486,2.25
-0.074204,-0.0011711,0.016462,0.004349,0.00032633,13.482,0.0020259,4.596,0.024486,2.25
-0.071321,-0.0011714,0.01715,0.0043506,0.0003266,13.475,0.003683,4.6441,0.024486,2.25
-0.068457,-0.0011706,0.01784,0.0043507,0.00032674,13.47,0.0053205,4.6921,0.024486,2.25
-0.065614,-0.0011688,0.018533,0.0043492,0.00032675,13.465,0.0069384,4.7401,0.024486,2.25
-0.062795,-0.001166,0.019225,0.004346,0.00032662,13.46,0.0085366,4.7881,0.024486,2.25
-0.060001,-0.0011623,0.019917,0.0043413,0.00032637,13.456,0.010115,4.8361,0.024486,2.25
-0.057236,-0.0011577,0.020607,0.0043353,0.000326,13.452,0.011674,4.8842,0.024486,2.25
-0.0545,-0.0011522,0.021293,0.0043279,0.00032552,13.45,0.013213,4.9322,0.024486,2.25
-0.051796,-0.0011459,0.021975,0.0043193,0.00032493,13.447,0.014732,4.9802,0.024486,2.25
-0.049126,-0.0011388,0.022651,0.0043095,0.00032423,13.446,0.016233,5.0282,0.024486,2.25
-0.046493,-0.001131,0.023319,0.0042985,0.00032344,13.444,0.017715,5.0763,0.024486,2.25
-0.043898,-0.0011225,0.023978,0.0042865,0.00032256,13.444,0.019179,5.1243,0.024486,2.25
-0.041343,-0.0011134,0.024627,0.0042735,0.00032159,13.443,0.020625,5.1723,0.024486,2.25
-0.038831,-0.0011037,0.025264,0.0042595,0.00032053,13.444,0.022053,5.2203,0.024486,2.25
-0.036364,-0.0010936,0.025888,0.0042446,0.00031939,13.445,0.023465,5.2683,0.024486,2.25
-0.033944,-0.001083,0.026498,0.0042287,0.00031817,13.446,0.02486,5.3164,0.024486,2.25
-0.031574,-0.001072,0.027092,0.0042119,0.00031687,13.448,0.02624,5.3644,0.024486,2.25
-0.029256,-0.0010604,0.027669,0.004194,0.00031548,13.45,0.027605,5.4124,0.024486,2.25
-0.026994,-0.0010482,0.028228,0.0041751,0.000314,13.452,0.028956,5.4604,0.024486,2.25
-0.024793,-0.0010352,0.028768,0.0041553,0.00031245,13.455,0.030294,5.5084,0.024486,2.25
-0.022655,-0.0010214,0.029286,0.0041348,0.00031084,13.459,0.03162,5.5565,0.024486,2.25
-0.020584,-0.0010074,0.029784,0.0041139,0.00030917,13.463,0.032934,5.6045,0.024486,2.25
-0.018584,-0.00099314,0.030259,0.0040924,0.00030747,13.467,0.034238,5.6525,0.024486,2.25
-0.016658,-0.00097876,0.030713,0.0040704,0.00030572,13.471,0.035532,5.7005,0.024486,2.25
-0.014811,-0.00096459,0.031145,0.004048,0.00030394,13.476,0.036818,5.7485,0.024486,2.25
-0.01305,-0.00094978,0.031555,0.004025,0.00030211,13.481,0.038097,5.7966,0.024486,2.25
-0.011378,-0.00093448,0.031943,0.0040014,0.00030023,13.486,0.03937,5.8446,0.024486,2.25
-0.0098008,-0.00091847,0.032312,0.0039773,0.0002983,13.492,0.040638,5.8926,0.024486,2.25
-0.0083256,-0.00090197,0.032661,0.0039527,0.00029634,13.498,0.041902,5.9406,0.024486,2.25
-0.0069607,-0.00088519,0.032991,0.0039278,0.00029434,13.504,0.043163,5.9887,0.024486,2.25
-0.0057103,-0.00086728,0.033307,0.003902,0.00029227,13.51,0.044422,6.0367,0.024486,2.25
-0.0045812,-0.00084886,0.03361,0.0038752,0.00029014,13.517,0.045681,6.0847,0.024486,2.25
-0.00358,-0.00082934,0.033903,0.0038477,0.00028796,13.523,0.046941,6.1327,0.024486,2.25
-0.0027149,-0.00080923,0.034187,0.0038195,0.00028572,13.529,0.048203,6.1807,0.024486,2.25
-0.0019936,-0.00078801,0.034467,0.0037905,0.00028343,13.535,0.049467,6.2288,0.024486,2.25
-0.0014251,-0.00076581,0.034746,0.0037607,0.00028108,13.542,0.050736,6.2768,0.024486,2.25
-0.0010174,-0.00074238,0.035029,0.00373,0.00027867,13.548,0.05201,6.3248,0.024486,2.25
-0.00078151,-0.00071767,0.035322,0.0036984,0.00027619,13.554,0.053289,6.3728,0.024486,2.25
-0.00072485,-0.00069125,0.035629,0.0036657,0.00027364,13.56,0.054576,6.4208,0.024486,2.25
-0.00086079,-0.00066306,0.035956,0.0036319,0.00027101,13.566,0.055869,6.4689,0.024486,2.25
-0.0011953,-0.00063264,0.036313,0.0035969,0.00026829,13.571,0.057172,6.5169,0.024486,2.25
-0.0017459,-0.00060027,0.036706,0.0035606,0.00026548,13.577,0.058483,6.5649,0.024486,2.25
-0.0025167,-0.00056498,0.037147,0.0035228,0.00026256,13.583,0.059805,6.6129,0.024486,2.25
-0.0035305,-0.0005268,0.037643,0.0034835,0.00025953,13.589,0.061134,6.661,0.024486,2.25
-0.0047859,-0.00048476,0.038211,0.0034423,0.00025635,13.595,0.062476,6.709,0.024486,2.25
-0.0063151,-0.00043941,0.038861,0.0033992,0.00025304,13.601,0.063824,6.757,0.024486,2.25
-0.0081071,-0.00038996,0.039613,0.0033537,0.00024954,13.607,0.065187,6.805,0.024486,2.25
-0.010204,-0.00033796,0.040481,0.0033059,0.00024588,13.614,0.066552,6.853,0.024486,2.25
-0.012573,-0.00028677,0.041492,0.0032555,0.00024206,13.619,0.067933,6.9011,0.024486,2.25
-0.015252,-0.00024173,0.042655,0.0032025,0.00023811,13.621,0.069313,6.9491,0.024486,2.25
-0.018157,-0.00023923,0.043994,0.0031471,0.00023414,13.612,0.07071,6.9971,0.024486,2.25
-0.021237,-0.00034736,0.045484,0.0030878,0.00022988,13.605,0.072099,7.0451,0.024486,2.25
-0.024222,-0.0011708,0.047155,0.0030681,0.00022865,13.591,0.073482,7.0931,0.024792,2.25
-0.026396,-0.0027856,0.048978,0.0031214,0.00023243,13.601,0.074882,7.1411,0.027389,2.25
-0.027803,-0.0046165,0.050826,0.0032246,0.00023849,13.692,0.076314,7.1888,0.032592,2.25
-0.028513,-0.0064701,0.052657,0.0033542,0.00024485,13.871,0.077818,7.2362,0.040327,2.25
-0.028517,-0.008207,0.054438,0.0034955,0.00025029,14.141,0.079383,7.2831,0.050495,2.25
-0.027884,-0.0097214,0.056171,0.0036429,0.00025443,14.498,0.081029,7.3295,0.062979,2.25
-0.026599,-0.010914,0.057851,0.0037937,0.0002572,14.936,0.08275,7.3752,0.077649,2.25
-0.024696,-0.011698,0.059482,0.003947,0.00025866,15.454,0.084554,7.4202,0.094364,2.25
-0.022156,-0.011985,0.061061,0.0041029,0.00025895,16.048,0.086435,7.4644,0.11299,2.25
-0.018981,-0.011688,0.062591,0.0042624,0.00025829,16.717,0.088395,7.5078,0.13337,2.25
-0.015132,-0.010716,0.06407,0.004429,0.00025705,17.457,0.090425,7.5504,0.1554,2.25
-0.010553,-0.0089506,0.065509,0.0046071,0.00025584,18.247,0.09252,7.5923,0.17892,2.25
-0.0051777,-0.0062742,0.066917,0.0047969,0.00025503,19.06,0.094662,7.6333,0.20374,2.25
0.0010206,-0.0026381,0.068302,0.0049947,0.0002546,19.882,0.096822,7.6737,0.22965,2.25
0.008037,0.0019498,0.069664,0.005197,0.00025443,20.702,0.098963,7.7135,0.25643,2.25
0.01586,0.0074604,0.071006,0.0054021,0.00025451,21.514,0.10104,7.7527,0.28392,2.25
0.024515,0.013863,0.072336,0.0056094,0.00025482,22.314,0.103,7.7916,0.31197,2.25
0.034039,0.021115,0.073667,0.0058182,0.00025534,23.098,0.10478,7.8302,0.34045,2.25
0.044449,0.029152,0.075006,0.0060271,0.00025603,23.864,0.10632,7.8685,0.36925,2.25
0.055717,0.037889,0.07635,0.0062292,0.00025649,24.621,0.10755,7.9067,0.39824,2.25
0.067709,0.047217,0.077685,0.0064154,0.00025608,25.4,0.10841,7.9448,0.42734,2.25
0.080325,0.057125,0.079002,0.0065868,0.00025459,26.232,0.10887,7.9829,0.4565,2.25
0.093615,0.067724,0.080289,0.0067514,0.00025227,27.137,0.10888,8.0209,0.48574,2.25
0.10766,0.079146,0.081522,0.0069144,0.00024933,28.124,0.10837,8.0588,0.51511,2.25
0.12253,0.091518,0.082677,0.0070799,0.0002459,29.202,0.10726,8.0966,0.54463,2.25
0.13836,0.105,0.083731,0.0072514,0.00024213,30.379,0.10544,8.1342,0.57433,2.25
0.15529,0.11977,0.084656,0.007434,0.00023823,31.66,0.10276,8.1717,0.60424,2.25
0.17359,0.13608,0.085433,0.0076367,0.00023454,33.039,0.099079,8.2089,0.63439,2.25
0.19367,0.15425,0.086043,0.0078703,0.00023163,34.482,0.094102,8.246,0.66479,2.25
0.21638,0.17476,0.086472,0.0081694,0.00023097,35.895,0.087514,8.2828,0.69548,2.25
0.24305,0.19777,0.086678,0.0085559,0.0002337,37.155,0.078607,8.3194,0.72644,2.25
0.27456,0.22273,0.086582,0.0090491,0.00024048,38.189,0.066517,8.3559,0.75751,2.25
0.31153,0.24895,0.086121,0.0096551,0.00025178,38.916,0.050657,8.3925,0.78846,2.25
0.3548,0.27564,0.08523,0.010342,0.00026749,39.242,0.030149,8.4294,0.81908,2.25
0.40537,0.3016,0.083824,0.011113,0.00028843,39.109,0.0041411,8.4668,0.84913,2.25
0.46416,0.32485,0.081803,0.01198,0.00031587,38.501,-0.028679,8.5048,0.87832,2.25
0.53201,0.34219,0.079065,0.012911,0.00034974,37.472,-0.069143,8.5438,0.90629,2.25
0.60785,0.34836,0.075505,0.013822,0.00038732,36.211,-0.11878,8.5839,0.93255,2.25
0.68856,0.33698,0.071087,0.014526,0.00041896,35.151,-0.17563,8.6255,0.95643,2.25
0.76374,0.30117,0.065911,0.014853,0.00042786,35.184,-0.23887,8.6688,0.97699,2.25
0.81548,0.24276,0.060121,0.014491,0.00039447,37.381,-0.29384,8.714,0.99312,2.25
0.83016,0.17552,0.053838,0.013456,0.00032575,42.291,-0.3287,8.7606,1.0045,2.25
0.81024,0.11364,0.047146,0.011896,0.00024676,49.614,-0.33759,8.8081,1.0117,2.25
0.75894,0.06503,0.040226,0.010402,0.00018316,58.167,-0.33399,8.856,1.0154,2.25
0.69424,0.032948,0.033426,0.0092286,0.00014259,65.929,-0.31135,8.904,1.0167,2.25
0.62204,0.014711,0.027571,0.008642,0.00012104,70.696,-0.2986,8.952,1.0167,2.25
0.58009,0.0079759,0.025036,0.0086795,0.00011653,72.081,-0.3098,9,1.0164,2.25
0.58146,0.0043478,0.021708,0.010037,0.00016816,58.834,-0.17653,0.048018,1.0182,2.25
0.60486,0.0064902,0.023342,0.0097801,0.00016394,59.659,-0.21696,0,1.018,2.25
0.5567,-0.0035429,0.018324,0.010211,0.00017716,57.01,-0.1532,0.096036,1.0183,2.25
0.52912,-0.015171,0.014434,0.0098046,0.00017327,56.963,-0.15727,0.14403,1.017,2.25
0.46632,-0.027856,0.0097489,0.0086831,0.00014637,59.9,-0.14388,0.1919,1.0132,2.25
0.36283,-0.033485,0.0042916,0.0064984,0.0001025,64.349,-0.13334,0.23936,1.0061,2.25
0.21009,-0.020508,-0.0025417,0.0036362,5.491e-05,65.883,-0.11592,0.28598,0.99471,2.25
0.030177,0.018939,-0.017302,0.0012826,2.1026e-05,54.71,-0.10391,0.33116,0.97859,2.25
-0.087754,0.055072,-0.034488,0.00023827,5.7026e-06,38.446,-0.096928,0.3745,0.95804,2.25
-0.10614,0.062786,-0.040427,5.1153e-05,1.6151e-06,32.253,-0.092911,0.41611,0.93419,2.25
-0.092089,0.05941,-0.037707,2.6543e-05,8.3178e-07,32.655,-0.090074,0.45624,0.90795,2.25
-0.077371,0.054761,-0.033068,2.146e-05,6.5178e-07,33.671,-0.088213,0.49519,0.87999,2.25
-0.066665,0.050625,-0.028933,1.7766e-05,5.3043e-07,34.223,-0.08667,0.53323,0.85083,2.25
-0.058475,0.046486,-0.025646,1.5109e-05,4.5122e-07,34.204,-0.085375,0.57059,0.8208,2.25
-0.051819,0.042366,-0.02291,1.3417e-05,4.0596e-07,33.76,-0.084266,0.60748,0.7902,2.25
-0.046164,0.038268,-0.020524,1.233e-05,3.8196e-07,32.978,-0.083324,0.64409,0.75928,2.25
-0.041334,0.034353,-0.018367,1.1639e-05,3.7222e-07,31.952,-0.082554,0.6806,0.72824,2.25
-0.037411,0.030922,-0.016426,1.1358e-05,3.7719e-07,30.777,-0.081951,0.71721,0.6973,2.25
-0.034473,0.028234,-0.014713,1.1587e-05,4.0049e-07,29.579,-0.081474,0.75404,0.66663,2.25
-0.03238,0.026289,-0.013222,1.2335e-05,4.4305e-07,28.463,-0.081091,0.7911,0.63625,2.25
-0.03103,0.025023,-0.011936,1.3584e-05,5.0565e-07,27.462,-0.080784,0.82838,0.60613,2.25
-0.0304,0.024405,-0.01085,1.5415e-05,5.9284e-07,26.576,-0.080537,0.86586,0.57624,2.25
-0.030482,0.024406,-0.0099584,1.7977e-05,7.1218e-07,25.792,-0.080334,0.9035,0.54656,2.25
-0.031252,0.024985,-0.0092443,2.1449e-05,8.7308e-07,25.095,-0.080163,0.94128,0.51707,2.25
-0.032662,0.026087,-0.0086908,2.609e-05,1.0888e-06,24.47,-0.080012,0.97918,0.48772,2.25
-0.034636,0.02763,-0.0082687,3.2211e-05,1.3761e-06,23.897,-0.079869,1.0172,0.4585,2.25
-0.037034,0.029477,-0.0079505,4.0147e-05,1.755e-06,23.35,-0.079721,1.0552,0.42936,2.25
-0.039679,0.031436,-0.0077161,5.0135e-05,2.2447e-06,22.797,-0.079556,1.0934,0.40029,2.25
-0.042465,0.033334,-0.0075587,6.2406e-05,2.8692e-06,22.202,-0.079374,1.1316,0.37132,2.25
-0.045362,0.035071,-0.0074738,7.7414e-05,3.6678e-06,21.547,-0.079172,1.1699,0.34254,2.25
-0.048327,0.036557,-0.0074558,9.5725e-05,4.6914e-06,20.832,-0.078949,1.2085,0.31408,2.25
-0.0513,0.037696,-0.0074984,0.00011815,6.0119e-06,20.065,-0.078707,1.2474,0.28605,2.25
-0.054226,0.038399,-0.007593,0.00014515,7.6947e-06,19.259,-0.078449,1.2867,0.25858,2.25
-0.057058,0.038594,-0.0077288,0.00017538,9.7106e-06,18.435,-0.078179,1.3265,0.23182,2.25
-0.059776,0.038236,-0.0078926,0.00020744,1.2012e-05,17.621,-0.077909,1.3668,0.20594,2.25
-0.062417,0.037338,-0.0080729,0.00024184,1.4655e-05,16.834,-0.077651,1.4079,0.18113,2.25
-0.065088,0.035983,-0.00826,0.00027965,1.7721e-05,16.088,-0.077419,1.4497,0.15763,2.25
-0.067818,0.034248,-0.008442,0.0003211,2.1234e-05,15.408,-0.077213,1.4923,0.13563,2.25
-0.07054,0.032139,-0.0086038,0.0003654,2.5122e-05,14.808,-0.077034,1.5358,0.11525,2.25
-0.073206,0.029654,-0.0087322,0.0004113,2.9247e-05,14.305,-0.07689,1.58,0.096648,2.25
-0.075843,0.026822,-0.0088179,0.00045762,3.3426e-05,13.912,-0.076788,1.625,0.079945,2.25
-0.078515,0.023693,-0.0088553,0.00050315,3.7426e-05,13.648,-0.076735,1.6707,0.065287,2.25
-0.081417,0.020337,-0.0088432,0.00054698,4.1008e-05,13.529,-0.076752,1.717,0.052812,2.25
-0.084791,0.016851,-0.0087853,0.00058892,4.3966e-05,13.576,-0.076836,1.7639,0.042652,2.25
-0.089207,0.01333,-0.0086953,0.00063113,4.6356e-05,13.792,-0.077036,1.8113,0.034923,2.25
-0.095241,0.0099615,-0.0085982,0.00068057,4.8735e-05,14.144,-0.077318,1.859,0.029724,2.25
-0.10412,0.0068959,-0.0085455,0.00076954,5.4077e-05,14.419,-0.077812,1.907,0.027129,2.25
-0.11532,0.0049245,-0.0085657,0.00093531,6.6408e-05,14.302,-0.078195,1.955,0.026823,2.25
-0.12542,0.0039744,-0.0085811,0.0011268,8.2178e-05,13.918,-0.078287,2.003,0.026823,2.25
-0.13336,0.00324,-0.0085177,0.0012991,9.7102e-05,13.574,-0.078278,2.051,0.026823,2.25
-0.13981,0.0026799,-0.008385,0.0014644,0.00011161,13.308,-0.078092,2.0991,0.026823,2.25
-0.14501,0.0022188,-0.0082044,0.00162,0.00012543,13.095,-0.077787,2.1471,0.026823,2.25
-0.14927,0.0018478,-0.0079868,0.001768,0.00013864,12.925,-0.077348,2.1951,0.026823,2.25
-0.15276,0.0015408,-0.0077398,0.0019089,0.00015127,12.788,-0.076804,2.2431,0.026823,2.25
-0.15563,0.0012863,-0.0074683,0.0020435,0.00016335,12.674,-0.076152,2.2911,0.026823,2.25
-0.15798,0.0010709,-0.0071757,0.0021727,0.00017495,12.579,-0.075408,2.3392,0.026823,2.25
-0.15988,0.00088631,-0.0068648,0.0022969,0.00018611,12.499,-0.074575,2.3872,0.026823,2.25
-0.16139,0.00072526,-0.0065379,0.0024167,0.00019687,12.429,-0.073659,2.4352,0.026823,2.25
-0.16255,0.00058264,-0.0061969,0.0025323,0.00020728,12.368,-0.072665,2.4832,0.026823,2.25
-0.16341,0.00045441,-0.0058436,0.0026442,0.00021736,12.313,-0.071598,2.5312,0.026823,2.25
-0.16398,0.00033778,-0.0054795,0.0027525,0.00022713,12.264,-0.070461,2.5792,0.026823,2.25
-0.16429,0.00023065,-0.005106,0.0028574,0.00023662,12.219,-0.069257,2.6273,0.026823,2.25
-0.16436,0.00013157,-0.004724,0.0029592,0.00024584,12.178,-0.067992,2.6753,0.026823,2.25
-0.1642,3.9366e-05,-0.0043341,0.0030578,0.00025481,12.139,-0.066667,2.7233,0.026823,2.25
-0.16383,-4.7002e-05,-0.0039369,0.0031534,0.00026352,12.104,-0.065287,2.7713,0.026823,2.25
-0.16327,-0.00012822,-0.0035329,0.0032462,0.00027196,12.071,-0.063853,2.8193,0.026823,2.25
-0.16251,-0.00020494,-0.0031226,0.0033362,0.00028014,12.042,-0.06237,2.8674,0.026823,2.25
-0.16158,-0.00027795,-0.0027063,0.0034235,0.00028808,12.015,-0.060841,2.9154,0.026823,2.25
-0.16049,-0.00034749,-0.0022843,0.0035082,0.0002958,11.99,-0.059269,2.9634,0.026823,2.25
-0.15923,-0.00041379,-0.0018566,0.0035903,0.00030329,11.966,-0.057655,3.0114,0.026823,2.25
