"U:0","U:1","U:2","k","nut","omega","p","Points:0","Points:1","Points:2"
-0.0024942,0.0020493,-0.0010223,4.6825e-08,6.4703e-13,71388,-0.085076,0.57047,0.8017,2.25
0,0,0,1e-10,0,1.2153e+05,-0.083996,0.60728,0.77019,2.25
-0.0021686,0.0018279,-0.00091685,3.6258e-08,5.0773e-13,70473,-0.084001,0.60728,0.77083,2.25
0,0,0,1e-10,0,1.1875e+05,-0.083093,0.64381,0.73898,2.25
-0.0018911,0.0016145,-0.00082471,2.7997e-08,4.0183e-13,68864,-0.083097,0.64382,0.73964,2.25
0,0,0,1e-10,0,1.1494e+05,-0.082365,0.68025,0.70767,2.25
-0.0016526,0.0014121,-0.00073993,2.1513e-08,3.198e-13,66654,-0.082369,0.68026,0.70833,2.25
0,0,0,1e-10,0,1.1037e+05,-0.081802,0.71678,0.67645,2.25
-0.0014593,0.0012348,-0.00066312,1.6692e-08,2.595e-13,64006,-0.081805,0.7168,0.67713,2.25
0,0,0,1e-10,0,1.0567e+05,-0.081356,0.75354,0.64551,2.25
-0.0013169,0.0010975,-0.00059483,1.3426e-08,2.1932e-13,61280,-0.081358,0.75355,0.6462,2.25
0,0,0,1e-10,0,1.0132e+05,-0.080997,0.79053,0.61486,2.25
-0.0012109,0.00099444,-0.00053391,1.1189e-08,1.9211e-13,58755,-0.080999,0.79055,0.61555,2.25
0,0,0,1e-10,0,97353,-0.08071,0.82775,0.58447,2.25
-0.0011354,0.00091995,-0.00047999,9.6785e-09,1.7464e-13,56456,-0.080711,0.82777,0.58517,2.25
0,0,0,1e-10,0,93738,-0.080477,0.86515,0.55431,2.25
-0.0010902,0.00087287,-0.00043331,8.7729e-09,1.6628e-13,54360,-0.080478,0.86517,0.55502,2.25
0,0,0,1e-10,0,90439,-0.080286,0.90272,0.52437,2.25
-0.0010752,0.00085196,-0.00039393,8.3889e-09,1.6686e-13,52446,-0.080287,0.90275,0.52509,2.25
0,0,0,1e-10,0,87424,-0.080123,0.94044,0.49461,2.25
-0.0010899,0.00085609,-0.00036136,8.4842e-09,1.7673e-13,50698,-0.080123,0.94047,0.49534,2.25
0,0,0,1e-10,0,84667,-0.079976,0.97828,0.46501,2.25
-0.0011334,0.00088393,-0.00033507,9.0494e-09,1.9685e-13,49099,-0.079977,0.97831,0.46574,2.25
0,0,0,1e-10,0,82144,-0.079834,1.0162,0.43552,2.25
-0.0012043,0.00093399,-0.00031367,1.0101e-08,2.2873e-13,47636,-0.079834,1.0163,0.43627,2.25
0,0,0,1e-10,0,79828,-0.079682,1.0542,0.40613,2.25
-0.0012964,0.0010014,-0.0002957,1.1608e-08,2.7283e-13,46293,-0.079682,1.0543,0.40688,2.25
0,0,0,1e-10,0,77600,-0.079511,1.0923,0.3768,2.25
-0.0014,0.0010766,-0.00028031,1.3444e-08,3.2793e-13,45001,-0.079512,1.0923,0.37756,2.25
0,0,0,1e-10,0,75280,-0.079321,1.1304,0.34756,2.25
-0.0015101,0.0011515,-0.00026787,1.5529e-08,3.9422e-13,43656,-0.079322,1.1304,0.34833,2.25
0,0,0,1e-10,0,72800,-0.079111,1.1687,0.31853,2.25
-0.0016272,0.0012232,-0.00025849,1.7864e-08,4.7403e-13,42218,-0.079112,1.1687,0.31931,2.25
0,0,0,1e-10,0,70188,-0.07888,1.2072,0.28982,2.25
-0.0017486,0.0012879,-0.00025203,2.0401e-08,5.687e-13,40704,-0.078881,1.2073,0.29061,2.25
0,0,0,1e-10,0,67473,-0.07863,1.2461,0.26154,2.25
-0.0018704,0.0013406,-0.00024848,2.3035e-08,6.7822e-13,39130,-0.078631,1.2461,0.26233,2.25
0,0,0,1e-10,0,64680,-0.078364,1.2853,0.23383,2.25
-0.0019876,0.0013759,-0.00024773,2.5603e-08,7.9957e-13,37514,-0.078365,1.2853,0.23463,2.25
0,0,0,1e-10,0,61840,-0.078089,1.325,0.20683,2.25
-0.0020951,0.0013887,-0.00024966,2.7899e-08,9.2508e-13,35882,-0.07809,1.3251,0.20764,2.25
0,0,0,1e-10,0,58980,-0.077816,1.3654,0.18071,2.25
-0.0021883,0.0013748,-0.00025408,2.9656e-08,1.031e-12,34310,-0.077817,1.3654,0.18153,2.25
0,0,0,1e-10,0,56136,-0.07756,1.4064,0.15569,2.25
-0.0022677,0.001334,-0.00026097,3.0989e-08,1.1388e-12,32737,-0.077561,1.4064,0.15651,2.25
0,0,0,1e-10,0,53388,-0.077331,1.4482,0.13197,2.25
-0.0023433,0.0012739,-0.0002701,3.2303e-08,1.2795e-12,31142,-0.077332,1.4482,0.1328,2.25
0,0,0,1e-10,0,50850,-0.077129,1.4908,0.10977,2.25
-0.0024176,0.0012007,-0.00028049,3.3629e-08,1.438e-12,29661,-0.07713,1.4908,0.11061,2.25
