,label
780,1
790,1
796,1
798,1
806,1
816,1
817,1
822,1
824,1
827,1
829,1
830,1
834,1
835,1
836,1
838,1
840,1
848,1
851,1
852,1
853,1
854,1
858,1
867,1
868,1
872,1
874,1
875,1
877,1
879,1
880,1
881,1
882,1
883,1
886,1
889,1
892,1
894,1
897,1
902,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1024,1
1025,1
1027,1
1028,1
1032,1
1033,1
1034,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1046,1
1047,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1058,1
1059,1
1060,1
1063,1
1065,1
1067,1
1068,1
1069,1
1070,1
1072,1
1073,1
1076,1
1077,1
1078,1
1079,1
1081,1
1084,1
1085,1
1086,1
1087,1
1088,1
1090,1
1093,1
1095,1
1096,1
1098,1
1099,1
1101,1
1104,1
1106,1
1107,1
1110,1
1111,1
1112,1
1116,1
1117,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1127,1
1128,1
1129,1
1130,1
1131,1
1134,1
1135,1
1137,1
1138,1
1139,1
1141,1
1143,1
1144,1
1147,1
1149,1
