y,turbulenceProperties:R_0,turbulenceProperties:R_1,turbulenceProperties:R_2,turbulenceProperties:R_3,turbulenceProperties:R_4,turbulenceProperties:R_5
0.00086769924,6.0767678e-12,-3.4881267e-21,-1.8582095e-36,6.0767678e-12,8.6110898e-38,6.0767678e-12
0.0017874829,1.4802974e-16,-1.0410213e-30,3.1023285e-46,1.4802974e-16,-2.2708211e-47,1.4802974e-16
0.0027624773,1.4802974e-16,-1.0442404e-30,-9.0926004e-46,1.4802974e-16,-6.2204045e-48,1.4802974e-16
0.0037959966,1.4802974e-16,-1.0467499e-30,1.0300798e-49,1.4802974e-16,9.183642e-48,1.4802974e-16
0.0048915537,1.4802974e-16,-1.0486198e-30,-2.7303201e-46,1.4802974e-16,1.6781918e-48,1.4802974e-16
0.0060528726,1.4802974e-16,-1.0499175e-30,4.2485779e-46,1.4802974e-16,9.6915794e-48,1.4802974e-16
0.0072839007,1.4802974e-16,-1.0507089e-30,2.5152122e-45,1.4802974e-16,-4.1168111e-48,1.4802974e-16
0.0085888223,1.4802974e-16,-1.051058e-30,-3.0811389e-46,1.4802974e-16,-1.58874e-47,1.4802974e-16
0.0099720729,1.4802974e-16,-1.0510275e-30,-2.1256721e-45,1.4802974e-16,1.4167729e-48,1.4802974e-16
0.011438354,1.4802974e-16,-1.0506791e-30,-3.5295747e-46,1.4802974e-16,7.5919764e-48,1.4802974e-16
0.01299265,1.4802974e-16,-1.0500735e-30,-1.9170184e-47,1.4802974e-16,-1.9569668e-48,1.4802974e-16
0.014640245,1.4802974e-16,-1.0492702e-30,-1.2554334e-45,1.4802974e-16,-2.8021896e-48,1.4802974e-16
0.016386737,1.4802974e-16,-1.048328e-30,-1.7995786e-45,1.4802974e-16,8.6404467e-48,1.4802974e-16
0.018238064,1.4802974e-16,-1.0473052e-30,1.438218e-45,1.4802974e-16,4.8145187e-48,1.4802974e-16
0.020200518,1.4802974e-16,-1.0462596e-30,8.2096201e-46,1.4802974e-16,-2.6981526e-48,1.4802974e-16
0.022280771,1.4802974e-16,-1.0452488e-30,8.0034764e-46,1.4802974e-16,-1.5399531e-48,1.4802974e-16
0.024485892,1.4802974e-16,-1.0443302e-30,8.2148119e-46,1.4802974e-16,-4.5624161e-48,1.4802974e-16
0.026823378,1.4802974e-16,-1.0435611e-30,-7.9776487e-46,1.4802974e-16,-5.9661055e-49,1.4802974e-16
0.029301173,1.4802974e-16,-1.0429997e-30,-1.0142388e-49,1.4802974e-16,5.3584088e-48,1.4802974e-16
0.0319277,1.4802974e-16,-1.042705e-30,1.8559344e-45,1.4802974e-16,-4.363338e-48,1.4802974e-16
0.034711887,1.4802974e-16,-1.0427359e-30,8.0266094e-47,1.4802974e-16,-9.2719336e-48,1.4802974e-16
0.037663197,1.4802974e-16,-1.043153e-30,-2.7390618e-45,1.4802974e-16,6.6006983e-48,1.4802974e-16
0.040791661,1.4802974e-16,-1.0440186e-30,-3.3572275e-47,1.4802974e-16,1.45207e-47,1.4802974e-16
0.044107915,1.4802974e-16,-1.0453967e-30,4.7485567e-45,1.4802974e-16,-1.8311008e-47,1.4802974e-16
0.047623229,1.4802974e-16,-1.0473534e-30,-2.0438708e-45,1.4802974e-16,-8.7922711e-48,1.4802974e-16
0.051349553,1.4802974e-16,-1.0499574e-30,-3.3324303e-45,1.4802974e-16,1.9001327e-47,1.4802974e-16
0.055299553,1.4802974e-16,-1.0532806e-30,2.09831e-45,1.4802974e-16,-3.3192548e-49,1.4802974e-16
0.059486654,1.4802974e-16,-1.0573988e-30,-2.0398248e-49,1.4802974e-16,-1.263913e-47,1.4802974e-16
0.06392509,1.4802974e-16,-1.0623915e-30,-3.9918719e-45,1.4802974e-16,1.5078738e-47,1.4802974e-16
0.068629948,1.4802974e-16,-1.0683437e-30,-1.735756e-45,1.4802974e-16,2.3195419e-47,1.4802974e-16
0.073617218,1.4802974e-16,-1.0753454e-30,3.8449257e-45,1.4802974e-16,-2.0557292e-47,1.4802974e-16
0.078903853,1.4802974e-16,-1.0834934e-30,-3.3201585e-45,1.4802974e-16,1.4742098e-47,1.4802974e-16
0.084507823,1.4802974e-16,-1.0928916e-30,9.2347551e-46,1.4802974e-16,8.2578133e-48,1.4802974e-16
0.090448176,1.4802974e-16,-1.1036524e-30,4.3938834e-45,1.4802974e-16,-2.9434304e-47,1.4802974e-16
0.096745104,1.4802974e-16,-1.1158977e-30,-1.036597e-45,1.4802974e-16,-1.4773798e-48,1.4802974e-16
0.10342001,1.4802974e-16,-1.1297602e-30,9.7819789e-51,1.4802974e-16,2.1359583e-48,1.4802974e-16
0.11049558,1.4802974e-16,-1.1453846e-30,9.4938206e-51,1.4802974e-16,-1.3475807e-52,1.4802974e-16
0.11799587,1.4802974e-16,-1.1629301e-30,-4.1654391e-52,1.4802974e-16,-2.5612049e-48,1.4802974e-16
0.12594638,1.4802974e-16,-1.1825714e-30,-1.3044524e-45,1.4802974e-16,1.3678715e-47,1.4802974e-16
0.13437411,1.4802974e-16,-1.2045013e-30,-3.3551867e-47,1.4802974e-16,5.8229223e-48,1.4802974e-16
0.14330773,1.4802974e-16,-1.2289333e-30,1.3177008e-45,1.4802974e-16,-1.3813106e-47,1.4802974e-16
0.1527776,1.4802974e-16,-1.2561036e-30,1.1031039e-49,1.4802974e-16,2.3803424e-47,1.4802974e-16
