x,y,z,U_0,U_1,U_2
1.48055,0.27039,0.05,-6.07804e-07,3.64659e-07,5.9979e-24
1.48055,0.273158,0.05,-0.000546914,0.000328693,6.64965e-22
1.48055,0.275927,0.05,-0.000958885,0.00057689,-1.92889e-20
1.48055,0.278695,0.05,-0.00125328,0.000755135,-1.78262e-21
1.48055,0.281464,0.05,-0.00145897,0.000880848,8.14932e-21
1.48055,0.284232,0.05,-0.00161903,0.000979346,8.42925e-22
1.48055,0.287,0.05,-0.00173912,0.00105372,-7.81343e-21
1.48055,0.289769,0.05,-0.00182488,0.00110801,-1.64355e-21
1.48055,0.292537,0.05,-0.00190072,0.00115637,2.38606e-21
1.48055,0.295305,0.05,-0.00195414,0.0011913,1.15366e-21
1.48055,0.298074,0.05,-0.00200261,0.00122349,1.77394e-21
1.48055,0.300842,0.05,-0.00203907,0.00124846,2.72852e-21
1.48055,0.303611,0.05,-0.00207146,0.00127118,1.56923e-21
1.48055,0.306379,0.05,-0.00209609,0.00128926,-3.18913e-22
1.48055,0.309147,0.05,-0.00211822,0.00130596,-2.59355e-21
1.48055,0.311916,0.05,-0.00213421,0.00131902,-2.76405e-21
1.48055,0.314684,0.05,-0.00214954,0.00133093,-1.88483e-21
1.48055,0.317452,0.05,-0.00215874,0.00134091,-1.0086e-22
1.48055,0.320221,0.05,-0.00216819,0.00134992,1.59539e-21
1.48055,0.322989,0.05,-0.00217301,0.00135688,3.41741e-21
1.48055,0.325758,0.05,-0.00217722,0.00136319,2.86559e-21
1.48055,0.328526,0.05,-0.00217926,0.00136826,-8.26646e-22
1.48055,0.331294,0.05,-0.00217923,0.00137217,-1.2764e-21
1.48055,0.334063,0.05,-0.00217946,0.00137411,-8.29151e-22
1.48055,0.336831,0.05,-0.00217542,0.00137786,-1.43591e-21
1.48055,0.339599,0.05,-0.00217183,0.00137978,-1.25894e-21
1.48055,0.342368,0.05,-0.00216673,0.00138081,1.0478e-21
1.48055,0.345136,0.05,-0.00216005,0.00138104,1.21514e-21
1.48055,0.347905,0.05,-0.00215339,0.00138107,1.29634e-21
1.48055,0.350673,0.05,-0.00214445,0.00138018,4.7402e-23
1.48055,0.353441,0.05,-0.00213505,0.00137893,-4.0574e-22
1.48055,0.35621,0.05,-0.00212559,0.00137562,-6.87288e-22
1.48055,0.358978,0.05,-0.00211362,0.00137493,-7.33061e-22
1.48055,0.361746,0.05,-0.00210175,0.00137237,-7.21096e-22
1.48055,0.364515,0.05,-0.00208949,0.00136729,-6.61264e-22
1.48055,0.367283,0.05,-0.00207526,0.00136569,-3.46963e-22
1.48055,0.370052,0.05,-0.00206109,0.00136194,1.91421e-22
1.48055,0.37282,0.05,-0.00204632,0.00135534,2.57591e-22
1.48055,0.375588,0.05,-0.00203008,0.00135293,-8.57941e-22
1.48055,0.378357,0.05,-0.00201373,0.00134808,-1.1917e-21
1.48055,0.381125,0.05,-0.00199676,0.00134104,-7.35553e-22
1.48055,0.383894,0.05,-0.00197863,0.00133703,-1.82072e-22
1.48055,0.386662,0.05,-0.00196017,0.00133115,-8.27144e-23
1.48055,0.38943,0.05,-0.00194155,0.00132485,1.42221e-23
1.48055,0.392199,0.05,-0.00192128,0.00131825,5.96923e-23
1.48055,0.394967,0.05,-0.00190075,0.00131139,3.62643e-22
1.48055,0.397735,0.05,-0.00188022,0.00130453,6.65594e-22
