y,T10_0,T10_1,T10_2,T10_3,T10_4,T10_5,Ax_0,Ax_1,Ax_2,Ax_3,Ax_4,Ax_5,Rx_0,Rx_1,Rx_2,Rx_3,Rx_4,Rx_5
0,-7.4821842e-05,-3.7226318e-08,2.1609778e-24,7.4821842e-05,-4.3315177e-21,8.1428914e-37,0,0,0,0,0,0,0,0,0,0,0,0
0,-7.4821842e-05,-3.7226318e-08,2.1609778e-24,7.4821842e-05,-4.3315177e-21,8.1428914e-37,0,0,0,0,0,0,0,0,0,0,0,0
0.00086769924,3.1971715e-06,-1.9457247e-08,2.3192421e-19,-3.1971715e-06,3.1284268e-21,-4.1716102e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.0017874829,-2.1706736e-05,-4.6824693e-08,2.1515183e-19,2.1706736e-05,-1.7773623e-22,-5.1063937e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.0027624773,-3.7527874e-06,-1.2674047e-08,-1.4497051e-20,3.7527874e-06,-2.2119514e-21,-8.3369708e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.0037959966,-1.3431828e-07,-1.1238794e-09,8.6951306e-22,1.3431828e-07,-1.022186e-22,-1.0051224e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.0048915537,-1.9701385e-06,-1.8013112e-08,3.8058495e-20,1.9701385e-06,1.4984209e-21,-3.447661e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.0060528726,-5.3609391e-06,-6.0537583e-08,-4.3713497e-21,5.3609391e-06,-6.4939846e-22,-5.283987e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.0072839007,-8.929799e-06,-1.2786674e-07,1.1500851e-19,8.929799e-06,1.6059378e-20,-1.0336767e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.0085888223,-1.0059633e-05,-1.814015e-07,2.677082e-19,1.0059633e-05,-9.4014179e-21,-1.5927912e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.0099720729,-3.8758115e-06,-7.3676362e-08,1.5249737e-19,3.8758115e-06,-2.9418671e-20,-5.3421232e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.011438354,1.2190273e-05,4.6318251e-07,7.8475668e-19,-1.2190273e-05,6.2474182e-20,5.2371501e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.01299265,3.2304995e-05,1.6411357e-06,-1.4249249e-19,-3.2304995e-05,-5.0006658e-19,9.1751779e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.014640245,4.3204043e-05,3.1825781e-06,-4.7097891e-18,-4.3204043e-05,-2.9274544e-19,7.7813512e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.016386737,3.4640273e-05,3.7976932e-06,-1.8924618e-18,-3.4640273e-05,5.4888547e-19,1.123467e-30,0,0,0,0,0,0,0,0,0,0,0,0
0.018238064,8.7666745e-06,8.7950324e-07,2.0436067e-18,-8.7666745e-06,3.0353836e-19,3.7493513e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.020200518,-1.8888181e-05,-8.6751679e-06,2.8707921e-18,1.8888181e-05,7.406677e-19,-6.3799452e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.022280771,-2.0289546e-05,-1.4466736e-05,1.7631328e-18,2.0289546e-05,-3.3942276e-18,-3.4100614e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.024485892,-5.1023816e-06,-6.5301926e-06,-9.588557e-19,5.1023816e-06,-4.3901772e-18,7.9208761e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.026823378,-2.4250867e-06,3.6047073e-06,-9.7083967e-19,2.4250867e-06,4.3122924e-19,8.6926274e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.029301173,-6.1245809e-06,6.9187368e-06,-1.1279409e-18,6.1245809e-06,8.9835055e-19,-4.2138364e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.0319277,-7.0046465e-06,5.9558581e-06,-5.03834e-19,7.0046465e-06,2.4852512e-19,-3.231749e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.034711887,-5.6872622e-06,4.0454498e-06,-2.2113342e-19,5.6872622e-06,2.4914783e-19,-2.8927976e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.037663197,-4.1750015e-06,2.6563684e-06,2.4464575e-19,4.1750015e-06,2.3664628e-20,4.6825716e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.040791661,-2.9755212e-06,1.7605317e-06,4.0106856e-20,2.9755212e-06,-1.3699229e-19,6.1419835e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.044107915,-2.1075272e-06,1.1870492e-06,-5.3585734e-20,2.1075272e-06,1.8317562e-20,-2.6082298e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.047623229,-1.4871024e-06,8.0960168e-07,-7.3126557e-21,1.4871024e-06,-1.1825406e-21,5.8360409e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.051349553,-1.0404643e-06,5.5283096e-07,1.1899179e-21,1.0404643e-06,1.1061083e-21,1.1837481e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.055299553,-7.2487121e-07,3.7847556e-07,2.6062848e-21,7.2487121e-07,-2.7032843e-21,-2.5521503e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.059486654,-4.9572008e-07,2.5553156e-07,4.8313197e-22,4.9572008e-07,-3.1744818e-21,-1.8113737e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.06392509,-3.3121889e-07,1.690426e-07,-5.9332035e-21,3.3121889e-07,1.0959841e-22,1.2660631e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.068629948,-2.0994741e-07,1.0631579e-07,1.4781451e-22,2.0994741e-07,4.0350443e-21,7.9471591e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.073617218,-1.1520576e-07,5.7956693e-08,7.4144071e-22,1.1520576e-07,-1.610006e-22,-3.4317823e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.078903853,-4.3150279e-08,2.1554113e-08,-1.2564415e-22,4.3150279e-08,5.9872639e-22,-1.2454288e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.084507823,1.1166154e-08,-5.6173283e-09,3.9692798e-22,-1.1166154e-08,2.823624e-22,-9.0829502e-37,0,0,0,0,0,0,0,0,0,0,0,0
0.090448176,4.871944e-08,-2.4190028e-08,2.1668129e-22,-4.871944e-08,4.2116471e-23,9.7815946e-38,0,0,0,0,0,0,0,0,0,0,0,0
0.096745104,7.289708e-08,-3.5933857e-08,3.0579659e-22,-7.289708e-08,-1.3875662e-22,-5.4759578e-36,0,0,0,0,0,0,0,0,0,0,0,0
0.10342001,8.9228637e-08,-4.3671656e-08,-6.1779706e-22,-8.9228637e-08,1.1528803e-22,1.0409416e-35,0,0,0,0,0,0,0,0,0,0,0,0
