y,T10_0,T10_1,T10_2,T10_3,T10_4,T10_5,Ax_0,Ax_1,Ax_2,Ax_3,Ax_4,Ax_5,Rx_0,Rx_1,Rx_2,Rx_3,Rx_4,Rx_5
0.44812952,0.00038466665,0.0014871571,-5.648118e-19,-0.00038466665,-4.4733231e-19,4.3938492e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.44812952,0.00038466665,0.0014871571,-5.648118e-19,-0.00038466665,-4.4733231e-19,4.3938492e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.4488926,8.2697542e-06,3.3545663e-05,-9.9297948e-20,-8.2697542e-06,-8.3716967e-20,-1.0287596e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.44970147,-7.4036756e-05,-0.00028551985,-5.1440734e-20,7.4036756e-05,-4.4192959e-20,-2.8092185e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.45055887,-7.7245316e-06,-2.9463077e-05,5.0844814e-21,7.7245316e-06,3.3014984e-21,-4.0362524e-36,0,0,0,0,0,0,0,0,0,0,0,0
0.45146771,2.9325458e-06,1.0941779e-05,5.6249667e-20,-2.9325458e-06,4.2570171e-20,1.5659888e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.45243108,1.0093933e-06,3.7652039e-06,9.029156e-20,-1.0093933e-06,6.0085893e-20,6.9227161e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.45345225,-1.4497737e-06,-5.2078614e-06,2.4297692e-19,1.4497737e-06,1.8962868e-19,-2.0308934e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.45453469,-2.6900909e-06,-9.5321557e-06,-1.5821809e-19,2.6900909e-06,-4.0029691e-20,-5.0897939e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.45568207,-3.6676464e-06,-1.2767963e-05,-5.4563512e-19,3.6676464e-06,-4.3107639e-19,-4.1875044e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.45689828,-4.0002606e-06,-1.3662216e-05,1.3512319e-19,4.0002606e-06,2.360113e-20,-3.3918751e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.45818745,-2.5398166e-06,-8.5214683e-06,3.5164547e-19,2.5398166e-06,2.65899e-19,-2.3858289e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.45955396,1.2838214e-06,3.9915348e-06,1.6355518e-19,-1.2838214e-06,8.7424052e-20,4.8817605e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.46100243,6.248106e-06,1.9146273e-05,2.7804812e-19,-6.248106e-06,2.5868985e-19,1.084323e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.46253779,9.5750146e-06,2.7968903e-05,-1.489792e-19,-9.5750146e-06,2.5967566e-21,1.7737027e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.46416524,9.062465e-06,2.489659e-05,-3.0238905e-19,-9.062465e-06,-1.9200311e-19,1.2063288e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.4658903,4.8147753e-06,1.2412815e-05,-2.1803424e-21,-4.8147753e-06,-2.7750259e-21,-1.5705659e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.46771881,-1.0764937e-06,-2.03585e-06,1.2350129e-19,1.0764937e-06,5.1846445e-21,-1.5981372e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.46965699,-6.1417525e-06,-1.209426e-05,9.1029688e-20,6.1417525e-06,1.9904067e-19,1.699169e-33,0,0,0,0,0,0,0,0,0,0,0,0
