y,k,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
0,1e-10,0.060751309,0.00087328774,6.490884e-08,0.41430951,0.1152379,5.2400549e-11,0.030672465,2.0454669e-07,0.58462423,0.53464775
0,1e-10,0.060751309,0.00087328774,6.490884e-08,0.41430951,0.1152379,5.2400549e-11,0.030672465,2.0454669e-07,0.58462423,0.53464775
0.00086769924,3.3444641e-07,0.060750829,0.0020216362,5.9912564e-07,0.41414408,0.11344187,5.1720831e-09,0.030672209,1.4420827e-06,0.58462405,0.53525437
0.0017874829,2.7840988e-06,0.060749175,0.0058010981,3.2398034e-06,0.41380901,0.10974137,1.2609982e-07,0.030671837,7.5282903e-06,0.58462198,0.53588128
0.0027624773,1.2125932e-05,0.060746145,0.012425088,1.0311737e-05,0.41346597,0.10581104,1.1811025e-06,0.030671596,2.3956511e-05,0.58461113,0.53591831
0.0037959966,3.6733331e-05,0.060741746,0.021693246,2.4570138e-05,0.41311602,0.10160388,6.5623218e-06,0.03067137,5.7747741e-05,0.58457392,0.53597631
0.0048915537,8.9006571e-05,0.060735975,0.033512651,4.9198349e-05,0.4127607,0.097013259,2.6301596e-05,0.030671205,0.00011758833,0.58447527,0.53610556
0.0060528726,0.00018586403,0.06072887,0.04787777,8.788388e-05,0.41240235,0.091829277,8.4419705e-05,0.030671161,0.00021410604,0.58425531,0.53635146
0.0072839007,0.00034860215,0.06072059,0.06477768,0.00014474425,0.41204485,0.085706547,0.00023056205,0.030671437,0.00036020846,0.58382551,0.53675037
0.0085888223,0.00060087957,0.060711511,0.084096432,0.00022398871,0.41169453,0.078204248,0.0005557493,0.030672567,0.00057101825,0.58307804,0.53729831
0.0099720729,0.00096338074,0.060702284,0.10552081,0.0003292136,0.41136086,0.068985195,0.0012085899,0.03067579,0.00086182622,0.58192148,0.53791149
0.011438354,0.0014453642,0.060693752,0.12849795,0.00046246048,0.41105586,0.058164345,0.0024024218,0.030683559,0.0012415199,0.58034104,0.53842055
