y,k
0,1e-10
0.00048240845,1.0393036e-06
0.00098049384,1.8043054e-07
0.0014947656,6.4627699e-08
0.0020257498,3.9111913e-08
0.0025739895,4.0293377e-08
0.0031400454,5.8423641e-08
0.0037244966,9.3833223e-08
0.0043279408,1.5015036e-07
0.0049509953,2.3274081e-07
0.0055942973,3.4827741e-07
0.0062585048,5.0461774e-07
0.0069442972,7.1077721e-07
0.007652376,9.7693312e-07
0.0083834654,1.3144379e-06
0.0091383131,1.7358334e-06
0.0099176913,2.2548616e-06
0.010722397,2.8864622e-06
0.011553254,3.646747e-06
0.012411111,4.5529272e-06
0.013296846,5.6231654e-06
0.014211364,6.876314e-06
0.015155603,8.3314957e-06
0.016130526,1.0007483e-05
0.017137132,1.1921844e-05
0.018176449,1.4089849e-05
0.019249542,1.6523149e-05
0.020357507,1.922834e-05
0.021501477,2.2205563e-05
0.022682624,2.5447422e-05
0.023902154,2.8938514e-05
0.025161316,3.2655926e-05
0.026461397,3.6570974e-05
0.027803728,4.0652355e-05
0.02918968,4.4870757e-05
0.030620672,4.9210964e-05
0.032098167,5.369689e-05
0.033623676,5.8386953e-05
0.03519876,6.3356041e-05
0.03682503,6.8700148e-05
0.03850415,7.4538887e-05
0.040237836,8.1015269e-05
0.042027862,8.8294579e-05
0.043876059,9.6562114e-05
0.045784317,0.00010601963
0.047754588,0.00011688034
0.049788888,0.00012936235
0.051889297,0.00014368058
0.054057963,0.00016003722
0.056297104,0.00017861141
0.058609012,0.00019954879
0.06099605,0.0002229518
0.06346066,0.00024887203
0.066005363,0.00027730526
0.068632762,0.00030819001
0.071345544,0.00034140948
0.074146484,0.00037679635
0.077038447,0.00041413939
0.08002439,0.00045319039
0.083107369,0.00049366977
0.086290535,0.00053526889
0.089577146,0.00057765209
0.092970562,0.00062046659
0.096474255,0.00066334772
0.10009181,0.00070590068
0.10382692,0.00074769201
0.10768342,0.00078826101
0.11166524,0.00082713181
0.11577645,0.00086383756
0.12002127,0.00089796479
0.12440404,0.00092920378
0.12892923,0.0009573765
0.13360148,0.00098244042
0.13842557,0.0010044864
0.14340642,0.0010237122
0.14854914,0.0010404232
0.15385898,0.0010551043
0.15934138,0.0010684574
0.16500194,0.0010813789
0.17084645,0.0010949314
0.17688089,0.0011103131
0.18311143,0.0011288255
0.18954445,0.0011518399
0.19618653,0.0011807624
0.20304445,0.0012169891
0.21012524,0.0012618463
0.21743614,0.0013165277
0.22498461,0.0013820485
0.23277839,0.0014592272
