y,T01_0,T01_1,T01_2,T01_3,T01_4,T01_5,T02_0,T02_1,T02_2,T02_3,T02_4,T02_5,T03_0,T03_1,T03_2,T03_3,T03_4,T03_5
0.068629948,8.5395182e-19,-1.2992315e-16,2.4812203e-16,-4.2697577e-19,0,-4.2697577e-19,-4.123941e-31,-5.2749298e-33,-3.5941605e-33,1.3003462e-31,4.8394172e-32,2.8235948e-31,6.8940761e-32,-1.75831e-33,-1.1980535e-33,-7.2551598e-32,2.4197086e-32,3.6108383e-33
0.073617218,6.0572594e-19,-2.4451651e-17,6.6891194e-18,-3.0286294e-19,0,-3.0286294e-19,-2.0198889e-31,2.4529298e-33,-4.2154041e-33,5.463638e-32,-4.8453339e-32,1.4735251e-31,3.376961e-32,8.1764329e-34,-1.4051347e-33,-4.0063837e-32,-2.422667e-32,6.2942268e-33
0.078903853,5.7746241e-18,4.5530763e-17,1.0495868e-16,-2.8873121e-18,0,-2.8873121e-18,-3.9696044e-31,1.0917572e-33,-1.3404217e-33,5.0553594e-32,-5.5000511e-32,3.4640685e-31,6.6237647e-32,3.6391906e-34,-4.4680722e-34,-1.0708214e-31,-2.7500256e-32,4.084449e-32
0.084507823,-5.7300131e-19,-1.0339642e-17,1.2715335e-17,2.8650053e-19,0,2.8650053e-19,-5.5632804e-31,-1.7631605e-33,-2.6992407e-33,3.3254121e-32,2.1283433e-32,5.2307392e-31,9.2848989e-32,-5.8772016e-34,-8.9974688e-34,-1.6887944e-31,1.0641716e-32,7.6030456e-32
0.090448176,-4.4441985e-18,-1.9012944e-17,-1.9829705e-16,2.2220991e-18,0,2.2220991e-18,-2.8488687e-31,-1.8466118e-33,-4.3433634e-33,3.8961515e-32,3.7025428e-32,2.4592536e-31,4.7663745e-32,-6.1553725e-34,-1.4477878e-33,-7.5572835e-32,1.8512713e-32,2.790909e-32
0.096745104,-2.9044043e-18,6.1833466e-19,1.2077555e-21,1.4522021e-18,0,1.4522021e-18,-2.4296023e-32,-6.7997457e-34,-4.6158506e-38,2.4296023e-32,2.8827373e-37,1.8505675e-41,4.1786181e-33,-2.2665818e-34,-1.5386169e-38,3.9846967e-33,1.4413687e-37,-8.1633148e-33
0.10342001,-4.8279358e-19,5.925682e-17,6.4812283e-22,2.4139666e-19,0,2.4139666e-19,-2.271586e-32,-3.5266259e-34,-9.0053201e-38,2.271586e-32,-1.0655182e-38,1.9434327e-41,4.0686145e-33,-1.1755419e-34,-3.0017733e-38,3.6446579e-33,-5.3275888e-39,-7.7132725e-33
0.11049558,4.8825149e-18,-1.9386202e-17,1.771011e-23,-2.4412575e-18,0,-2.4412575e-18,-6.0537726e-32,-3.9409534e-33,-8.6586071e-38,6.0537726e-32,8.9324107e-38,1.8793366e-41,1.0598828e-32,-1.3136511e-33,-2.8862024e-38,9.8350176e-33,4.4662055e-38,-2.0433845e-32
0.11799587,4.1862804e-18,-7.6553814e-17,7.9493499e-17,-2.0931401e-18,0,-2.0931401e-18,-8.7643415e-32,-3.6354384e-33,-8.8986019e-34,4.8683597e-32,-4.5000221e-33,3.8959818e-32,1.49081e-32,-1.2118128e-33,-2.9662006e-34,-5.0231051e-33,-2.250011e-33,-9.8849947e-33
0.12594638,-6.2454548e-18,1.2298692e-17,-4.0688712e-17,3.1227273e-18,0,3.1227273e-18,-1.785721e-31,-4.8554765e-35,-1.7303594e-33,7.7498589e-33,-4.5760494e-33,1.7082224e-31,2.9930877e-32,-1.6184922e-35,-5.7678645e-34,-5.5733533e-32,-2.2880246e-33,2.5802655e-32
