"wallGradU:0","wallGradU:1","wallGradU:2","Points:0","Points:1","Points:2"
-14.35302,0.0039308,0,2.498096,0,0.08928572
-14.9743,0.004005784,0,2.578172,0,0.08928572
-15.5165,0.00404681,1.870681e-21,2.658248,0,0.08928572
-15.98458,0.004048553,1.983827e-26,2.738325,0,0.08928572
-16.37969,0.00400855,-1.870661e-21,2.818401,0,0.08928572
-16.70311,0.003927296,0,2.898477,0,0.08928572
-16.95595,0.003807287,5.313253e-21,2.978553,0,0.08928572
-17.13987,0.003651262,1.592224e-26,3.058629,0,0.08928572
-17.25687,0.003462986,2.042728e-21,3.138705,0,0.08928572
-17.30966,0.0032451,-4.218878e-21,3.218781,0,0.08928572
-17.30005,0.002999543,-7.355964e-21,3.298858,0,0.08928572
-17.22963,0.002730387,4.21888e-21,3.378934,0,0.08928572
-17.10111,0.002442911,-5.927128e-21,3.45901,0,0.08928572
-16.91768,0.002141724,2.780172e-26,3.539086,0,0.08928572
-16.68275,0.00183064,5.927155e-21,3.619162,0,0.08928572
-16.39982,0.001513385,-7.703914e-21,3.699239,0,0.08928572
-16.07277,0.001194978,6.75e-26,3.779315,0,0.08928572
-15.70599,0.0008794201,7.703981e-21,3.859391,0,0.08928572
-15.30372,0.0005694192,0,3.939467,0,0.08928572
-14.87015,0.0002677185,0,4.019543,0,0.08928572
-14.40938,-2.405002e-05,0,4.099619,0,0.08928572
-13.92521,-0.0003032162,2.799294e-21,4.179696,0,0.08928572
-13.42179,-0.0005668387,-3.830853e-26,4.259771,0,0.08928572
-12.9034,-0.0008142204,-2.799332e-21,4.339848,0,0.08928572
-12.37359,-0.001046113,0,4.419924,0,0.08928572
-11.83496,-0.001262149,0,4.5,0,0.08928572
-11.29057,-0.001460723,0,4.580076,0,0.08928572
-10.74349,-0.001642297,-3.579887e-21,4.660152,0,0.08928572
-10.19615,-0.001807053,5.206767e-26,4.740229,0,0.08928572
-9.650983,-0.001955676,3.57994e-21,4.820304,0,0.08928572
-9.109823,-0.002089365,0,4.900381,0,0.08928572
-8.57433,-0.002208255,0,4.980457,0,0.08928572
-8.046063,-0.002312568,0,5.060533,0,0.08928572
-7.526554,-0.00240269,0,5.140609,0,0.08928572
-7.017374,-0.002479496,0,5.220685,0,0.08928572
-6.519897,-0.002543724,0,5.300762,0,0.08928572
-6.035326,-0.002596547,0,5.380838,0,0.08928572
-5.564505,-0.002639429,0,5.460914,0,0.08928572
-5.107998,-0.002673397,0,5.54099,0,0.08928572
-4.666319,-0.002698803,0,5.621066,0,0.08928572
