"wallGradU:0","wallGradU:1","wallGradU:2","Points:0","Points:1","Points:2"
40.41205,0.1776839,-7.826375e-24,0,1,0.08928572
34.0677,0.1555031,-1.764329e-23,0.03558895,1.000165,0.08928572
37.74532,-0.07990143,2.550511e-22,0.07117777,1.00036,0.08928572
42.25196,-0.7172567,8.417427e-17,0.1067659,1.000135,0.08928572
38.64355,-1.937848,8.417388e-17,0.1423369,0.9990402,0.08928572
32.67512,-2.828335,0,0.1778415,0.9966313,0.08928572
20.08345,-2.843389,0,0.2131829,0.992484,0.08928572
6.368225,-1.083646,4.377314e-16,0.248208,0.9862172,0.08928572
-6.88765,2.131443,9.30438e-16,0.2827099,0.977526,0.08928572
-13.2366,5.060387,-5.957089e-17,0.3164471,0.9662149,0.08928572
-13.98617,6.423593,-5.522757e-16,0.3491834,0.9522822,0.08928572
-11.73663,6.323761,1.179942e-15,0.3808948,0.9361404,0.08928572
-9.551327,5.775005,-1.389238e-17,0.411663,0.9182609,0.08928572
-7.627875,5.064606,1.597208e-17,0.4416059,0.8990132,0.08928572
-6.505106,4.636195,-6.870305e-18,0.4708232,0.8787051,0.08928572
-5.767424,4.344275,9.455655e-18,0.4994486,0.8575609,0.08928572
-5.258414,4.131581,1.226161e-15,0.5275886,0.8357711,0.08928572
-4.854255,3.941124,1.238502e-15,0.555336,0.8134826,0.08928572
-4.524354,3.762716,3.725315e-15,0.5827766,0.7908176,0.08928572
-4.204166,3.555586,1.238373e-15,0.609992,0.7678828,0.08928572
-3.904257,3.334574,-2.500732e-15,0.6370605,0.7447748,0.08928572
-3.6143,3.097285,3.366086e-18,0.664058,0.7215837,0.08928572
-3.352197,2.863774,1.255641e-15,0.6910589,0.6983967,0.08928572
-3.132447,2.652567,-1.259834e-15,0.7181379,0.6753014,0.08928572
-2.970081,2.486493,-3.781884e-15,0.7453488,0.6523634,0.08928572
-2.851415,2.360621,-2.522045e-15,0.772693,0.6295846,0.08928572
-2.771154,2.270246,0,0.8001615,0.6069559,0.08928572
-2.727811,2.213021,0,0.8277454,0.584468,0.08928572
-2.719514,2.186492,1.261952e-15,0.8554351,0.5621107,0.08928572
-2.746619,2.190158,1.261955e-15,0.8832215,0.5398731,0.08928572
-2.808585,2.222966,-1.260949e-15,0.911095,0.5177438,0.08928572
-2.904928,2.284049,-3.781598e-15,0.939045,0.4957117,0.08928572
-3.034681,2.372335,-2.520656e-15,0.9670615,0.4737644,0.08928572
-3.195294,2.485682,-2.615223e-21,0.9951344,0.4518895,0.08928572
-3.382775,2.621,-1.407259e-20,1.023253,0.4300739,0.08928572
-3.588139,2.771511,-1.222721e-21,1.051408,0.4083044,0.08928572
-3.793587,2.921841,1.25916e-15,1.079588,0.3865677,0.08928572
-3.985685,3.056072,-5.965476e-19,1.107798,0.3648695,0.08928572
-4.165836,3.170478,9.267671e-19,1.136067,0.3432482,0.08928572
-4.333798,3.263355,-1.263168e-15,1.164428,0.3217469,0.08928572
-4.486875,3.331632,-1.260346e-15,1.192914,0.3004111,0.08928572
-4.622243,3.372413,1.263485e-15,1.221558,0.2792885,0.08928572
-4.73565,3.382086,1.267425e-15,1.250394,0.2584304,0.08928572
-4.823,3.35765,1.267428e-15,1.279456,0.237892,0.08928572
-4.880829,3.297085,-1.271796e-15,1.308787,0.2177298,0.08928572
-4.90595,3.199232,2.438227e-18,1.338417,0.1980145,0.08928572
-4.89799,3.065344,2.550384e-15,1.368384,0.1788211,0.08928572
-4.858705,2.898585,-1.983774e-18,1.398732,0.1602286,0.08928572
-4.802106,2.710189,-1.278136e-15,1.429496,0.1423342,0.08928572
-4.74387,2.515529,-3.871137e-21,1.460704,0.1252333,0.08928572
-4.67852,2.317513,-1.281809e-15,1.492368,0.1089825,0.08928572
-4.596234,2.113457,-1.281804e-15,1.524477,0.09363855,0.08928572
-4.495899,1.904764,-6.41167e-16,1.557028,0.07925466,0.08928572
-4.371961,1.691643,-1.923425e-15,1.590011,0.06588692,0.08928572
-4.22718,1.47761,-1.92292e-15,1.623407,0.05359494,0.08928572
-4.055422,1.263925,-6.406254e-16,1.657198,0.0424351,0.08928572
-3.867589,1.056165,1.953765e-20,1.691362,0.03246346,0.08928572
-3.656738,0.8561805,-9.39148e-23,1.725863,0.02373658,0.08928572
-3.453763,0.6711509,-3.175254e-16,1.760666,0.01630626,0.08928572
-3.250598,0.5020521,-9.505924e-16,1.795728,0.01022009,0.08928572
-3.127067,0.3538482,-4.757258e-16,1.831003,0.005520121,0.08928572
-3.078938,0.2231267,3.139725e-16,1.866438,0.002241471,0.08928572
-3.366771,0.100355,1.566129e-16,1.901978,0.0004111467,0.08928572
-4.346688,0.02280969,-1.902944e-20,1.937563,-7.249493e-09,0.08928572
-5.446156,0.001415046,1.889451e-20,1.973152,0,0.08928572
-6.344466,0.001304901,1.86648e-20,2.008742,0,0.08928572
-7.163567,0.00128552,7.7e-26,2.044331,0,0.08928572
-7.894641,0.001291527,-7.060252e-23,2.079921,0,0.08928572
-8.564348,0.001296758,1.858101e-20,2.11551,0,0.08928572
-9.170429,0.001313249,-1.157119e-23,2.151099,0,0.08928572
-9.728825,0.001329356,1.520312e-23,2.186689,-1.268826e-16,0.08928572
-10.24094,0.001351419,-1.858233e-20,2.222278,0,0.08928572
-10.71644,0.00137304,-1.859599e-20,2.257868,0,0.08928572
-11.1576,0.001396749,1.020437e-13,2.293457,0,0.08928572
-11.57035,0.00141973,2.042487e-13,2.329046,-6.344132e-17,0.08928572
-11.95678,0.001443592,1.02205e-13,2.364636,0,0.08928572
-12.32059,0.001465853,-1.890979e-20,2.400225,1.268826e-16,0.08928572
-12.6634,0.00148803,3.782845e-20,2.435815,0,0.08928572
-12.98757,0.001508047,1.890975e-20,2.471404,0,0.08928572
-13.29425,0.001526462,-1.899567e-20,2.506994,0,0.08928572
-13.58492,0.001542872,-1.930426e-20,2.542583,-1.268826e-16,0.08928572
-13.8604,0.001557697,-2.85e-26,2.578172,0,0.08928572
-14.1216,0.001569022,3.885419e-20,2.613762,0,0.08928572
-14.36907,0.001577838,2.602099e-26,2.649351,0,0.08928572
-14.60337,0.001584894,-1.954993e-20,2.684941,0,0.08928572
-14.82486,0.001589095,0,2.72053,0,0.08928572
-15.03387,0.001590461,0,2.756119,1.268826e-16,0.08928572
-15.23063,0.001589144,-2.029304e-20,2.791709,0,0.08928572
-15.41535,0.001585647,-2.046239e-20,2.827298,0,0.08928572
-15.58815,0.001577949,2.029301e-20,2.862887,0,0.08928572
-15.74916,0.001567127,-3.58038e-22,2.898477,0,0.08928572
-15.89846,0.001554717,-1.050438e-20,2.934066,0,0.08928572
-16.03615,0.001539178,2.082037e-20,2.969656,0,0.08928572
-16.16231,0.001520725,1.050436e-20,3.005245,0,0.08928572
-16.27705,0.001499363,0,3.040834,0,0.08928572
-16.38048,0.001475905,0,3.076424,0,0.08928572
-16.4727,0.001450465,0,3.112013,0,0.08928572
-16.55384,0.001420859,0,3.147603,0,0.08928572
-16.62401,0.00138915,0,3.183192,0,0.08928572
-16.68333,0.001355545,0,3.218781,0,0.08928572
-16.73196,0.001319638,0,3.254371,0,0.08928572
-16.77001,0.001282869,0,3.28996,0,0.08928572
-16.79766,0.001243943,0,3.32555,0,0.08928572
-16.81506,0.001202703,0,3.361139,0,0.08928572
-16.82233,0.001159128,0,3.396729,0,0.08928572
-16.81954,0.001113815,0,3.432318,0,0.08928572
-16.80681,0.001066859,0,3.467907,0,0.08928572
-16.78432,0.001018463,0,3.503497,0,0.08928572
-16.75224,0.0009688399,0,3.539086,0,0.08928572
-16.71077,0.0009180899,0,3.574676,0,0.08928572
-16.66011,0.0008662797,0,3.610265,0,0.08928572
-16.60047,0.0008134042,0,3.645854,0,0.08928572
-16.53206,0.0007596083,0,3.681444,0,0.08928572
-16.45509,0.0007050789,0,3.717033,0,0.08928572
-16.36981,0.0006499738,0,3.752623,0,0.08928572
-16.27644,0.0005944258,0,3.788212,0,0.08928572
-16.17521,0.000538604,0,3.823801,0,0.08928572
-16.06639,0.0004824475,6.850996e-21,3.859391,0,0.08928572
-15.95021,0.0004260267,-3.470583e-27,3.89498,0,0.08928572
-15.82694,0.0003695828,-1.384058e-20,3.93057,0,0.08928572
-15.69683,0.0003131721,1.534069e-13,3.966159,0,0.08928572
-15.56014,0.0002570284,3.082858e-13,4.001749,-6.344132e-17,0.08928572
-15.41715,0.000201341,1.548789e-13,4.037338,0,0.08928572
-15.26812,0.0001459605,-4.938189e-27,4.072927,0,0.08928572
-15.11334,9.080846e-05,-7.197706e-21,4.108517,0,0.08928572
-14.95306,3.61231e-05,3.702549e-21,4.144106,0,0.08928572
-14.78757,-1.797691e-05,3.736939e-21,4.179696,0,0.08928572
-14.61713,-7.128547e-05,-3.702558e-21,4.215285,0,0.08928572
-14.442,-0.0001238559,-3.736948e-21,4.250874,0,0.08928572
-14.26245,-0.0001758355,0,4.286464,0,0.08928572
-14.07872,-0.0002269757,0,4.322053,0,0.08928572
-13.89109,-0.0002770622,1.953406e-21,4.357642,0,0.08928572
-13.6998,-0.0003260075,-2.777259e-27,4.393232,-1.268826e-16,0.08928572
-13.5051,-0.0003737798,-1.953409e-21,4.428821,0,0.08928572
-13.30723,-0.0004211256,0,4.464411,0,0.08928572
-13.10642,-0.0004673852,0,4.5,0,0.08928572
-12.90291,-0.0005121295,1.017954e-21,4.535589,0,0.08928572
-12.69691,-0.0005560713,-7.336092e-28,4.571179,0,0.08928572
-12.48869,-0.0005985743,-1.017954e-21,4.606768,0,0.08928572
-12.27851,-0.000639837,0,4.642358,0,0.08928572
-12.06657,-0.0006800353,0,4.677947,0,0.08928572
-11.85304,-0.0007190365,0,4.713536,0,0.08928572
-11.63814,-0.000756849,-4.261279e-21,4.749126,0,0.08928572
-11.42209,-0.0007933145,7.536911e-27,4.784715,0,0.08928572
-11.20509,-0.0008284664,4.261286e-21,4.820304,0,0.08928572
-10.98734,-0.0008622346,8.703947e-21,4.855894,0,0.08928572
-10.76903,-0.0008948611,-7.359852e-27,4.891483,0,0.08928572
-10.55035,-0.0009266722,1.177061e-22,4.927073,0,0.08928572
-10.33146,-0.0009570416,-1.153788e-26,4.962662,0,0.08928572
-10.11254,-0.0009858421,-1.77584e-20,4.998251,0,0.08928572
-9.893744,-0.001013657,1.151919e-26,5.033841,0,0.08928572
-9.675228,-0.001040334,1.798584e-20,5.06943,0,0.08928572
-9.457139,-0.00106557,9.10426e-21,5.10502,0,0.08928572
-9.239624,-0.001089766,-9.049128e-21,5.140609,0,0.08928572
-9.022824,-0.001112728,-9.104283e-21,5.176198,0,0.08928572
-8.806873,-0.001134339,0,5.211788,0,0.08928572
