y,Ax_0,Ax_1,Ax_2,Ax_3,Ax_4,Ax_5,Rx_0,Rx_1,Rx_2,Rx_3,Rx_4,Rx_5
0,-3.7252607e-23,-3.2326424e-20,2.2203051e-42,2.8468794e-23,-6.3831184e-43,8.7838136e-24,-2.3813519e-23,-2.0664484e-20,1.4193176e-42,1.8198516e-23,-4.0803724e-43,5.6150034e-24
0.00086769924,0,0,0,0,0,0,-2.6904544e-22,-7.4929238e-20,1.5483581e-41,2.671525e-22,-1.9630727e-43,1.8929436e-24
0.0017874829,0,0,0,0,0,0,-1.6096473e-21,-2.6856937e-19,2.0753999e-40,1.605058e-21,-1.7374219e-42,4.5892861e-24
0.0027624773,0,0,0,0,0,0,-5.7157184e-21,-6.6235882e-19,3.1494212e-40,5.7126858e-21,4.93553e-42,3.0326127e-24
0.0037959966,0,0,0,0,0,0,-1.5049139e-20,-1.3105551e-18,-2.5346821e-39,1.5047217e-20,3.3725943e-41,1.922058e-24
0.0048915537,0,0,0,0,0,0,-3.2898454e-20,-2.260985e-18,-2.8218572e-39,3.2893855e-20,4.9080063e-42,4.5989812e-24
0.0060528726,0,0,0,0,0,0,-6.3527171e-20,-3.5619208e-18,2.1135596e-39,6.3517236e-20,-2.3656761e-41,9.9345128e-24
0.0072839007,0,0,0,0,0,0,-1.1237181e-19,-5.2648531e-18,1.1645874e-39,1.1235493e-19,2.0814322e-41,1.6871349e-23
0.0085888223,0,0,0,0,0,0,-1.8628546e-19,-7.4257636e-18,1.9372097e-38,1.8625911e-19,-3.2766407e-40,2.6344598e-23
0.0099720729,0,0,0,0,0,0,-2.9383017e-19,-1.0105955e-17,4.5661576e-38,2.9379034e-19,-7.7255543e-40,3.9832197e-23
0.011438354,0,0,0,0,0,0,-4.4562127e-19,-1.3372798e-17,5.4113315e-39,4.4556248e-19,2.042449e-40,5.8788707e-23
0.01299265,0,0,0,0,0,0,-6.5473453e-19,-1.7300568e-17,-6.9422513e-38,6.5464965e-19,1.2033014e-39,8.4884585e-23
0.014640245,0,0,0,0,0,0,-9.3719406e-19,-2.1971525e-17,6.4365007e-38,9.3707377e-19,-2.3148155e-39,1.2029818e-22
0.016386737,0,0,0,0,0,0,-1.3125704e-18,-2.7477497e-17,3.2583268e-38,1.3124025e-18,-8.3361866e-40,1.6786685e-22
0.018238064,0,0,0,0,0,0,-1.8045092e-18,-3.391824e-17,-2.6287709e-37,1.8042779e-18,7.4713403e-39,2.3118936e-22
0.020200518,0,0,0,0,0,0,-2.4414066e-18,-4.1401668e-17,-1.2553905e-37,2.4410917e-18,3.0333857e-39,3.1477992e-22
