x,wallShearStress_0,wallShearStress_1,wallShearStress_2
0.10000458,-7.1171718e-19,1.2634725e-20,1.6427615e-37
0.39775998,-6.1357511e-19,3.5117936e-19,9.9621589e-38
0.70039081,-2.6838828e-19,2.286147e-19,-6.1226419e-38
0.99909327,-1.9127917e-19,1.4862664e-19,-1.1712567e-39
1.3017854,-1.3064593e-19,8.8933697e-20,1.6870062e-37
1.6007759,-1.0598277e-19,3.9695944e-20,4.5873826e-39
1.9000332,-1.2272622e-19,4.3851828e-21,7.4750782e-38
2.2,-1.7817919e-19,5.4109093e-23,3.1389683e-43
2.5,-2.0343527e-19,3.097842e-23,1.097862e-40
2.8,-2.1845183e-19,1.877026e-23,4.0183779e-44
3.1,-2.2758052e-19,1.1346997e-23,3.0955582e-40
3.4,-2.3305078e-19,6.6840213e-24,-2.244768e-39
3.7,-2.3621081e-19,3.7576498e-24,4.6819688e-40
4,-2.3792162e-19,1.9056783e-24,3.0173456e-45
4.3,-2.3868826e-19,6.3254799e-25,7.7006402e-41
4.6,-2.387688e-19,-3.6549712e-25,8.5483003e-41
4.9,-2.3820692e-19,-1.4798861e-24,2.6850685e-40
5.2,-2.3682539e-19,-3.0703277e-24,-3.4835952e-44
5.5,-2.3420719e-19,-5.5636065e-24,1.7986833e-39
5.8,-2.2962953e-19,-9.5381633e-24,-2.1888226e-39
6.1,-2.2192058e-19,-1.5877036e-23,-7.0244561e-44
6.4,-2.0921587e-19,-2.6135499e-23,-1.1180876e-36
6.7,-1.8814155e-19,-4.4218423e-23,-9.1958957e-44
7,-1.4914001e-19,-1.1713116e-22,8.7860745e-45
7.2998928,-1.0571102e-19,-2.7726523e-20,-2.8111136e-38
7.6001892,-1.1743339e-19,-6.9916732e-20,1.1847281e-37
7.8995713,-1.6996255e-19,-1.3036253e-19,-1.4330982e-37
8.2014087,-2.3458781e-19,-1.9237984e-19,-8.7150945e-38
8.7994087,-7.9399192e-19,-1.0428646e-19,3.2342795e-40
