"wallGradU:0","wallGradU:1","wallGradU:2","Points:0","Points:1","Points:2"
41.86108,0.1836764,-3.647563e-23,0,1,0.08928572
35.39602,0.1615462,-3.05002e-23,0.03558895,1.000165,0.08928572
39.12378,-0.08150282,2.574431e-22,0.07117777,1.00036,0.08928572
43.67619,-0.7421303,8.678178e-17,0.1067659,1.000135,0.08928572
40.00879,-2.006368,8.678138e-17,0.1423369,0.9990402,0.08928572
33.95741,-2.943391,0,0.1778415,0.9966313,0.08928572
21.12603,-2.995498,0,0.2131829,0.992484,0.08928572
7.044715,-1.220839,4.501697e-16,0.248208,0.9862172,0.08928572
-6.699745,2.08214,9.57772e-16,0.2827099,0.977526,0.08928572
-13.46636,5.153485,-6.288552e-17,0.3164471,0.9662149,0.08928572
-14.40061,6.613407,-5.704859e-16,0.3491834,0.9522822,0.08928572
-12.08999,6.512818,1.22062e-15,0.3808948,0.9361404,0.08928572
-9.810959,5.930921,-1.434601e-17,0.411663,0.9182609,0.08928572
-7.809248,5.184431,1.673034e-17,0.4416059,0.8990132,0.08928572
-6.639566,4.731563,-6.951434e-18,0.4708232,0.8787051,0.08928572
-5.873539,4.424004,9.838807e-18,0.4994486,0.8575609,0.08928572
-5.345981,4.200172,1.268516e-15,0.5275886,0.8357711,0.08928572
-4.930358,4.002882,1.281079e-15,0.555336,0.8134826,0.08928572
-4.597393,3.823413,3.853242e-15,0.5827766,0.7908176,0.08928572
-4.274429,3.615003,1.280967e-15,0.609992,0.7678828,0.08928572
-3.972746,3.393069,-2.586343e-15,0.6370605,0.7447748,0.08928572
-3.680258,3.15383,3.384785e-18,0.664058,0.7215837,0.08928572
-3.416886,2.919068,1.298514e-15,0.6910589,0.6983967,0.08928572
-3.195204,2.705767,-1.302754e-15,0.7181379,0.6753014,0.08928572
-3.03235,2.538696,-3.910649e-15,0.7453488,0.6523634,0.08928572
-2.914539,2.412974,-2.607891e-15,0.772693,0.6295846,0.08928572
-2.835657,2.323201,0,0.8001615,0.6069559,0.08928572
-2.795086,2.267726,0,0.8277454,0.584468,0.08928572
-2.790423,2.243643,1.304647e-15,0.8554351,0.5621107,0.08928572
-2.822509,2.250826,1.304649e-15,0.8832215,0.5398731,0.08928572
-2.890665,2.288097,-1.303452e-15,0.911095,0.5177438,0.08928572
-2.994627,2.354751,-3.908891e-15,0.939045,0.4957117,0.08928572
-3.133457,2.449735,-2.605446e-15,0.9670615,0.4737644,0.08928572
-3.304588,2.57089,-3.073648e-21,0.9951344,0.4518895,0.08928572
-3.504026,2.715135,-1.528424e-20,1.023253,0.4300739,0.08928572
-3.722462,2.875451,-1.274701e-21,1.051408,0.4083044,0.08928572
-3.941385,3.035857,1.301056e-15,1.079588,0.3865677,0.08928572
-4.146656,3.179671,-5.339243e-19,1.107798,0.3648695,0.08928572
-4.339698,3.302962,8.836944e-19,1.136067,0.3432482,0.08928572
-4.520333,3.403967,-1.304907e-15,1.164428,0.3217469,0.08928572
-4.685779,3.479463,-1.302115e-15,1.192914,0.3004111,0.08928572
-4.833109,3.526386,1.305244e-15,1.221558,0.2792885,0.08928572
-4.957885,3.540909,1.309232e-15,1.250394,0.2584304,0.08928572
-5.055844,3.519841,1.309234e-15,1.279456,0.237892,0.08928572
-5.123344,3.460981,-1.313707e-15,1.308787,0.2177298,0.08928572
-5.157017,3.363008,2.513352e-18,1.338417,0.1980145,0.08928572
-5.156405,3.227102,2.63442e-15,1.368384,0.1788211,0.08928572
-5.12324,3.056413,-2.055592e-18,1.398732,0.1602286,0.08928572
-5.07222,2.862628,-1.320258e-15,1.429496,0.1423342,0.08928572
-5.020021,2.661937,-3.980838e-21,1.460704,0.1252333,0.08928572
-4.960982,2.457384,-1.324072e-15,1.492368,0.1089825,0.08928572
-4.884685,2.246023,-1.324067e-15,1.524477,0.09363855,0.08928572
-4.789784,2.029181,-6.623217e-16,1.557028,0.07925466,0.08928572
-4.670358,1.806983,-1.986906e-15,1.590011,0.06588692,0.08928572
-4.529246,1.583057,-1.986399e-15,1.623407,0.05359494,0.08928572
-4.359828,1.358627,-6.617775e-16,1.657198,0.0424351,0.08928572
-4.17294,1.139374,2.018288e-20,1.691362,0.03246346,0.08928572
-3.960582,0.9271242,-9.745627e-23,1.725863,0.02373658,0.08928572
-3.754161,0.729371,-3.27999e-16,1.760666,0.01630626,0.08928572
-3.544337,0.5472615,-9.819262e-16,1.795728,0.01022009,0.08928572
-3.414318,0.3863372,-4.914226e-16,1.831003,0.005520121,0.08928572
-3.359524,0.2434531,3.242615e-16,1.866438,0.002241471,0.08928572
-3.658132,0.1092546,1.617379e-16,1.901978,0.0004111467,0.08928572
-4.689444,0.02465942,-1.964916e-20,1.937563,-7.249493e-09,0.08928572
-5.846542,0.001487673,1.950594e-20,1.973152,0,0.08928572
-6.78536,0.001363654,1.926647e-20,2.008742,0,0.08928572
-7.63604,0.001337888,8.2e-26,2.044331,0,0.08928572
-8.391873,0.001341543,-7.129502e-23,2.079921,0,0.08928572
-9.081863,0.00134505,1.918282e-20,2.11551,0,0.08928572
-9.704664,0.001361469,-9.203414e-24,2.151099,0,0.08928572
-10.27742,0.001377638,1.879386e-23,2.186689,-1.268826e-16,0.08928572
-10.80196,0.00140053,-1.918565e-20,2.222278,0,0.08928572
-11.28854,0.001422268,-1.920137e-20,2.257868,0,0.08928572
-11.73961,0.001448661,1.053904e-13,2.293457,0,0.08928572
-12.16139,0.001473049,2.109577e-13,2.329046,-6.344132e-17,0.08928572
-12.55604,0.001498631,1.055673e-13,2.364636,0,0.08928572
-12.92739,0.001523198,-1.953706e-20,2.400225,1.268826e-16,0.08928572
-13.2771,0.001545071,3.908336e-20,2.435815,0,0.08928572
-13.60755,0.001565867,1.953702e-20,2.471404,0,0.08928572
-13.91993,0.001585171,-1.962797e-20,2.506994,0,0.08928572
-14.21572,0.001602297,-1.995384e-20,2.542583,-1.268826e-16,0.08928572
-14.49573,0.001615106,-2.95e-26,2.578172,0,0.08928572
-14.76089,0.001629247,4.016667e-20,2.613762,0,0.08928572
-15.0117,0.001641402,2.70217e-26,2.649351,0,0.08928572
-15.24874,0.001646907,-2.021283e-20,2.684941,0,0.08928572
-15.47236,0.001650689,0,2.72053,0,0.08928572
-15.68287,0.001652281,0,2.756119,1.268826e-16,0.08928572
-15.88049,0.001650871,-2.099542e-20,2.791709,0,0.08928572
-16.06542,0.001643217,-2.11737e-20,2.827298,0,0.08928572
-16.23777,0.001637391,2.099538e-20,2.862887,0,0.08928572
-16.39764,0.001629581,-3.768805e-22,2.898477,0,0.08928572
-16.54512,0.001613861,-1.08744e-20,2.934066,0,0.08928572
-16.68031,0.001596559,2.155052e-20,2.969656,0,0.08928572
-16.8033,0.001576804,1.087438e-20,3.005245,0,0.08928572
