y,I01,I02
2.9949976,2.7433964e-31,-2.7356916e-31
2.9981205,1.469238e-29,-1.4691927e-29
3.0010666,3.0787435e-29,-3.0785333e-29
3.0038458,2.2482577e-29,-2.2480561e-29
3.0064677,1.2915259e-29,-1.291502e-29
3.008941,1.2410541e-29,-1.2410291e-29
3.0112742,1.1879866e-29,-1.1879608e-29
3.0134753,3.3779034e-29,-3.377879e-29
3.0155518,2.7772111e-29,-2.7771979e-29
3.0175106,8.501768e-30,-8.5011892e-30
3.0193585,4.622938e-29,-4.6228677e-29
3.0211018,1.4080086e-28,-1.4079996e-28
3.0227463,1.744045e-28,-1.7440326e-28
3.0242977,7.2495136e-29,-7.2494254e-29
3.0257612,7.038178e-30,-7.0377809e-30
3.0271418,3.6439021e-29,-3.6438368e-29
3.0284443,5.0405476e-29,-5.040448e-29
3.029673,6.1059238e-29,-6.1058328e-29
3.0308321,4.9032751e-29,-4.9031843e-29
3.0319256,9.0260435e-30,-9.0255741e-30
3.0329571,3.6525867e-30,-3.6523988e-30
3.0339302,4.3665438e-29,-4.3665264e-29
3.0348483,0.024025029,-0.024025029
3.0357143,0.04805,-0.04805
