y,I01,I02
0,0.048049978,-0.048049933
0.00086769924,0.024024993,-0.02402497
0.0017874829,4.3281475e-30,-4.3277285e-30
0.0027624773,3.5788493e-30,-3.578527e-30
0.0037959966,2.3084742e-30,-2.3081078e-30
0.0048915537,1.1162025e-30,-1.1148683e-30
0.0060528726,4.3503547e-30,-4.3487729e-30
0.0072839007,6.5562356e-30,-6.5556739e-30
0.0085888223,3.2022628e-30,-3.202153e-30
0.0099720729,1.413073e-30,-1.412744e-30
0.011438354,8.7372211e-30,-8.7368436e-30
0.01299265,1.3661321e-29,-1.3660457e-29
0.014640245,6.6555832e-30,-6.6546507e-30
0.016386737,7.4917206e-31,-7.4884972e-31
0.018238064,2.2654598e-30,-2.264653e-30
0.020200518,3.6976583e-30,-3.6969915e-30
0.022280771,3.2964574e-30,-3.2956771e-30
0.024485892,3.240678e-30,-3.2393631e-30
0.026823378,2.0683726e-30,-2.0667758e-30
0.029301173,9.0926823e-31,-9.0816839e-31
0.0319277,4.2382532e-31,-4.2373757e-31
0.034711887,3.4457667e-31,-3.4310515e-31
0.037663197,3.4403591e-31,-3.4125156e-31
0.040791661,1.2989354e-31,-1.2855402e-31
0.044107915,7.9455927e-32,-7.9216037e-32
0.047623229,2.3365042e-30,-2.3360507e-30
0.051349553,5.0757742e-30,-5.0746377e-30
0.055299553,5.0048879e-30,-5.003927e-30
0.059486654,2.9028585e-30,-2.9026643e-30
0.06392509,7.9780441e-31,-7.9756761e-31
0.068629948,3.0654547e-31,-3.0614166e-31
0.073617218,1.9435507e-31,-1.9404933e-31
0.078903853,1.3209335e-31,-1.3171423e-31
0.084507823,1.1797279e-31,-1.175377e-31
0.090448176,3.3998205e-32,-3.3811596e-32
0.096745104,6.312299e-32,-6.2423991e-32
0.10342001,1.2511825e-31,-1.2430605e-31
0.11049558,7.6853949e-32,-7.6501025e-32
0.11799587,1.9117547e-31,-1.9096638e-31
0.12594638,3.5142797e-31,-3.5111537e-31
0.13437411,1.8883634e-31,-1.8860252e-31
0.14330773,2.2405583e-32,-2.2119263e-32
0.1527776,8.1342856e-32,-8.0882656e-32
0.1628159,5.545241e-31,-5.5421563e-31
0.17345677,5.9456516e-31,-5.942437e-31
0.18473635,1.4687492e-31,-1.4662109e-31
0.19669301,1.8045461e-31,-1.8017074e-31
0.20936737,2.8212764e-31,-2.813047e-31
0.22280253,1.3118696e-31,-1.303604e-31
0.23704414,6.6981266e-33,-6.217215e-33
0.25214061,1.2947753e-32,-1.1955458e-32
0.26814327,1.0013336e-32,-9.1580425e-33
0.28510649,3.580759e-32,-3.5565064e-32
0.30308795,5.6571883e-32,-5.6038761e-32
0.32214876,2.5229711e-32,-2.46459e-32
0.34235371,2.5994205e-33,-1.794673e-33
0.36377149,2.155446e-33,-1.4940835e-33
0.38647488,6.5276107e-32,-6.4465541e-32
0.41054106,1.2140717e-31,-1.2059429e-31
0.43605183,1.0434222e-31,-1.0375602e-31
0.46309391,1.0285074e-31,-1.0175004e-31
0.49175922,6.9479259e-32,-6.8938935e-32
0.52214518,1.8480525e-32,-1.8079256e-32
0.55435509,9.5018953e-33,-8.4298027e-33
0.58849842,6.2792093e-33,-5.2973503e-33
0.62469124,9.4976519e-33,-8.851483e-33
0.66305656,1.4625466e-32,-1.4170966e-32
0.70372479,7.7365382e-33,-7.1675597e-33
0.74683417,9.3114692e-34,-3.0423588e-34
0.79253123,3.8488617e-34,-4.1330495e-35
0.84097128,5.5345261e-34,-1.9967414e-34
0.87300938,1.0284825e-33,-4.0450207e-34
0.89232374,1.3275374e-33,-5.3264365e-34
0.94676658,7.6879276e-33,-7.0485902e-33
1.0044767,2.187587e-32,-2.1686638e-32
1.0656501,3.0758455e-32,-3.0016358e-32
1.1304946,2.1140515e-32,-2.0338936e-32
1.1992304,1.0350438e-32,-1.0108611e-32
1.272091,4.6194875e-33,-4.5765637e-33
1.3493238,2.7219042e-33,-2.3217825e-33
1.4311911,2.3075022e-33,-1.6928768e-33
1.5179708,6.8807732e-34,-1.3805537e-34
1.6047489,6.5140647e-34,-2.253305e-34
1.6866115,8.8011407e-34,-2.4927528e-34
1.7437698,1.0077871e-33,-2.7559378e-34
1.7638597,1.0556502e-33,-2.8250212e-34
1.8367876,1.2620484e-33,-7.4834768e-34
1.9055763,8.5486315e-34,-6.5843803e-34
1.970461,9.130332e-33,-9.0056702e-33
2.0316639,1.9190244e-32,-1.853054e-32
2.0893942,1.088985e-32,-1.0051845e-32
2.1438493,3.8232273e-32,-3.7642039e-32
2.1952153,5.2773874e-32,-5.1673779e-32
2.2436677,3.0650189e-32,-2.9189165e-32
2.289372,1.4946166e-32,-1.3977628e-32
2.3324844,1.0630534e-33,-7.4417788e-34
2.373152,9.4868437e-32,-9.4017864e-32
2.4115136,2.0171107e-31,-2.0087596e-31
2.4477001,1.8239023e-31,-1.8235259e-31
2.4818351,2.4720154e-31,-2.4692225e-31
2.5140349,1.943937e-31,-1.9372003e-31
2.5444093,2.0312147e-32,-1.9805459e-32
2.573062,2.1668065e-33,-2.0660181e-33
2.5828748,5.7152471e-32,-5.6950235e-32
2.6000986,1.5355134e-31,-1.5314605e-31
2.6256058,3.1894086e-31,-3.1847149e-31
2.6496662,1.6789473e-31,-1.6748396e-31
2.6723619,3.1338586e-33,-2.3721065e-33
2.6937705,2.721309e-33,-1.926943e-33
2.7139649,1.1189595e-31,-1.1134193e-31
2.7330143,3.809397e-31,-3.8051902e-31
2.7509836,5.5501857e-31,-5.5471272e-31
2.7679341,1.5159706e-30,-1.5151861e-30
2.7839236,2.1540745e-30,-2.1532108e-30
2.7990067,1.1019982e-30,-1.1009509e-30
2.8132348,3.7779536e-31,-3.7637711e-31
2.8266564,9.2300017e-31,-9.2173782e-31
2.8393173,1.306162e-30,-1.3054081e-30
2.8512607,6.3078252e-31,-6.304703e-31
2.8625272,9.2300223e-31,-9.2257965e-31
2.8731552,1.8393346e-30,-1.8389125e-30
2.8831809,9.7776004e-31,-9.7736264e-31
2.8926385,1.7907555e-32,-1.7419205e-32
2.9015602,1.5528611e-30,-1.5523848e-30
2.9099764,3.2755399e-30,-3.2751784e-30
2.9179157,2.2593599e-30,-2.2585349e-30
2.9254053,3.777753e-30,-3.7769666e-30
2.9324704,4.4679017e-30,-4.4675409e-30
2.9391353,1.4974866e-30,-1.4972582e-30
2.9454227,1.49993e-30,-1.4996854e-30
2.9513538,2.5736446e-30,-2.5731814e-30
2.956949,4.3215654e-30,-4.321273e-30
2.9622271,6.2560579e-30,-6.2555447e-30
2.9672063,3.3237971e-30,-3.3222167e-30
2.9719035,5.4459297e-31,-5.4342239e-31
2.9763345,1.1008779e-30,-1.1007651e-30
2.9805146,6.1852535e-31,-6.1833742e-31
2.9844579,2.1293103e-30,-2.1291487e-30
2.9881778,1.1554717e-29,-1.1554524e-29
2.9916871,1.2252394e-29,-1.2251836e-29
