y,gradU_0,gradU_1,gradU_2,gradU_3,gradU_4,gradU_5,gradU_6,gradU_7,gradU_8
0.74683417,-1.7885525e-18,0,0,7.6800349e-19,0,0,3.880207e-21,0,0
0.79253123,-8.1359221e-19,0,0,1.1013348e-18,0,0,2.0055793e-21,0,0
0.84097128,9.5767034e-19,0,0,-3.841431e-18,0,0,1.4052457e-22,0,0
0.87299488,1.4525283e-18,0,0,-2.7705192e-18,0,0,-4.5866902e-21,0,0
0.89232374,1.6592428e-18,0,0,-2.0375424e-18,0,0,-7.1588719e-21,0,0
0.94676656,2.5884443e-18,0,0,1.0530376e-18,0,0,1.3579411e-17,0,0
1.0044767,2.4297213e-18,0,0,-4.5759833e-20,0,0,9.3786408e-19,0,0
1.06565,1.1353752e-18,0,0,-3.9079625e-19,0,0,-1.3958625e-17,0,0
1.1304945,-1.5484515e-19,0,0,-7.9582029e-19,0,0,4.4179322e-19,0,0
1.1992303,-3.6891475e-19,0,0,1.8050118e-19,0,0,-6.0557226e-18,0,0
1.2720909,-1.213251e-18,0,0,3.1468101e-19,0,0,-7.6931828e-19,0,0
1.3493237,-1.36479e-18,0,0,-6.1756575e-19,0,0,6.0697573e-18,0,0
1.4311909,-9.8457481e-19,0,0,1.2110876e-19,0,0,-1.8601685e-21,0,0
1.5179707,-2.8581928e-20,0,0,5.8218822e-19,0,0,-4.4057788e-22,0,0
1.6047488,6.7546734e-20,0,0,2.3219153e-19,0,0,3.4327337e-21,0,0
1.6866113,9.3405478e-19,0,0,5.8388241e-19,0,0,3.7326978e-21,0,0
1.7437929,7.136379e-19,0,0,-3.6507175e-19,0,0,-4.3342925e-18,0,0
1.7638596,6.0945445e-19,0,0,-7.1341725e-19,0,0,-5.7175953e-18,0,0
1.8367875,-4.800349e-19,0,0,7.1341205e-19,0,0,1.3093943e-18,0,0
1.9055761,7.9088321e-21,0,0,4.0421723e-19,0,0,5.9434846e-18,0,0
1.9704609,5.7182291e-19,0,0,-1.3897003e-18,0,0,8.7191585e-18,0,0
2.0316638,1.0969498e-18,0,0,3.1496289e-19,0,0,-7.9737829e-19,0,0
2.0893941,6.0381814e-19,0,0,9.1913867e-19,0,0,-8.7187622e-18,0,0
2.1438492,-1.2600226e-19,0,0,-5.0893696e-19,0,0,-9.0773611e-18,0,0
2.1952152,-1.1615683e-18,0,0,-4.9938219e-19,0,0,-8.2618537e-18,0,0
2.2436676,-1.7201726e-18,0,0,-1.1786176e-18,0,0,1.0251355e-17,0,0
2.289372,-1.314536e-18,0,0,-1.4410499e-18,0,0,9.4435597e-18,0,0
2.3324844,-6.3736606e-19,0,0,-1.6840905e-18,0,0,-8.0171602e-22,0,0
2.3731519,7.9708058e-19,0,0,7.8904556e-19,0,0,-2.0511182e-21,0,0
2.4115135,-7.4915897e-20,0,0,3.0013867e-18,0,0,-7.6289776e-22,0,0
2.4477001,-8.4297863e-19,0,0,4.5707213e-18,0,0,1.5917953e-17,0,0
2.481835,8.1852152e-19,0,0,3.1586302e-18,0,0,2.9088771e-19,0,0
2.5140348,1.3229533e-18,0,0,-4.7749638e-18,0,0,-1.6967823e-17,0,0
2.5444093,1.9910525e-19,0,0,-3.4341554e-18,0,0,4.0421863e-21,0,0
2.573062,-1.5360583e-18,0,0,0,0,0,-1.9569415e-21,0,0
2.5828764,-1.5895172e-18,0,0,0,0,0,-3.0377362e-21,0,0
2.6000986,-1.6851403e-18,0,0,4.3098202e-20,0,0,-2.6920926e-19,0,0
2.6256058,4.4499042e-19,0,0,2.2849779e-18,0,0,-5.7956645e-22,0,0
2.6496662,1.5150137e-18,0,0,-3.266924e-19,0,0,-2.5236021e-17,0,0
2.6723619,1.9738442e-18,0,0,-2.2872625e-18,0,0,1.6649638e-18,0,0
2.6937705,2.1762352e-18,0,0,-2.8108135e-20,0,0,9.2993393e-18,0,0
2.713965,-2.9044217e-19,0,0,1.4459424e-18,0,0,-1.2905804e-17,0,0
2.7330143,-5.9577383e-19,0,0,1.7445906e-18,0,0,3.7436703e-17,0,0
2.7509836,1.4281446e-18,0,0,1.2727747e-18,0,0,8.7502622e-18,0,0
2.7679341,2.1160684e-18,0,0,-1.8846261e-18,0,0,-3.3652031e-17,0,0
2.7839236,7.2593798e-19,0,0,-1.509813e-18,0,0,5.3866584e-18,0,0
2.7990067,-6.2878282e-19,0,0,-9.9499409e-20,0,0,1.5089437e-17,0,0
2.8132348,6.2544192e-19,0,0,4.0060563e-18,0,0,4.9400225e-17,0,0
2.8266564,-3.9261763e-19,0,0,3.8245191e-18,0,0,-6.8230211e-17,0,0
2.8393174,3.8501889e-19,0,0,-2.9324507e-18,0,0,-4.8173569e-17,0,0
2.8512607,5.0853296e-19,0,0,-6.1066146e-18,0,0,6.8635891e-17,0,0
2.8625272,-1.0284677e-18,0,0,6.9215474e-18,0,0,8.8174413e-18,0,0
2.8731552,4.4484394e-19,0,0,9.7775487e-18,0,0,2.967523e-17,0,0
2.8831809,7.7316647e-20,0,0,-1.1580166e-17,0,0,-1.0641321e-17,0,0
2.8926385,1.8626524e-19,0,0,-7.5349544e-18,0,0,7.9670854e-17,0,0
2.9015602,5.454291e-19,0,0,2.2996679e-18,0,0,-5.8951601e-17,0,0
2.9099764,-4.1106485e-19,0,0,-6.6212745e-18,0,0,-2.2601118e-16,0,0
2.9179158,-5.609221e-19,0,0,3.9805122e-19,0,0,-4.9998439e-18,0,0
2.9254053,1.6192225e-19,0,0,1.8785251e-17,0,0,5.2327032e-17,0,0
2.9324705,6.5220219e-20,0,0,7.1916739e-18,0,0,4.737384e-17,0,0
2.9391354,-1.8652105e-18,0,0,-8.1059105e-18,0,0,2.511033e-16,0,0
2.9454227,-3.3890448e-18,0,0,-8.6460259e-18,0,0,-1.2106658e-17,0,0
2.9513538,-1.680999e-18,0,0,8.7969483e-18,0,0,-1.8406183e-16,0,0
2.956949,7.1133782e-19,0,0,1.9928468e-17,0,0,8.4784567e-17,0,0
2.9622271,1.3056846e-19,0,0,6.0235398e-18,0,0,3.0640168e-17,0,0
2.9672063,-9.4032891e-19,0,0,-1.7757941e-17,0,0,1.4112002e-16,0,0
2.9719035,3.6421606e-19,0,0,-1.0838337e-17,0,0,-4.7621959e-17,0,0
2.9763345,-1.7820268e-19,0,0,6.9753345e-18,0,0,-2.1329302e-16,0,0
