y,Ax_0,Ax_1,Ax_2,Ax_3,Ax_4,Ax_5,Rx_0,Rx_1,Rx_2,Rx_3,Rx_4,Rx_5
0.44812952,0,0,0,0,0,0,0,0,0,0,0,0
0.44889266,0,0,0,0,0,0,0,0,0,0,0,0
0.44970152,0,0,0,0,0,0,0,0,0,0,0,0
0.45055892,0,0,0,0,0,0,0,0,0,0,0,0
0.45146777,0,0,0,0,0,0,0,0,0,0,0,0
0.45243114,0,0,0,0,0,0,0,0,0,0,0,0
0.45345231,0,0,0,0,0,0,0,0,0,0,0,0
0.45453475,0,0,0,0,0,0,0,0,0,0,0,0
0.45568213,0,0,0,0,0,0,0,0,0,0,0,0
0.45689834,0,0,0,0,0,0,0,0,0,0,0,0
0.45818751,0,0,0,0,0,0,0,0,0,0,0,0
0.45955401,0,0,0,0,0,0,0,0,0,0,0,0
0.46100249,0,0,0,0,0,0,0,0,0,0,0,0
0.46253785,0,0,0,0,0,0,0,0,0,0,0,0
0.46416529,0,0,0,0,0,0,0,0,0,0,0,0
0.46589035,0,0,0,0,0,0,0,0,0,0,0,0
0.46771887,0,0,0,0,0,0,0,0,0,0,0,0
0.46965705,0,0,0,0,0,0,0,0,0,0,0,0
0.47171146,0,0,0,0,0,0,0,0,0,0,0,0
0.47388905,0,0,0,0,0,0,0,0,0,0,0,0
0.47619722,0,0,0,0,0,0,0,0,0,0,0,0
0.47864379,0,0,0,0,0,0,0,0,0,0,0,0
0.48123703,0,0,0,0,0,0,0,0,0,0,0,0
0.48398573,0,0,0,0,0,0,0,0,0,0,0,0
0.4868992,0,0,0,0,0,0,0,0,0,0,0,0
0.4899873,0,0,0,0,0,0,0,0,0,0,0,0
0.49326049,0,0,0,0,0,0,0,0,0,0,0,0
0.49672983,0,0,0,0,0,0,0,0,0,0,0,0
0.50040707,0,0,0,0,0,0,0,0,0,0,0,0
0.50430464,0,0,0,0,0,0,0,0,0,0,0,0
0.50843572,0,0,0,0,0,0,0,0,0,0,0,0
0.51281426,0,0,0,0,0,0,0,0,0,0,0,0
0.51745505,0,0,0,0,0,0,0,0,0,0,0,0
0.52237379,0,0,0,0,0,0,0,0,0,0,0,0
0.52758706,0,0,0,0,0,0,0,0,0,0,0,0
0.53311245,0,0,0,0,0,0,0,0,0,0,0,0
0.53896862,0,0,0,0,0,0,0,0,0,0,0,0
0.5451753,0,0,0,0,0,0,0,0,0,0,0,0
0.55175341,0,0,0,0,0,0,0,0,0,0,0,0
0.5587251,0,0,0,0,0,0,0,0,0,0,0,0
0.56611385,0,0,0,0,0,0,0,0,0,0,0,0
0.57394452,0,0,0,0,0,0,0,0,0,0,0,0
0.58224344,0,0,0,0,0,0,0,0,0,0,0,0
0.59103849,0,0,0,0,0,0,0,0,0,0,0,0
0.60035921,0,0,0,0,0,0,0,0,0,0,0,0
0.61023689,0,0,0,0,0,0,0,0,0,0,0,0
0.62070465,0,0,0,0,0,0,0,0,0,0,0,0
0.63179756,0,0,0,0,0,0,0,0,0,0,0,0
0.64355276,0,0,0,0,0,0,0,0,0,0,0,0
0.65600958,0,0,0,0,0,0,0,0,0,0,0,0
0.66920964,0,0,0,0,0,0,0,0,0,0,0,0
0.68319703,0,0,0,0,0,0,0,0,0,0,0,0
0.6980184,0,0,0,0,0,0,0,0,0,0,0,0
0.71372312,0,0,0,0,0,0,0,0,0,0,0,0
0.73036348,0,0,0,0,0,0,0,0,0,0,0,0
0.74799478,0,0,0,0,0,0,0,0,0,0,0,0
0.76667556,0,0,0,0,0,0,0,0,0,0,0,0
0.78646776,0,0,0,0,0,0,0,0,0,0,0,0
0.80743691,0,0,0,0,0,0,0,0,0,0,0,0
0.82965235,0,0,0,0,0,0,0,0,0,0,0,0
0.85318741,0,0,0,0,0,0,0,0,0,0,0,0
0.87811967,0,0,0,0,0,0,0,0,0,0,0,0
0.90453116,0,0,0,0,0,0,0,0,0,0,0,0
0.93250863,0,0,0,0,0,0,0,0,0,0,0,0
0.96214382,0,0,0,0,0,0,0,0,0,0,0,0
0.99353369,0,0,0,0,0,0,0,0,0,0,0,0
1.0139869,0,0,0,0,0,0,0,0,0,0,0,0
1.0267827,0,0,0,0,0,0,0,0,0,0,0,0
1.0620005,0,0,0,0,0,0,0,0,0,0,0,0
1.0992983,0,0,0,0,0,0,0,0,0,0,0,0
1.1387972,0,0,0,0,0,0,0,0,0,0,0,0
1.1806248,0,0,0,0,0,0,0,0,0,0,0,0
1.2249163,0,0,0,0,0,0,0,0,0,0,0,0
1.271814,0,0,0,0,0,0,0,0,0,0,0,0
1.3214686,0,0,0,0,0,0,0,0,0,0,0,0
1.3740391,0,0,0,0,0,0,0,0,0,0,0,0
1.4296932,0,0,0,0,0,0,0,0,0,0,0,0
1.4886081,0,0,0,0,0,0,0,0,0,0,0,0
1.5509706,0,0,0,0,0,0,0,0,0,0,0,0
