x,wallShearStress_0,wallShearStress_1,wallShearStress_2
0.10000458,-0.0037974324,7.6568834e-05,2.1641997e-21
0.39775998,0.0013862336,-0.00077481401,9.6605247e-20
0.70039081,0.00048463192,-0.00041068113,-6.102212e-21
0.99909327,0.00046594622,-0.00036256891,-2.6155539e-21
1.3017854,0.00069065031,-0.00046814998,1.1811299e-19
1.6007759,0.00065808596,-0.00024633611,1.4830187e-21
1.9000332,0.00058190097,-2.0385252e-05,-4.0120383e-21
2.2,0.0013687282,-9.6243452e-07,-2.9749721e-24
2.5,0.0016693575,-7.2372584e-07,-4.0294009e-24
2.8,0.001776907,-5.3074868e-07,-7.3293775e-25
3.1,0.001759424,-3.2259528e-07,-4.8754579e-25
3.4,0.0016508606,-1.147262e-07,-5.2156379e-23
3.7,0.0014805647,6.7605685e-08,2.8345788e-23
4,0.0012751565,2.0983356e-07,3.1677531e-26
4.3,0.0010561395,3.0935245e-07,5.114577e-23
4.6,0.00083893245,3.7034625e-07,-6.6120127e-23
4.9,0.00063421135,3.9932416e-07,-5.9272796e-23
5.2,0.0004484118,4.050618e-07,-2.6982736e-25
5.5,0.00028524721,3.9387368e-07,-8.8231712e-23
5.8,0.0001475046,3.6883206e-07,4.6982414e-23
6.1,3.8764425e-05,3.3365917e-07,-6.5960967e-25
6.4,-3.7059032e-05,2.8751726e-07,-1.2682087e-17
6.7,-6.7415099e-05,2.1194364e-07,-1.3385303e-24
7,-6.4940398e-06,2.024166e-08,1.915163e-23
7.2998928,5.7366556e-05,1.3548545e-05,-7.1789041e-20
7.6001892,-0.00022979436,-0.00013945005,1.9172409e-19
7.8995713,-0.0011244536,-0.00085532309,-1.4688535e-19
8.2014087,-0.0023764331,-0.0019268955,-5.3760998e-20
8.7994087,-0.0081593035,-0.0011399387,-5.0509285e-20
