y,R_0,R_1,R_2,R_3,R_4,R_5,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5
0,6.6666667e-11,0,0,6.6666667e-11,0,6.6666667e-11,0,0,0,0,0,0
0.00048240845,1.3492717e-08,1.7573031e-12,-5.1518735e-35,1.3492696e-08,-1.7116855e-34,1.3492705e-08,1.1645931e-07,-1.2566938e-10,-1.2577306e-28,6.4261918e-13,5.4123767e-31,5.1750347e-48
0.00098049384,2.9703026e-08,2.3907477e-11,9.9615666e-36,2.9702436e-08,-3.340292e-33,2.9702727e-08,3.8170717e-07,-2.9291337e-10,-7.969174e-29,9.2180803e-13,2.0014132e-31,4.9263261e-48
0.0014947656,1.1767206e-07,2.104887e-10,1.0996797e-32,1.1766498e-07,-8.925845e-32,1.1766851e-07,8.01867e-07,-4.8284516e-10,1.7246961e-28,1.0879701e-12,-1.9014077e-31,3.5604841e-48
0.0020257498,3.3978712e-07,1.1241429e-09,4.364989e-33,3.3974011e-07,2.0173007e-31,3.3976354e-07,1.359313e-06,-7.0497123e-10,1.5201453e-28,1.3281126e-12,9.3949483e-32,8.5835053e-48
0.0025739895,7.8747685e-07,4.338619e-09,-9.6602326e-32,7.8726131e-07,5.8826817e-31,7.8736878e-07,2.0363486e-06,-9.4556187e-10,-2.1360382e-28,1.6950072e-12,5.7961235e-31,1.3827701e-47
0.0031400454,1.5771577e-06,1.3435687e-08,5.3413354e-31,1.5763882e-06,-3.0055405e-30,1.5767721e-06,2.8154621e-06,-1.1589118e-09,-1.1007898e-28,2.2941004e-12,6.7288791e-31,9.5017921e-48
0.0037244966,2.8526043e-06,3.5554448e-08,9.43128e-31,2.8503079e-06,-1.1271394e-29,2.851454e-06,3.6798317e-06,-1.3195215e-09,2.0468391e-28,3.1999865e-12,2.4190888e-31,3.2101245e-48
0.0043279408,4.7885377e-06,8.3678512e-08,2.4957387e-29,4.782546e-06,-3.4628845e-29,4.7855363e-06,4.6137592e-06,-1.437531e-09,1.3265063e-27,4.5367289e-12,1.5318938e-31,1.0675169e-47
0.0049509953,7.5949044e-06,1.7987759e-07,2.4557903e-29,7.5808073e-06,-2.6794817e-29,7.5878424e-06,5.6028631e-06,-1.4961105e-09,1.44453e-27,6.4047379e-12,-1.0139906e-30,3.5604289e-47
0.0055942973,1.1521682e-05,3.5973498e-07,-1.5757464e-28,1.1491129e-05,1.0075869e-28,1.150638e-05,6.6340233e-06,-1.4176907e-09,-1.8245607e-27,8.9069826e-12,-1.814832e-30,3.7655515e-47
0.0062585048,1.686403e-05,6.7816878e-07,-4.5636167e-28,1.6802113e-05,-1.4291566e-28,1.6833029e-05,7.6951823e-06,-1.1214237e-09,-3.9484166e-27,1.2246429e-11,-5.1472719e-30,5.2680452e-47
0.0069442972,2.3967487e-05,1.2167635e-06,-4.101689e-28,2.3848827e-05,-9.1098706e-28,2.3908105e-05,8.7751218e-06,-5.2013609e-10,-2.1712006e-27,1.6672061e-11,-5.9193864e-30,4.5686543e-47
0.007652376,3.323266e-05,2.092515e-06,-7.6084036e-28,3.3015904e-05,-1.7909775e-28,3.3124213e-05,9.8632704e-06,5.113049e-10,-1.9045266e-27,2.2382645e-11,-8.5468659e-31,1.7055702e-47
0.0083834654,4.511856e-05,3.4674987e-06,-1.953999e-27,4.4738684e-05,5.6305992e-28,4.4928529e-05,1.0949552e-05,2.0606291e-09,-4.0678354e-27,2.9653378e-11,2.6774792e-30,3.9689251e-47
0.0091383131,6.0143281e-05,5.5583215e-06,-1.616535e-27,5.9501295e-05,-4.1935305e-28,5.9822223e-05,1.2024263e-05,4.166212e-09,-2.8147622e-27,3.9051384e-11,-3.4521822e-30,4.0609536e-47
0.0099176913,7.8880253e-05,8.64334e-06,3.6934828e-27,7.7830344e-05,4.0389599e-28,7.8355322e-05,1.3077964e-05,6.858866e-09,1.1302901e-27,5.1295737e-11,7.4356999e-30,1.371338e-46
0.010722397,0.0001019479,1.3064539e-05,3.0789197e-27,0.00010028169,5.8530081e-27,0.00010111498,1.4101366e-05,1.0127842e-08,3.9503965e-28,6.6911813e-11,1.5122865e-29,1.9767988e-46
0.011553254,0.00012999042,1.9220014e-05,6.058199e-27,0.00012742032,1.2400857e-27,0.00012870516,1.5085259e-05,1.4043153e-08,3.8949997e-28,8.6725686e-11,1.1083245e-29,8.8119605e-47
0.012411111,0.00016364799,2.7542746e-05,-7.9036632e-27,0.00015978702,-9.7071959e-27,0.00016171618,1.6020491e-05,1.8796867e-08,-1.0527277e-27,1.1199784e-10,-9.8536963e-32,2.512208e-47
0.013296846,0.00020351604,3.8462483e-05,2.0794041e-26,0.00019785564,-7.44303e-27,0.00020068454,1.689805e-05,2.4540349e-08,1.2781318e-27,1.442588e-10,1.3418994e-29,6.8862938e-47
0.014211364,0.00025009632,5.235114e-05,9.187907e-27,0.00024199697,-1.4513318e-27,0.00024604554,1.7709387e-05,3.1343736e-08,1.5662556e-27,1.8552817e-10,1.3961287e-29,7.287726e-47
0.015155603,0.00030374544,6.9457461e-05,-8.9619643e-26,0.00029243304,-2.3277055e-27,0.000298085,1.8446843e-05,3.9255158e-08,-6.127731e-27,2.380352e-10,-2.7451399e-29,4.9879096e-47
0.016130526,0.00036463027,8.9842778e-05,-1.5530838e-25,0.00034918407,-3.7927598e-26,0.00035689898,1.9104129e-05,4.8419416e-08,-8.0801002e-27,3.0481055e-10,-3.6646209e-29,4.7131696e-47
0.017137132,0.00043270036,0.00011333386,2.69698e-26,0.00041205853,1.4109911e-26,0.00042237107,1.9676843e-05,5.8984161e-08,-6.7497253e-28,3.8985715e-10,1.3745964e-29,4.2112001e-47
0.018176449,0.00050768571,0.00013950816,-2.9010331e-25,0.00048067603,1.159664e-25,0.00049417488,2.0162894e-05,7.1036696e-08,-7.1706618e-27,4.9823945e-10,-2.2574798e-29,1.8040299e-46
0.019249542,0.00058912255,0.00016771911,-7.2191282e-25,0.00055448886,5.1500886e-26,0.00057180329,2.0562587e-05,8.469697e-08,-1.66967e-26,6.3637733e-10,-8.8041945e-29,1.7162346e-46
0.020357507,0.00067640258,0.00019715521,-6.5822136e-25,0.0006328338,-2.816191e-27,0.00065461922,2.0878611e-05,1.0004165e-07,-1.2777506e-26,8.1121196e-10,-3.0511891e-29,1.836523e-46
0.021501477,0.00076883547,0.0002269178,-4.2207334e-25,0.00071499378,-6.4298753e-26,0.00074191759,2.1116086e-05,1.1707684e-07,-8.5204769e-27,1.030303e-09,1.3277932e-29,2.7300927e-46
0.022682624,0.0008657119,0.00025610323,-1.0806955e-25,0.00080024665,-6.7366355e-26,0.00083298622,2.1282064e-05,1.3580909e-07,-3.2011818e-27,1.3020583e-09,3.3735392e-29,2.8898086e-46
0.023902154,0.00096635623,0.00028387804,3.9120314e-25,0.0008879258,1.9842365e-25,0.00092715587,2.138485e-05,1.5617787e-07,2.5779758e-27,1.6352504e-09,3.1940242e-29,2.5944803e-46
0.025161316,0.0010701629,0.00030953466,-1.3148988e-25,0.00097746042,5.9559977e-25,0.0010238338,2.1433251e-05,1.7809748e-07,1.900219e-27,2.0394543e-09,-4.6844089e-29,1.4808323e-46
0.026461397,0.0011766154,0.00033252052,-1.9447466e-24,0.0010683734,4.5359673e-25,0.0011225199,2.1436004e-05,2.0146424e-07,-8.4398009e-27,2.5242755e-09,-1.4034397e-28,1.9986562e-46
0.027803728,0.0012852907,0.00035244221,-1.0195483e-24,0.001160276,3.2032983e-26,0.0012228086,2.1401535e-05,2.2618279e-07,-4.5363504e-27,3.0986997e-09,-6.9172925e-29,1.5650315e-46
0.02918968,0.0013958527,0.00036905655,-2.3189512e-24,0.0012528648,2.5205314e-26,0.0013243813,2.1337654e-05,2.5222931e-07,-7.0550246e-27,3.7734064e-09,-9.5480857e-29,9.0516664e-47
0.030620672,0.0015080412,0.00038225366,-3.0989878e-24,0.0013458996,-4.2249392e-25,0.0014269939,2.1251351e-05,2.7951697e-07,-9.6336812e-27,4.55853e-09,-1.3988347e-28,8.338682e-47
0.032098167,0.0016216581,0.00039202875,1.2860627e-24,0.0014392072,-8.0775263e-25,0.0015304627,2.1148698e-05,3.0800854e-07,3.1595482e-27,5.4656788e-09,3.3306792e-29,2.6129329e-47
0.033623676,0.0017365558,0.00039845644,3.7095112e-24,0.0015326726,1.583726e-25,0.0016346526,2.1034828e-05,3.3768579e-07,6.5680392e-27,6.5069424e-09,1.6815756e-28,1.0866405e-46
0.03519876,0.0018526277,0.0004016699,8.2890998e-25,0.0016262288,1.2480342e-24,0.001739468,2.0913972e-05,3.6845233e-07,5.6718714e-28,7.6918752e-09,6.4288968e-29,2.6889646e-46
0.03682503,0.0019697972,0.00040183834,-7.4360159e-24,0.0017198356,9.4387076e-25,0.0018448413,2.0789527e-05,4.0027927e-07,-9.5428217e-27,9.0320494e-09,-2.6383292e-28,2.9170371e-46
0.03850415,0.002088007,0.0003991494,-1.1818553e-23,0.0018134034,2.6101702e-25,0.0019507243,2.0664155e-05,4.3320561e-07,-1.4397455e-26,1.054098e-08,-3.5958046e-28,1.877067e-46
0.040237836,0.0022072133,0.00039379577,-1.1006723e-23,0.0019068901,1.2064077e-25,0.0020570813,2.0539892e-05,4.6726655e-07,-1.2497705e-26,1.2234089e-08,-2.7807764e-28,1.2834876e-46
0.042027862,0.0023273832,0.0003859671,-7.8702964e-24,0.0020003226,1.4611368e-25,0.0021638877,2.0418268e-05,5.0245589e-07,-7.5895577e-27,1.4125053e-08,-2.0348256e-28,6.7157429e-47
0.043876059,0.0024484935,0.00037584396,-7.7443057e-24,0.0020936383,3.152674e-25,0.0022711287,2.0300401e-05,5.3875602e-07,-6.3779759e-27,1.6227425e-08,-1.8261092e-28,1.7654946e-46
0.045784317,0.0025705283,0.00036359796,2.6663712e-24,0.0021868612,-6.1535224e-25,0.0023787968,2.0187063e-05,5.7622912e-07,5.9906764e-28,1.8559651e-08,7.5131077e-29,1.9999652e-46
0.047754588,0.0026934775,0.00034938839,9.1408207e-24,0.002280065,-9.5298324e-25,0.0024868911,2.0078775e-05,6.1495129e-07,5.5842986e-27,2.1140439e-08,2.225808e-28,1.5010439e-46
