y,R_0,R_1,R_2,R_3,R_4,R_5,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5
0,6.6666667e-11,0,0,6.6666667e-11,0,6.6666667e-11,0,0,0,0,0,0
0.00048240845,3.2656006e-08,6.7023558e-12,-2.7288112e-34,3.265602e-08,4.9923703e-33,3.2656014e-08,9.6027805e-09,2.7397486e-12,-4.0880442e-29,2.922861e-13,-1.3622831e-30,1.2400851e-46
0.00098049384,1.4625517e-07,1.219891e-10,-2.966704e-33,1.4625565e-07,5.7170575e-32,1.4625541e-07,3.4764344e-08,-3.7020828e-13,-3.8746578e-29,4.3506947e-13,-1.1929485e-30,2.3044986e-46
0.0014947656,6.0157594e-07,1.0294027e-09,4.0213583e-32,6.0158178e-07,4.2516732e-31,6.0157886e-07,8.1241806e-08,-1.5740619e-11,4.2488025e-30,5.1371804e-13,-1.2600228e-31,1.4040582e-46
0.0020257498,1.7420189e-06,5.1761232e-09,7.0587286e-32,1.7420578e-06,4.9309923e-30,1.7420383e-06,1.5072466e-07,-4.3509796e-11,2.8335789e-29,5.0448285e-13,2.864829e-31,7.9610847e-47
0.0025739895,4.0387969e-06,1.8758749e-08,-4.5015309e-31,4.0389759e-06,6.2542378e-30,4.0388864e-06,2.4097274e-07,-8.0142719e-11,1.4024525e-30,4.6192193e-13,-2.8775654e-32,2.0150165e-46
0.0031400454,8.0887893e-06,5.4468333e-08,5.9810971e-30,8.0894294e-06,-2.5066938e-30,8.0891094e-06,3.4622351e-07,-1.2451042e-10,7.238458e-29,4.7146388e-13,4.4056264e-31,1.8300745e-46
0.0037244966,1.4627076e-05,1.3496374e-07,1.7894487e-29,1.4628993e-05,-6.9892731e-29,1.4628035e-05,4.5891417e-07,-1.8659391e-10,1.6010968e-28,5.3159529e-13,9.7354208e-31,8.8413022e-47
0.0043279408,2.4543155e-05,2.9697531e-07,-7.2151479e-31,2.454818e-05,-3.1150639e-28,2.4545667e-05,5.7166685e-07,-2.9147632e-10,4.4218729e-29,6.9229248e-13,2.3992166e-31,5.8674118e-47
0.0049509953,3.8898249e-05,5.9576695e-07,-6.9165277e-29,3.8910132e-05,-2.4577943e-28,3.8904191e-05,6.7866646e-07,-4.3552822e-10,-9.8886098e-29,9.8015285e-13,-3.6450096e-31,1.7118019e-47
0.0055942973,5.894134e-05,1.1093594e-06,-1.1756657e-28,5.8967227e-05,1.8931926e-28,5.8954285e-05,7.7614155e-07,-6.0352883e-10,-1.0463558e-28,1.3393404e-12,-3.5560455e-31,1.6695496e-47
0.0062585048,8.6120319e-05,1.9413637e-06,3.1575653e-28,8.6173088e-05,3.6910565e-28,8.6146706e-05,8.6215459e-07,-7.8651695e-10,1.2024367e-28,1.7206018e-12,3.6811113e-31,9.220314e-47
0.0069442972,0.00012208255,3.22041e-06,1.499248e-27,0.00012218432,-5.9572009e-27,0.00012213344,9.3608684e-07,-9.8446095e-10,4.5918993e-28,2.161546e-12,1.0858076e-30,1.9784387e-46
0.007652376,0.00016865614,5.0929848e-06,-8.1514747e-28,0.00016884339,-6.9754309e-27,0.00016874978,9.9812772e-07,-1.1910728e-09,3.231609e-29,2.6698772e-12,7.0268915e-32,2.3618527e-46
0.0083834654,0.00022780001,7.7052751e-06,9.4474226e-28,0.00022813073,2.8515855e-27,0.00022796538,1.048911e-06,-1.4043306e-09,-2.3668767e-30,3.2790884e-12,-1.1760521e-31,1.6665996e-46
0.0091383131,0.00030150824,1.1169241e-05,-4.6778504e-27,0.00030207152,-1.8006528e-27,0.0003017899,1.0893121e-06,-1.6249202e-09,-1.8422002e-28,4.0510003e-12,-1.6667552e-31,1.4482121e-46
0.0099176913,0.00039165614,1.5510409e-05,5.2027873e-28,0.00039258437,3.7994267e-26,0.00039212028,1.1203568e-06,-1.8466316e-09,-1.0335861e-28,4.9725254e-12,-1.9897174e-31,2.3444675e-46
0.010722397,0.0004997845,2.0602093e-05,2.9605366e-27,0.00050126778,3.4981846e-26,0.00050052618,1.143188e-06,-2.0737092e-09,2.315833e-28,6.0806588e-12,3.2376288e-31,7.9960863e-46
0.011553254,0.00062684064,2.6103628e-05,1.2744548e-26,0.0006291424,-4.1509541e-26,0.0006279916,1.1590447e-06,-2.3061551e-09,2.1427224e-28,7.4196519e-12,2.1596459e-31,8.7601088e-46
0.012411111,0.00077292654,3.1433595e-05,-2.1705223e-26,0.00077639854,-8.5201469e-26,0.0007746626,1.1692319e-06,-2.5449691e-09,-1.6104988e-28,9.0346657e-12,-3.9065791e-32,3.6558254e-46
