y,T10_0,T10_1,T10_2,T10_3,T10_4,T10_5,Ax_0,Ax_1,Ax_2,Ax_3,Ax_4,Ax_5,Rx_0,Rx_1,Rx_2,Rx_3,Rx_4,Rx_5
0,6.6940219e-05,8.0844975e-08,-7.2975587e-18,-6.6940219e-05,2.5456612e-20,9.2854692e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.00086769924,6.6799507e-06,-1.2741717e-07,1.3533418e-17,-6.6799507e-06,2.1898059e-19,6.2822755e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.0017874829,-7.3748285e-05,-2.9697073e-07,7.6263479e-18,7.3748285e-05,1.4664562e-19,-8.9596364e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.0027624773,-1.0160896e-05,-6.3962171e-08,1.4101929e-18,1.0160896e-05,-2.8552584e-20,-8.2032002e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.0037959966,2.005933e-06,2.5071341e-08,2.3735996e-19,-2.005933e-06,3.0890829e-22,5.5645958e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.0048915537,-2.3103479e-06,-5.5501989e-08,7.4864387e-19,2.3103479e-06,1.5224153e-20,-2.9204279e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.0060528726,-1.0953017e-05,-3.1061855e-07,5.4541663e-19,1.0953017e-05,-1.2305334e-20,-3.2983889e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.0072839007,-2.2182045e-05,-8.8523625e-07,-4.2029445e-18,2.2182045e-05,-1.629698e-19,-1.8349102e-30,0,0,0,0,0,0,0,0,0,0,0,0
0.0085888223,-3.3095445e-05,-1.9453883e-06,-9.6413615e-19,3.3095445e-05,7.9892938e-20,-2.7303858e-30,0,0,0,0,0,0,0,0,0,0,0,0
0.0099720729,-2.6368672e-05,-2.2444666e-06,3.0305123e-18,2.6368672e-05,2.1453768e-19,-9.3067938e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.011438354,4.2091149e-05,1.4459912e-05,1.5527926e-23,-4.2091149e-05,4.1096521e-24,1.3104112e-41,0,0,0,0,0,0,0,0,0,0,0,0
0.01299265,7.6044366e-05,2.7908256e-05,3.1778862e-23,-7.6044366e-05,9.7490166e-25,3.2471525e-41,0,0,0,0,0,0,0,0,0,0,0,0
0.014640245,0.0001073685,-2.7556526e-05,2.6809713e-17,-0.0001073685,-1.435288e-17,1.029813e-29,0,0,0,0,0,0,0,0,0,0,0,0
0.016386737,0.00011386523,-4.9854191e-05,2.2618262e-17,-0.00011386523,-1.3439191e-17,1.108429e-29,0,0,0,0,0,0,0,0,0,0,0,0
0.018238064,3.5118362e-05,-1.0439342e-05,-4.5510277e-18,-3.5118362e-05,1.0125764e-18,9.379478e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.020200518,-7.041117e-06,1.6559437e-06,-1.4800978e-18,7.041117e-06,5.0153544e-19,-1.5585706e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.022280771,-2.019476e-05,4.8161113e-06,-1.6573357e-18,2.019476e-05,3.6526904e-19,-6.8323483e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.024485892,-1.9943464e-05,4.7880435e-06,-2.6487321e-19,1.9943464e-05,-6.5498113e-20,-5.583721e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.026823378,-1.5728242e-05,3.8665986e-06,4.697566e-19,1.5728242e-05,-8.4622221e-20,-1.8093689e-31,0,0,0,0,0,0,0,0,0,0,0,0
0.029301173,-1.1444124e-05,2.9048651e-06,-5.1188324e-20,1.1444124e-05,1.0251946e-20,-2.3146697e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.0319277,-8.0851101e-06,2.1254496e-06,-2.3719087e-19,8.0851101e-06,6.1393013e-20,-1.6828853e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.034711887,-5.6764256e-06,1.545989e-06,9.7946905e-20,5.6764256e-06,-2.2928478e-20,-9.2018327e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.037663197,-4.0087287e-06,1.1297432e-06,7.8039891e-20,4.0087287e-06,-2.2735345e-20,-1.0265943e-32,0,0,0,0,0,0,0,0,0,0,0,0
0.040791661,-2.8547775e-06,8.3095975e-07,-3.802865e-20,2.8547775e-06,1.062102e-20,-1.395744e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.044107915,-2.051305e-06,6.1541867e-07,-4.9823535e-20,2.051305e-06,1.475117e-20,-2.8911141e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.047623229,-1.4276913e-06,4.4087132e-07,-9.4851822e-21,1.4276913e-06,4.5809149e-21,-5.7284035e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.051349553,-9.3121905e-07,2.9568574e-07,6.4364813e-20,9.3121905e-07,-1.9618888e-20,-4.5530059e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.055299553,-4.5074908e-07,1.4562805e-07,1.3793869e-20,4.5074908e-07,-6.3162096e-21,-2.9408818e-33,0,0,0,0,0,0,0,0,0,0,0,0
0.059486654,-2.2201546e-07,7.204573e-08,-1.8158879e-20,2.2201546e-07,5.8960818e-21,-9.713123e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.06392509,-3.8149315e-07,1.2472254e-07,5.2262468e-21,3.8149315e-07,-1.8510622e-21,-3.5035267e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.068629948,-6.6912483e-07,2.2713463e-07,9.1462015e-21,6.6912483e-07,-2.1784775e-21,-6.3347832e-34,0,0,0,0,0,0,0,0,0,0,0,0
0.073617218,-8.0756928e-07,2.8278889e-07,-1.9729824e-21,8.0756928e-07,8.1024073e-22,-4.7216002e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.078903853,-4.3110858e-07,1.554558e-07,3.5634269e-21,4.3110858e-07,-2.0538763e-21,-6.4297426e-36,0,0,0,0,0,0,0,0,0,0,0,0
0.084507823,7.0227774e-08,-2.3457818e-08,8.9545128e-22,-7.0227774e-08,-3.5092799e-22,-8.5462982e-36,0,0,0,0,0,0,0,0,0,0,0,0
0.090448176,2.7645924e-07,-1.0130287e-07,7.6283926e-22,-2.7645924e-07,-6.0624075e-22,-4.7898944e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.096745104,1.8491462e-07,-6.8249391e-08,1.4976959e-21,-1.8491462e-07,-7.2657487e-22,-2.8968214e-35,0,0,0,0,0,0,0,0,0,0,0,0
0.10342001,3.5815056e-08,-1.325371e-08,4.2367932e-23,-3.5815056e-08,1.0480532e-22,-1.0878148e-37,0,0,0,0,0,0,0,0,0,0,0,0
0.11049558,4.0817666e-08,-1.4935064e-08,4.0665119e-22,-4.0817666e-08,-1.5164103e-22,-2.8169981e-36,0,0,0,0,0,0,0,0,0,0,0,0
