x,wallShearStress_0,wallShearStress_1,wallShearStress_2
0.099993593,-0.0036381906,0.00010296771,5.6265012e-21
0.39757722,0.0017353998,-0.0009651226,-2.7501729e-20
0.70037848,0.00053930094,-0.000454903,2.3618182e-19
0.99910619,0.00046056551,-0.00035791556,2.7825305e-19
1.3019039,0.00059464978,-0.00040100896,-5.7853288e-20
1.600933,0.00050257759,-0.00018894718,1.0519378e-19
1.9000502,0.00044824945,-1.8731635e-05,4.4972726e-21
2.2,0.0010472768,-9.3148362e-07,1.7600697e-24
2.5,0.0013562835,-7.7174649e-07,-1.7568404e-24
2.8,0.0015376494,-6.6284766e-07,6.5651569e-25
3.1,0.0016236968,-4.9608813e-07,1.1916986e-24
3.4,0.0016232694,-2.863543e-07,-4.2723255e-25
3.7,0.0015478105,-6.2427049e-08,1.3153421e-24
4,0.0014136588,1.4103315e-07,4.7121407e-25
4.3,0.0012423185,3.0339743e-07,-3.0480818e-25
4.6,0.0010528239,4.1789419e-07,2.9649818e-25
4.9,0.00086001586,4.8798846e-07,1.0669274e-24
5.2,0.00067463145,5.2120391e-07,2.1587095e-24
5.5,0.00050400703,5.2514399e-07,2.3744423e-24
5.8,0.00035259437,5.0908736e-07,-1.7270098e-24
6.1,0.00022355481,4.7647295e-07,-1.0772186e-23
6.4,0.00012175953,4.2366671e-07,8.1651197e-25
6.7,5.7749444e-05,3.3351199e-07,5.6442736e-24
7,6.9724282e-05,5.5808574e-07,-1.4623972e-21
7.299968,0.00011476047,2.8489332e-05,5.0371168e-19
7.6001522,-9.856003e-05,-6.3230395e-05,5.9061564e-20
7.8995533,-0.00084812762,-0.00064457246,-2.4618724e-21
8.2013552,-0.0020436645,-0.0016576122,1.0803724e-19
8.7996285,-0.0083559086,-0.0013869899,4.6934065e-20
