y,turbulenceProperties:R_0,turbulenceProperties:R_1,turbulenceProperties:R_2,turbulenceProperties:R_3,turbulenceProperties:R_4,turbulenceProperties:R_5
0,6.6666667e-11,0,0,6.6666667e-11,0,6.6666667e-11
0.00086769924,2.423583e-12,-3.6098661e-31,-2.0791927e-46,2.423583e-12,-2.8513793e-49,2.423583e-12
0.0017874829,4.1055903e-13,-3.4044337e-31,7.516814e-47,4.1055903e-13,3.7545255e-48,4.1055903e-13
0.0027624773,1.3553644e-13,-3.2507983e-31,2.0642358e-46,1.3553644e-13,-1.2290583e-48,1.3553644e-13
0.0037959966,6.1641704e-14,-3.1299779e-31,-2.8592094e-46,6.1641704e-14,-2.8753367e-48,6.1641704e-14
0.0048915537,3.3444869e-14,-3.0294195e-31,-3.5194775e-46,3.3444869e-14,2.4936447e-48,3.3444869e-14
0.0060528726,2.0235525e-14,-2.941803e-31,4.2003942e-46,2.0235525e-14,2.367869e-48,2.0235525e-14
0.0072839007,1.3173013e-14,-2.8628324e-31,3.3689551e-46,1.3173013e-14,-1.9516814e-48,1.3173013e-14
0.0085888223,9.0353232e-15,-2.7898882e-31,-2.8476385e-46,9.0353232e-15,-1.1751507e-48,9.0353232e-15
0.0099720729,6.4439013e-15,-2.7213137e-31,2.6805197e-52,6.4439013e-15,7.8487564e-49,6.4439013e-15
0.011438354,4.736542e-15,-2.656037e-31,3.9632428e-52,4.736542e-15,-1.8511919e-56,4.736542e-15
0.01299265,3.5661129e-15,-2.5933662e-31,8.8796065e-53,3.5661129e-15,-8.5466706e-55,3.5661129e-15
0.014640245,2.737803e-15,-2.5328759e-31,-6.86268e-53,2.737803e-15,6.9418591e-49,2.737803e-15
0.016386737,2.1361381e-15,-2.4743485e-31,4.02987e-46,2.1361381e-15,5.9027323e-49,2.1361381e-15
0.018238064,1.6895321e-15,-2.4175215e-31,8.070682e-47,1.6895321e-15,-1.58558e-48,1.6895321e-15
0.020200518,1.3519236e-15,-2.3621235e-31,-6.0343815e-46,1.3519236e-15,-1.0557512e-48,1.3519236e-15
0.022280771,1.0927351e-15,-2.3081169e-31,-6.775441e-47,1.0927351e-15,1.2472922e-48,1.0927351e-15
0.024485892,8.911169e-16,-2.2556374e-31,2.1676866e-46,8.911169e-16,4.7797605e-49,8.911169e-16
0.026823378,7.3252067e-16,-2.204969e-31,-2.5513596e-50,7.3252067e-16,-7.869331e-49,7.3252067e-16
0.029301173,6.0659136e-16,-2.1565749e-31,-3.0775317e-46,6.0659136e-16,-1.6151227e-49,6.0659136e-16
0.0319277,5.0583211e-16,-2.1111547e-31,3.5299224e-46,5.0583211e-16,1.7070667e-48,5.0583211e-16
0.034711887,4.2473689e-16,-2.069727e-31,3.1191461e-46,4.2473689e-16,-3.1290034e-49,4.2473689e-16
0.037663197,3.5921445e-16,-2.0337471e-31,-3.5128771e-46,3.5921445e-16,-1.2597453e-48,3.5921445e-16
0.040791661,3.0619823e-16,-2.0052676e-31,-3.2689358e-52,3.0619823e-16,4.8957664e-49,3.0619823e-16
0.044107915,2.633783e-16,-1.9871624e-31,3.2467313e-50,2.633783e-16,2.113248e-48,2.633783e-16
0.047623229,2.2901319e-16,-1.983418e-31,1.6834964e-45,2.2901319e-16,4.5387648e-48,2.2901319e-16
0.051349553,2.0180221e-16,-1.9995827e-31,-9.0486447e-46,2.0180221e-16,-8.5083755e-48,2.0180221e-16
0.055299553,1.8077985e-16,-2.0431773e-31,-2.4283568e-45,1.8077985e-16,-5.7455798e-48,1.8077985e-16
0.059486654,1.6529369e-16,-2.1249775e-31,1.4261559e-45,1.6529369e-16,9.4660234e-48,1.6529369e-16
0.06392509,1.5481604e-16,-2.2579811e-31,7.6807515e-46,1.5481604e-16,3.6522374e-50,1.5481604e-16
0.068629948,1.4939349e-16,-2.466456e-31,-1.0050482e-45,1.4939349e-16,-5.5265536e-48,1.4939349e-16
0.073617218,1.4802974e-16,-2.7587096e-31,4.1940833e-47,1.4802974e-16,7.1545723e-49,1.4802974e-16
0.078903853,1.4802974e-16,-3.1056297e-31,-8.7036381e-46,1.4802974e-16,-5.4698891e-48,1.4802974e-16
0.084507823,1.4802974e-16,-3.4891841e-31,1.1192971e-46,1.4802974e-16,3.4859611e-48,1.4802974e-16
0.090448176,1.4802974e-16,-3.912766e-31,1.5436368e-45,1.4802974e-16,8.8831896e-48,1.4802974e-16
0.096745104,1.4802974e-16,-4.3800588e-31,4.4955934e-51,1.4802974e-16,-2.1513401e-48,1.4802974e-16
0.10342001,1.4802974e-16,-4.8950581e-31,8.4373157e-50,1.4802974e-16,2.7447527e-51,1.4802974e-16
0.11049558,1.4802974e-16,-5.4620972e-31,5.4346472e-52,1.4802974e-16,-1.7096025e-48,1.4802974e-16
0.11799587,1.4802974e-16,-6.0858765e-31,-1.6547038e-45,1.4802974e-16,-1.3490853e-47,1.4802974e-16
0.12594638,1.4802974e-16,-6.7714902e-31,1.2470052e-45,1.4802974e-16,1.6575756e-47,1.4802974e-16
0.13437411,1.4802974e-16,-7.524457e-31,1.7111505e-45,1.4802974e-16,1.457375e-47,1.4802974e-16
0.14330773,1.4802974e-16,-8.3507518e-31,1.0053283e-45,1.4802974e-16,1.4091984e-47,1.4802974e-16
0.1527776,1.49869e-16,-9.3777526e-31,6.9833235e-45,1.49869e-16,7.7590126e-47,1.49869e-16
0.1628159,1.5593397e-16,-1.0811868e-30,-3.3642519e-45,1.5593397e-16,-5.2316891e-47,1.5593397e-16
0.17345677,1.662789e-16,-1.2758161e-30,-8.2083489e-45,1.662789e-16,-9.3118424e-47,1.662789e-16
0.18473635,1.8047352e-16,-1.5306338e-30,-2.2665426e-45,1.8047352e-16,-2.1615233e-47,1.8047352e-16
0.19669301,1.9868235e-16,-1.8606416e-30,1.1671103e-45,1.9868235e-16,1.9203794e-47,1.9868235e-16
0.20936737,2.2114742e-16,-2.2845113e-30,2.5874496e-45,2.2114742e-16,3.7453238e-47,2.2114742e-16
0.22280253,2.4818677e-16,-2.8254229e-30,-8.1234661e-46,2.4818677e-16,-1.1267321e-47,2.4818677e-16
0.23704414,2.8019614e-16,-3.5121014e-30,-2.813167e-49,2.8019614e-16,1.0865952e-48,2.8019614e-16
0.25214061,3.176474e-16,-4.3800146e-30,-5.4561328e-49,3.176474e-16,-1.3192588e-50,3.176474e-16
0.26814327,3.6108719e-16,-5.4727954e-30,-2.3664681e-48,3.6108719e-16,-3.9311708e-47,3.6108719e-16
0.28510649,4.1114246e-16,-6.8440237e-30,-4.6425771e-44,4.1114246e-16,-9.7145962e-46,4.1114246e-16
0.30308795,4.6852052e-16,-8.5592451e-30,1.025158e-44,4.6852052e-16,3.2709754e-46,4.6852052e-16
0.32214876,5.3400784e-16,-1.0698313e-29,5.5983457e-44,5.3400784e-16,1.1688573e-45,5.3400784e-16
0.34235371,6.0847218e-16,-1.3358158e-29,1.8134913e-51,6.0847218e-16,-7.6143603e-47,6.0847218e-16
0.36377149,6.9286091e-16,-1.6655878e-29,-8.4480458e-48,6.9286091e-16,-2.1271747e-49,6.9286091e-16
0.38647488,7.8819675e-16,-2.0732159e-29,1.568028e-48,7.8819675e-16,5.8374749e-50,7.8819675e-16
0.41054106,8.9557092e-16,-2.5754955e-29,-1.4448148e-48,8.9557092e-16,4.0164053e-46,8.9557092e-16
0.43605183,1.0161317e-15,-3.1923229e-29,5.4349267e-43,1.0161317e-15,1.7332776e-44,1.0161317e-15
0.46309391,1.151067e-15,-3.9470463e-29,-1.1709919e-43,1.151067e-15,-4.8547209e-45,1.151067e-15
0.49175922,1.3015799e-15,-4.8667448e-29,-6.4819627e-43,1.3015799e-15,-2.0668931e-44,1.3015799e-15
0.52214518,1.468854e-15,-5.9823565e-29,-1.0624594e-46,1.468854e-15,7.3336753e-46,1.468854e-15
0.55435509,1.6540076e-15,-7.3285367e-29,-5.2552407e-47,1.6540076e-15,-7.1306785e-46,1.6540076e-15
0.58849842,1.8580322e-15,-8.9430776e-29,-1.234117e-42,1.8580322e-15,-5.5306205e-44,1.8580322e-15
0.62469124,2.0817146e-15,-1.086564e-28,1.9571135e-43,2.0817146e-15,1.0700834e-44,2.0817146e-15
0.66305656,2.3255376e-15,-1.3135453e-28,1.501466e-42,2.3255376e-15,6.7236392e-44,2.3255376e-15
0.70372479,2.5895572e-15,-1.5787532e-28,-3.003184e-46,2.5895572e-15,-1.3938712e-45,2.5895572e-15
0.74683417,2.8732543e-15,-1.8846818e-28,-7.988736e-48,2.8732543e-15,-2.8308498e-49,2.8732543e-15
0.79253123,3.1753592e-15,-2.2319576e-28,1.4909565e-46,3.1753592e-15,7.6017158e-48,3.1753592e-15
0.84097128,3.4936517e-15,-2.6181274e-28,-2.9090384e-46,3.4936517e-15,-2.5841171e-47,3.4936517e-15
0.892319,3.8247412e-15,-3.036039e-28,-7.6765679e-46,3.8247412e-15,-4.414073e-47,3.8247412e-15
0.9467489,4.1638393e-15,-3.4718102e-28,-5.4968635e-46,4.1638393e-15,-2.191307e-47,4.1638393e-15
1.004446,4.5045449e-15,-3.902511e-28,-2.4992827e-45,4.5045449e-15,-8.4623196e-46,4.5045449e-15
1.0656064,4.8386746e-15,-4.2939392e-28,-2.0635217e-42,4.8386746e-15,-1.2608492e-43,4.8386746e-15
1.1304381,5.1561836e-15,-4.5992928e-28,4.1879131e-43,5.1561836e-15,2.8135405e-44,5.1561836e-15
1.1668609,5.3093168e-15,-4.6842834e-28,3.4507097e-42,5.3093168e-15,2.1940009e-43,5.3093168e-15
1.1991613,5.4452284e-15,-4.7603247e-28,6.0114462e-42,5.4452284e-15,3.8081589e-43,5.4452284e-15
1.2720096,5.6925174e-15,-4.7125163e-28,6.1432867e-43,5.6925174e-15,3.9621674e-44,5.6925174e-15
1.3492308,5.8839588e-15,-4.396737e-28,-2.2500278e-42,5.8839588e-15,-1.4691534e-43,5.8839588e-15
1.4310872,6.0056889e-15,-3.7779147e-28,-7.197246e-42,6.0056889e-15,-4.5913965e-43,6.0056889e-15
1.5178571,6.0447904e-15,-2.8741294e-28,1.2929944e-43,6.0447904e-15,1.057357e-44,6.0447904e-15
1.6046271,5.994938e-15,-1.7992855e-28,1.2791279e-42,5.994938e-15,1.0430576e-43,5.994938e-15
1.6864835,5.8631939e-15,-7.2104914e-29,4.0319321e-43,5.8631939e-15,2.3531528e-44,5.8631939e-15
