x,wallShearStress_0,wallShearStress_1,wallShearStress_2
0.10000458,-0.0043489514,8.7599483e-05,3.1832483e-21
0.39775998,0.001839784,-0.001041462,1.6806173e-19
0.70039081,0.00085263015,-0.00071989041,-9.8574489e-21
0.99909327,0.00069576167,-0.00053984643,-3.4760475e-21
1.3017854,0.00091800273,-0.00062162751,1.7297746e-19
1.6007759,0.00093036322,-0.00034746937,2.3212165e-21
1.9000332,0.00092170236,-3.2668976e-05,-5.4614225e-21
2.2,0.0017274133,-1.0810857e-06,-3.8128828e-24
2.5,0.0018720564,-6.7369232e-07,-1.1901097e-23
2.8,0.0017919006,-3.6635746e-07,-7.9506486e-25
3.1,0.0015941828,-1.0738377e-07,5.9810504e-24
3.4,0.0013377847,9.0810012e-08,-1.205565e-22
3.7,0.0010625516,2.2546581e-07,4.5314577e-23
4,0.0007936866,3.0562491e-07,2.7058205e-26
4.3,0.00054513645,3.4517696e-07,5.4490957e-23
4.6,0.00032349157,3.5665308e-07,-6.388268e-23
4.9,0.00013158884,3.4633428e-07,-5.2541842e-23
5.2,-2.7597327e-05,3.2188873e-07,-2.2508219e-25
5.5,-0.00015524428,2.929852e-07,-6.54755e-23
5.8,-0.00025146196,2.5920522e-07,3.0302427e-23
6.1,-0.0003134378,2.196613e-07,-5.3855853e-25
6.4,-0.00033371255,1.6908047e-07,-1.0384646e-17
6.7,-0.00029263843,8.5222692e-08,-1.1037533e-24
7,-0.0001302426,-1.4713947e-07,1.6190907e-23
7.2998928,-3.544349e-05,-1.1110142e-05,-6.2066479e-20
7.6001892,-0.00041850486,-0.00025128387,1.6714842e-19
7.8995713,-0.0014663778,-0.0011142747,-1.24254e-19
8.2014087,-0.0027951204,-0.0022655047,-3.5703585e-20
8.7994087,-0.0085621373,-0.0011988883,-6.2195226e-20
