y,nut,omega
0,0,40115.22
0.00086769924,4.7029257e-11,23398.555
0.0017874829,1.1467735e-09,4418.1811
0.0027624773,1.0747808e-08,1560.149
0.0037959966,5.9814277e-08,743.28138
0.0048915537,2.4053075e-07,417.77137
0.0060528726,7.763356e-07,260.16752
0.0072839007,2.1373917e-06,173.6346
0.0085888223,5.2034607e-06,121.80334
0.0099720729,1.1431799e-05,88.738306
0.011438354,2.2904515e-05,66.640001
0.01299265,4.2098576e-05,51.356242
0.014640245,7.1397137e-05,40.515625
0.016386737,0.00011263569,32.673243
0.018238064,0.0001669639,26.897941
0.020200518,0.00023500001,22.566858
0.022280771,0.00031707516,19.256219
0.024485892,0.00041342759,16.675956
0.026823378,0.00052431747,14.626561
0.029301173,0.00065008238,12.96969
0.0319277,0.00079116127,11.608261
0.034711887,0.00094809973,10.47314
0.037663197,0.0011215459,9.5143007
0.040791661,0.0013122324,8.6950224
0.044107915,0.0015209655,7.9879264
0.047623229,0.0017486276,7.3722046
0.051349553,0.0019961712,6.8318122
0.055299553,0.0022646147,6.3542101
0.059486654,0.0025550375,5.929478
0.06392509,0.0028685769,5.5496746
0.068629948,0.0032064231,5.2083748
0.073617218,0.0035698128,4.9003311
0.078903853,0.0039600222,4.6212202
0.084507823,0.0043783594,4.367451
0.090448176,0.0048261542,4.1360183
0.096745104,0.0053047478,3.9243898
0.10342001,0.005815479,3.7304186
0.11049558,0.0063596551,3.5522815
0.11799587,0.0069385418,3.3884176
0.12594638,0.0075533598,3.2374748
0.13437411,0.0082052533,3.098282
0.14330773,0.008895262,2.969822
0.1527776,0.0096242911,2.8512083
0.1628159,0.010393077,2.7416665
0.17345677,0.01120215,2.6405189
0.18473635,0.012051794,2.5471707
0.19669301,0.012942013,2.4610969
0.20936737,0.01387249,2.3818338
0.22280253,0.014842536,2.3089715
0.23704414,0.015851045,2.2421474
0.25214061,0.016896446,2.18104
0.26814327,0.017976666,2.125363
0.28510649,0.019089084,2.0748608
0.30308795,0.020230503,2.0293034
0.32214876,0.021397121,1.988482
0.34235371,0.022584521,1.9522035
0.36377149,0.023787669,1.9202862
0.38647488,0.025000947,1.8925522
0.41054106,0.026218097,1.8688278
0.43605183,0.027432342,1.8489307
0.46309391,0.028636413,1.832663
0.49175922,0.029822795,1.8197923
0.52214518,0.03098407,1.810025
0.55435509,0.032113022,1.8029958
0.58849842,0.033202402,1.7982723
0.62469124,0.034244659,1.7953534
0.66305656,0.035232265,1.793624
0.70372479,0.03611974,1.7923137
0.74683417,0.036739937,1.7904652
0.79253123,0.037056756,1.7869188
0.84097128,0.037258305,1.7803271
0.87299488,0.037366654,1.7733729
0.89232374,0.03743256,1.7691957
0.94676656,0.037581169,1.751912
1.0044767,0.037704388,1.726762
1.06565,0.037796878,1.6921364
1.1304945,0.037855844,1.6467664
1.1992303,0.037896968,1.5898498
1.2720909,0.037952468,1.521287
1.3493237,0.038072001,1.4420438
1.4311909,0.038313444,1.3543919
1.5179707,0.038710125,1.2632056
1.6047488,0.039250342,1.1765482
1.6866113,0.039911258,1.1004738
1.7437929,0.040364599,1.0529651
1.7638596,0.040525608,1.0362874
1.8367875,0.040385778,0.98304612
1.9055761,0.039503409,0.93929042
1.9704609,0.038459346,0.90388343
2.0316638,0.037279081,0.87594964
2.0893941,0.035984261,0.85467311
2.1438492,0.034595199,0.83935942
2.1952152,0.033130668,0.82945331
2.2436676,0.031608057,0.82453456
2.289372,0.030044397,0.82428461
2.3324844,0.02845449,0.82852887
2.3731519,0.026850368,0.83725037
2.4115135,0.025245102,0.85047794
2.4477001,0.023651706,0.86830328
2.481835,0.022081562,0.89093284
2.5140348,0.020545216,0.91866543
2.5444093,0.01905208,0.95189231
2.573062,0.017610598,0.99110035
2.5828764,0.017108675,1.0077228
2.6000986,0.016227899,1.0368902
2.6256058,0.014910639,1.0899503
2.6496662,0.013664326,1.151071
2.6723619,0.012493108,1.2211561
2.6937705,0.011399816,1.3012148
2.713965,0.01038602,1.3923452
2.7330143,0.0094521195,1.495711
2.7509836,0.0085972773,1.61252
2.7679341,0.0078194914,1.7439851
2.7839236,0.0071157063,1.8912759
2.7990067,0.0064819376,2.0554714
2.8132348,0.0059134454,2.2375152
2.8266564,0.0054049413,2.4381842
2.8393174,0.0049508092,2.6580772
2.8512607,0.0045453065,2.8976301
2.8625272,0.0041828325,3.1571602
2.8731552,0.0038580402,3.4369362
2.8831809,0.0035659161,3.7372729
2.8926385,0.0033019308,4.0586386
2.9015602,0.0030620629,4.4017658
2.9099764,0.0028428076,4.7677576
2.9179158,0.0026411606,5.1581876
2.9254053,0.0024545842,5.5751908
2.9324705,0.0022809645,6.0215492
2.9391354,0.0021185627,6.500775
2.9454227,0.0019659662,7.0171987
2.9513538,0.0018220413,7.5760692
2.956949,0.0016858923,8.1836729
2.9622271,0.0015568122,8.8474825
2.9672063,0.0014342521,9.5763448
2.9719035,0.0013177985,10.380716
2.9763345,0.0012071366,11.27296
2.9805146,0.0011020292,12.267729
2.9844579,0.0010022978,13.382432
2.9881778,0.00090780477,14.637869
2.9916871,0.00081843969,16.059007
2.9949976,0.00073410996,17.675967
2.9981205,0.00065473119,19.525322
3.0010666,0.00058022084,21.651768
3.0038458,0.00051049324,24.110354
3.0064677,0.000445457,26.969417
3.008941,0.00038501461,30.314545
3.0112742,0.00032906374,34.254012
3.0134753,0.00027750136,38.926371
3.0155518,0.000230231,44.511449
3.0175106,0.00018717298,51.246996
3.0193585,0.00014828186,59.455538
3.0211018,0.00011357404,69.591577
3.0227463,8.3163802e-05,82.333196
3.0242977,5.7298923e-05,98.776162
3.0257612,3.6350933e-05,120.86563
3.0271418,2.0664047e-05,152.35697
3.0284443,1.0206909e-05,200.9116
3.029673,4.2428774e-06,282.823
3.0308321,1.4324991e-06,435.35243
3.0319256,3.7333464e-07,756.6569
3.0329571,6.853032e-08,1572.3495
3.0339302,7.3676587e-09,4439.3389
3.0348483,3.0268164e-10,23499.299
3.0357143,0,40287.2
