y,T01_0,T01_1,T01_2,T01_3,T01_4,T01_5,T02_0,T02_1,T02_2,T02_3,T02_4,T02_5,T03_0,T03_1,T03_2,T03_3,T03_4,T03_5
0,2.3763564e-08,6.677399e-05,-2.1369546e-20,-2.8471859e-08,4.5880327e-24,4.7082946e-09,-8.9184457e-09,3.4867899e-12,-4.1304299e-28,8.9184457e-09,-2.847337e-24,1.026397e-39,1.4864078e-09,-3.1474049e-13,-3.0619142e-28,1.486408e-09,-1.4236686e-24,-2.9728158e-09
0.00086769924,1.7717061e-07,0.00024291955,3.0252465e-19,-1.7067367e-07,-8.4912651e-23,-6.4969394e-09,-1.794314e-07,1.3695513e-10,1.1082478e-25,1.794314e-07,2.5990672e-22,4.4163269e-37,2.9905294e-08,3.2800198e-12,6.4691621e-26,2.9905289e-08,1.2995346e-22,-5.9810582e-08
0.0017874829,1.0830358e-06,0.00087653529,-1.0071097e-18,-1.0704832e-06,3.8697714e-22,-1.2552674e-08,-1.9570598e-06,2.575773e-09,-2.3722602e-24,1.9570598e-06,-3.2561386e-21,8.281292e-36,3.2617849e-07,9.3254306e-12,-1.7634397e-24,3.2617847e-07,-1.6280733e-21,-6.5235695e-07
0.0027624773,3.8504943e-06,0.0022010987,-9.7209437e-20,-3.8296838e-06,-6.6395259e-23,-2.0810507e-08,-1.1190906e-05,2.0372274e-08,4.8879158e-24,1.1190906e-05,3.9683162e-21,1.4563347e-35,1.8651718e-06,5.6124756e-11,3.7991509e-24,1.8651716e-06,1.984171e-21,-3.7303434e-06
0.0037959966,1.0026084e-05,0.0044624085,3.9464201e-18,-9.8863222e-06,-2.3645703e-21,-1.3976117e-07,-4.3721681e-05,1.0023904e-07,4.4413755e-23,4.3721681e-05,3.9594902e-20,5.5282402e-35,7.2870825e-06,7.7300344e-10,3.054624e-23,7.2870789e-06,1.9797598e-20,-1.4574162e-05
0.0048915537,2.1633344e-05,0.0079023108,9.1012249e-18,-2.1072758e-05,-7.4265158e-21,-5.6058644e-07,-0.00013326132,3.6702796e-07,2.172611e-22,0.00013326132,1.597174e-19,3.1436547e-34,2.2210849e-05,5.0717036e-09,1.3766443e-22,2.2210821e-05,7.9859623e-20,-4.442167e-05
0.0060528726,4.1779081e-05,0.012728848,-2.4313169e-17,-4.0698716e-05,2.129815e-20,-1.0803651e-06,-0.00033953546,1.1191282e-06,-1.4543019e-21,0.00033953546,-8.289307e-19,6.7583912e-33,5.6591558e-05,1.4326163e-08,-1.0225926e-21,5.6591464e-05,-4.1447299e-19,-0.00011318302
0.0072839007,7.5899357e-05,0.018996367,-9.7098657e-18,-7.5812221e-05,6.7536213e-21,-8.7136586e-08,-0.00074603999,3.0334567e-06,3.1955905e-22,0.00074603999,-9.6396833e-21,1.001472e-32,0.00012434714,-2.5206897e-09,4.0937131e-22,0.00012434718,-4.81665e-21,-0.00024869433
0.0085888223,0.00013068205,0.026389912,2.0989363e-17,-0.00013471807,-2.0193124e-20,4.036023e-06,-0.0014234067,7.2713173e-06,1.956822e-21,0.0014234067,9.4715505e-19,3.5214012e-33,0.00023725354,-1.1793683e-07,1.5437177e-21,0.00023725481,4.735891e-19,-0.00047450835
0.0099720729,0.0002090342,0.034059943,-4.0933822e-23,-0.00021677251,7.1835536e-23,7.7383078e-06,-0.0023484471,1.4834482e-05,-6.1124883e-24,0.0023484471,-2.8458825e-24,-1.1640085e-43,0.00039145278,-2.665244e-07,3.044864e-24,0.00039145614,-1.5431643e-24,-0.00078290893
