y,R_0,R_1,R_2,R_3,R_4,R_5,RB_0,RB_1,RB_2,RB_3,RB_4,RB_5
0.073617218,0.014648421,-0.0023597288,5.5601169e-19,0.015383723,-8.5748626e-21,0.015016072,0.014648421,-0.0023597288,5.5601157e-19,0.015383723,-8.574864e-21,0.015016072
0.078903853,0.015212647,-0.0025068041,-1.9104554e-17,0.016026764,3.6976017e-19,0.015619705,0.015212647,-0.0025068041,-1.9104554e-17,0.016026764,3.6976017e-19,0.015619705
0.084507823,0.015782597,-0.0026635341,1.0816506e-18,0.01668032,-1.9080125e-20,0.016231458,0.015782597,-0.0026635341,1.0816506e-18,0.01668032,-1.9080125e-20,0.016231458
0.090448176,0.016359235,-0.0028306058,3.5265057e-17,0.017345361,-6.2053786e-19,0.016852298,0.016359235,-0.0028306058,3.5265057e-17,0.017345361,-6.2053786e-19,0.016852298
0.096745104,0.016943534,-0.0030087375,-2.5223015e-22,0.018022819,1.3415436e-23,0.017483176,0.016943534,-0.0030087375,-2.5223015e-22,0.018022819,1.3415437e-23,0.017483176
0.10342001,0.017536483,-0.0031986877,-1.5508371e-22,0.018713593,1.7956993e-23,0.018125037,0.017536483,-0.0031986878,-1.5508374e-22,0.018713593,1.7956993e-23,0.018125037
0.11049558,0.018139099,-0.0034012467,-6.4144834e-25,0.019418551,-2.0513519e-23,0.018778824,0.018139099,-0.0034012467,-6.4147333e-25,0.019418551,-2.0513521e-23,0.018778824
0.11799587,0.018752437,-0.003617243,-2.4206877e-17,0.020138528,6.1193489e-19,0.019445481,0.018752437,-0.003617243,-2.4206877e-17,0.020138528,6.1193489e-19,0.019445481
0.12594638,0.019377599,-0.0038475487,1.5710736e-17,0.020874325,-3.9245992e-19,0.020125961,0.019377599,-0.0038475486,1.5710735e-17,0.020874325,-3.9245992e-19,0.020125961
0.13437411,0.020015741,-0.0040930646,2.4643241e-17,0.021626707,-6.2253961e-19,0.020821222,0.020015741,-0.0040930646,2.4643239e-17,0.021626707,-6.2253959e-19,0.020821222
0.14330773,0.020668078,-0.0043547242,9.3781744e-18,0.022396396,-4.2709074e-19,0.021532235,0.020668078,-0.0043547243,9.3781736e-18,0.022396396,-4.270907e-19,0.021532235
0.1527776,0.021335894,-0.0046334995,7.360528e-17,0.023184063,-2.2834214e-18,0.022259976,0.021335894,-0.0046334995,7.3605283e-17,0.023184063,-2.2834214e-18,0.022259976
0.1628159,0.022020541,-0.0049303873,-2.5907765e-17,0.023990324,8.4407833e-19,0.02300543,0.022020541,-0.0049303873,-2.5907762e-17,0.023990324,8.4407824e-19,0.02300543
0.17345677,0.022723445,-0.0052464067,-7.5267823e-17,0.024815722,2.3352287e-18,0.023769581,0.022723445,-0.0052464066,-7.5267823e-17,0.024815722,2.3352287e-18,0.023769581
0.18473635,0.023446102,-0.0055825826,-1.4695457e-17,0.025660719,4.9077438e-19,0.024553408,0.023446102,-0.0055825826,-1.4695457e-17,0.025660719,4.9077439e-19,0.024553408
0.19669301,0.024190076,-0.0059399378,3.8610487e-18,0.026525675,-1.9290603e-19,0.025357873,0.024190076,-0.0059399378,3.8610495e-18,0.026525675,-1.9290604e-19,0.025357873
0.20936737,0.024956985,-0.0063194932,1.5007792e-17,0.027410827,-5.0209346e-19,0.026183903,0.024956985,-0.0063194932,1.5007793e-17,0.027410827,-5.020935e-19,0.026183903
0.22280253,0.02574849,-0.006722241,-3.4878799e-18,0.028316264,1.7852472e-19,0.027032374,0.02574849,-0.0067222409,-3.4878796e-18,0.028316264,1.785247e-19,0.027032374
0.23704414,0.02656627,-0.0071491135,-9.9016553e-22,0.029241891,1.2428259e-22,0.027904078,0.02656627,-0.0071491134,-9.9016549e-22,0.029241891,1.2428259e-22,0.027904078
0.25214061,0.027411988,-0.0076009658,-1.2724844e-21,0.030187396,2.5759324e-22,0.02879969,0.027411988,-0.0076009657,-1.2724844e-21,0.030187396,2.5759324e-22,0.02879969
0.26814327,0.028287247,-0.0080785537,-4.8050135e-21,0.031152195,2.32539e-22,0.029719719,0.028287247,-0.0080785536,-4.8050133e-21,0.031152195,2.3253899e-22,0.029719719
0.28510649,0.029193525,-0.0085824847,-7.1235265e-17,0.032135376,3.3884942e-18,0.030664449,0.029193525,-0.0085824847,-7.1235267e-17,0.032135376,3.3884943e-18,0.030664449
0.30308795,0.030132102,-0.0091131634,-3.6909285e-19,0.033135624,1.7479303e-20,0.031633863,0.030132102,-0.0091131635,-3.690968e-19,0.033135624,1.7479451e-20,0.031633863
0.32214876,0.031103957,-0.0096707465,6.9916065e-17,0.034151133,-3.3238019e-18,0.032627545,0.031103957,-0.0096707466,6.9916063e-17,0.034151133,-3.3238018e-18,0.032627545
0.34235371,0.032109629,-0.010255071,4.2494126e-22,0.035179495,-9.7899777e-23,0.033644563,0.032109629,-0.010255071,4.2494112e-22,0.035179495,-9.7899774e-23,0.033644563
0.36377149,0.033149064,-0.010865569,-5.6265164e-21,0.036217568,1.5684595e-22,0.034683319,0.033149064,-0.010865569,-5.6265165e-21,0.036217568,1.5684596e-22,0.034683319
0.38647488,0.034221409,-0.011501185,2.2463049e-22,0.037261315,-1.2314906e-22,0.035741366,0.034221409,-0.011501185,2.2463051e-22,0.037261315,-1.2314903e-22,0.035741366
0.41054106,0.035324761,-0.012160244,1.4989473e-22,0.038305612,-1.4865891e-22,0.036815192,0.035324762,-0.012160244,1.4989486e-22,0.038305612,-1.4865892e-22,0.036815192
0.43605183,0.036455869,-0.012840322,1.8740642e-16,0.039344018,-9.9225596e-18,0.037899951,0.036455869,-0.012840322,1.8740642e-16,0.039344018,-9.9225596e-18,0.037899951
0.46309391,0.03760978,-0.013538117,2.9348702e-18,0.040368513,-1.5383595e-19,0.038989159,0.03760978,-0.013538118,2.9348739e-18,0.040368513,-1.5383595e-19,0.038989159
0.49175922,0.038779438,-0.014249206,-1.8066729e-16,0.041369212,9.5558266e-18,0.04007434,0.038779438,-0.014249206,-1.8066729e-16,0.041369212,9.5558266e-18,0.04007434
0.52214518,0.039955169,-0.014967941,-2.2361077e-20,0.04233405,6.7206624e-22,0.041144622,0.039955169,-0.014967941,-2.2361077e-20,0.04233405,6.7206623e-22,0.041144622
0.55435509,0.041124155,-0.015687304,-9.8164791e-21,0.043248431,6.37403e-22,0.042186309,0.041124155,-0.015687304,-9.8164792e-21,0.043248431,6.3740299e-22,0.042186309
0.58849842,0.04226994,-0.016398526,-1.5407151e-16,0.044094901,7.228634e-18,0.043182441,0.04226994,-0.016398526,-1.5407151e-16,0.044094901,7.2286338e-18,0.043182441
0.62469124,0.043371881,-0.017091048,-1.0204228e-17,0.044852872,4.6819798e-19,0.0441124,0.043371881,-0.017091048,-1.0204225e-17,0.044852872,4.6819789e-19,0.0441124
0.66305656,0.044404673,-0.017752256,1.5189078e-16,0.045498486,-7.1272953e-18,0.044951601,0.044404673,-0.017752256,1.5189078e-16,0.045498486,-7.1272952e-18,0.044951601
0.70372479,0.045338058,-0.01836745,-2.3149612e-20,0.046004638,1.304473e-21,0.045671368,0.045338058,-0.018367449,-2.3149612e-20,0.046004638,1.304473e-21,0.045671368
0.74683417,0.046136825,-0.018920032,-3.770259e-21,0.046341316,8.3975544e-22,0.046239106,0.046136825,-0.018920032,-3.7702586e-21,0.046341316,8.3975539e-22,0.046239106
0.79253123,0.046759707,-0.019390761,8.7141808e-21,0.046475014,-2.2515646e-24,0.046617396,0.046759707,-0.019390761,8.7141789e-21,0.046475014,-2.2516081e-24,0.046617396
0.84097128,0.047164928,-0.019759782,-3.3833967e-20,0.046374659,1.036496e-21,0.04676981,0.047164928,-0.019759782,-3.3833969e-20,0.046374659,1.036496e-21,0.04676981
