x,y,z,U_0,U_1,U_2
2.36887,0.145874,0.05,-0.00225328,-0.000130115,-8.12629e-23
2.36887,0.148913,0.05,-0.00222408,-0.000135567,2.75604e-23
2.36887,0.151952,0.05,-0.00219487,-0.000141018,1.36384e-22
2.36887,0.154991,0.05,-0.00216446,-0.000144782,2.52075e-22
2.36887,0.15803,0.05,-0.00213498,-0.000151903,2.08571e-22
2.36887,0.161069,0.05,-0.00210418,-0.000157586,1.43278e-22
2.36887,0.164108,0.05,-0.00207338,-0.000163268,7.79843e-23
2.36887,0.167147,0.05,-0.00204209,-0.000168788,-8.73666e-23
2.36887,0.170186,0.05,-0.00200971,-0.000174702,-2.14929e-22
2.36887,0.173225,0.05,-0.00197732,-0.000180616,-3.42492e-22
2.36887,0.176264,0.05,-0.0019446,-0.000186106,-4.62849e-22
2.36887,0.179303,0.05,-0.00191169,-0.00019234,-4.09442e-22
2.36887,0.182342,0.05,-0.00187773,-0.000198488,-2.88228e-22
2.36887,0.185381,0.05,-0.00184377,-0.000204636,-1.67015e-22
2.36887,0.18842,0.05,-0.00180846,-0.000209174,-2.99319e-23
2.36887,0.191459,0.05,-0.00177483,-0.000216855,1.17399e-22
2.36887,0.194498,0.05,-0.00173929,-0.000223238,2.09053e-22
2.36887,0.197538,0.05,-0.00170374,-0.000229622,3.00707e-22
2.36887,0.200577,0.05,-0.00166702,-0.000234676,3.62936e-22
2.36887,0.203616,0.05,-0.0016317,-0.000242308,2.85951e-22
2.36887,0.206655,0.05,-0.00159456,-0.000248929,2.46236e-22
2.36887,0.209694,0.05,-0.00155742,-0.000255551,2.0652e-22
2.36887,0.212733,0.05,-0.00152027,-0.000262173,1.66805e-22
2.36887,0.215772,0.05,-0.00148249,-0.000268675,2.97518e-22
2.36887,0.218811,0.05,-0.00144372,-0.000275537,1.75689e-22
2.36887,0.22185,0.05,-0.00140495,-0.000282399,5.38605e-23
2.36887,0.224889,0.05,-0.00136619,-0.000289261,-6.79686e-23
2.36887,0.227928,0.05,-0.00132578,-0.000294628,-4.55481e-22
2.36887,0.230967,0.05,-0.00128694,-0.000303035,-5.98863e-22
2.36887,0.234006,0.05,-0.00124651,-0.00031014,-6.03024e-22
2.36887,0.237045,0.05,-0.00120609,-0.000317244,-6.07186e-22
