x,wallShearStress_0,wallShearStress_1,wallShearStress_2
0.10000458,-0.0036384347,7.3080385e-05,1.5270944e-17
0.39775998,0.0012835044,-0.00071642339,1.0767825e-17
0.70039081,0.00039729372,-0.00033678289,2.1282016e-17
0.99909327,0.0003800915,-0.00029569053,-5.496405e-19
1.3017854,0.0005381126,-0.00036484999,-7.7588287e-20
1.6007759,0.00046216011,-0.00017332142,5.3680649e-22
1.9000332,0.00036350451,-1.260347e-05,3.8896816e-17
2.2,0.00099598471,-7.2750381e-07,-1.2142602e-26
2.5,0.0013073439,-6.0517042e-07,-1.3380145e-18
2.8,0.0014999924,-5.3192281e-07,7.9194679e-25
3.1,0.0016049289,-4.1415328e-07,1.6285229e-18
3.4,0.0016276658,-2.5868585e-07,-2.4633794e-17
3.7,0.0015767069,-8.5118462e-08,9.155089e-18
4,0.0014661109,8.087026e-08,6.3536404e-25
4.3,0.0013132607,2.2090473e-07,1.413735e-17
4.6,0.0011359026,3.2555007e-07,-1.9488909e-17
4.9,0.00094953789,3.9446694e-07,-1.9051303e-17
5.2,0.00076576163,4.3227915e-07,-3.8361848e-25
5.5,0.00059308865,4.4417503e-07,-3.7777149e-17
5.8,0.00043714302,4.372639e-07,2.5511766e-17
6.1,0.00030179407,4.1579984e-07,-4.2237665e-24
6.4,0.00019081252,3.7930143e-07,-3.3108133e-17
6.7,0.00011359464,3.1378699e-07,-9.9574955e-24
7,0.00010457033,1.6659429e-07,-1.24406e-22
7.2998928,0.00013387908,3.3827281e-05,6.8623433e-18
7.6001892,-7.3553573e-05,-4.6871905e-05,-6.2228396e-17
7.8995713,-0.00082964057,-0.00063220742,-3.0712245e-17
8.2014087,-0.0020430382,-0.0016574469,3.2038722e-19
8.7994087,-0.0080085418,-0.0011159234,-5.4244127e-20
