y,Ax_0,Ax_1,Ax_2,Ax_3,Ax_4,Ax_5,Rx_0,Rx_1,Rx_2,Rx_3,Rx_4,Rx_5
0,0,0,0,0,0,0,0,0,0,0,0,0
0.00086769924,0,0,0,0,0,0,0,0,0,0,0,0
0.0017874829,0,0,0,0,0,0,0,0,0,0,0,0
0.0027624773,0,0,0,0,0,0,0,0,0,0,0,0
0.0037959966,0,0,0,0,0,0,0,0,0,0,0,0
0.0048915537,0,0,0,0,0,0,0,0,0,0,0,0
0.0060528726,0,0,0,0,0,0,0,0,0,0,0,0
0.0072839007,0,0,0,0,0,0,0,0,0,0,0,0
0.0085888223,0,0,0,0,0,0,0,0,0,0,0,0
0.0099720729,0,0,0,0,0,0,0,0,0,0,0,0
0.011438354,0,0,0,0,0,0,0,0,0,0,0,0
0.01299265,0,0,0,0,0,0,0,0,0,0,0,0
0.014640245,0,0,0,0,0,0,0,0,0,0,0,0
0.016386737,0,0,0,0,0,0,0,0,0,0,0,0
0.018238064,0,0,0,0,0,0,0,0,0,0,0,0
0.020200518,0,0,0,0,0,0,0,0,0,0,0,0
0.022280771,0,0,0,0,0,0,0,0,0,0,0,0
0.024485892,0,0,0,0,0,0,0,0,0,0,0,0
0.026823378,0,0,0,0,0,0,0,0,0,0,0,0
0.029301173,0,0,0,0,0,0,0,0,0,0,0,0
0.0319277,0,0,0,0,0,0,0,0,0,0,0,0
0.034711887,0,0,0,0,0,0,0,0,0,0,0,0
0.037663197,0,0,0,0,0,0,0,0,0,0,0,0
0.040791661,0,0,0,0,0,0,0,0,0,0,0,0
0.044107915,0,0,0,0,0,0,0,0,0,0,0,0
0.047623229,0,0,0,0,0,0,0,0,0,0,0,0
0.051349553,0,0,0,0,0,0,0,0,0,0,0,0
0.055299553,0,0,0,0,0,0,0,0,0,0,0,0
0.059486654,0,0,0,0,0,0,0,0,0,0,0,0
0.06392509,0,0,0,0,0,0,0,0,0,0,0,0
0.068629948,0,0,0,0,0,0,0,0,0,0,0,0
0.073617218,0,0,0,0,0,0,0,0,0,0,0,0
0.078903853,0,0,0,0,0,0,0,0,0,0,0,0
0.084507823,0,0,0,0,0,0,0,0,0,0,0,0
0.090448176,0,0,0,0,0,0,0,0,0,0,0,0
0.096745104,0,0,0,0,0,0,0,0,0,0,0,0
0.10342001,0,0,0,0,0,0,0,0,0,0,0,0
0.11049558,0,0,0,0,0,0,0,0,0,0,0,0
0.11799587,0,0,0,0,0,0,0,0,0,0,0,0
0.12594638,0,0,0,0,0,0,0,0,0,0,0,0
0.13437411,0,0,0,0,0,0,0,0,0,0,0,0
0.14330773,0,0,0,0,0,0,0,0,0,0,0,0
0.1527776,0,0,0,0,0,0,0,0,0,0,0,0
0.1628159,0,0,0,0,0,0,0,0,0,0,0,0
0.17345677,0,0,0,0,0,0,0,0,0,0,0,0
0.18473635,0,0,0,0,0,0,0,0,0,0,0,0
0.19669301,0,0,0,0,0,0,0,0,0,0,0,0
0.20936737,0,0,0,0,0,0,0,0,0,0,0,0
0.22280253,0,0,0,0,0,0,0,0,0,0,0,0
0.23704414,0,0,0,0,0,0,0,0,0,0,0,0
0.25214061,0,0,0,0,0,0,0,0,0,0,0,0
0.26814327,0,0,0,0,0,0,0,0,0,0,0,0
0.28510649,0,0,0,0,0,0,0,0,0,0,0,0
0.30308795,0,0,0,0,0,0,0,0,0,0,0,0
0.32214876,0,0,0,0,0,0,0,0,0,0,0,0
0.34235371,0,0,0,0,0,0,0,0,0,0,0,0
0.36377149,0,0,0,0,0,0,0,0,0,0,0,0
0.38647488,0,0,0,0,0,0,0,0,0,0,0,0
0.41054106,0,0,0,0,0,0,0,0,0,0,0,0
0.43605183,0,0,0,0,0,0,0,0,0,0,0,0
0.46309391,0,0,0,0,0,0,0,0,0,0,0,0
0.49175922,0,0,0,0,0,0,0,0,0,0,0,0
0.52214518,0,0,0,0,0,0,0,0,0,0,0,0
0.55435509,0,0,0,0,0,0,0,0,0,0,0,0
0.58849842,0,0,0,0,0,0,0,0,0,0,0,0
0.62469124,0,0,0,0,0,0,0,0,0,0,0,0
0.66305656,0,0,0,0,0,0,0,0,0,0,0,0
0.70372479,0,0,0,0,0,0,0,0,0,0,0,0
0.74683417,0,0,0,0,0,0,0,0,0,0,0,0
0.79253123,0,0,0,0,0,0,0,0,0,0,0,0
0.84097128,0,0,0,0,0,0,0,0,0,0,0,0
