"wallShearStress:0","wallShearStress:1","wallShearStress:2","Points:0","Points:1","Points:2"
-0.003990696,-1.654279e-05,5.23461e-21,0,1,0
-0.003343698,-6.461306e-06,3.735777e-21,0.04804493,1.000253,0
-0.003343698,-6.461306e-06,3.735777e-21,0.04804493,1.000253,0.1785714
-0.003990696,-1.654279e-05,5.23461e-21,0,1,0.1785714
-0.003621043,6.334181e-05,-1.687489e-20,0.09609003,1.000274,0
-0.003621043,6.334181e-05,-1.687489e-20,0.09609003,1.000274,0.1785714
-0.003843662,0.0001829458,-1.884048e-20,0.1441147,0.998955,0
-0.003843662,0.0001829458,-1.884048e-20,0.1441147,0.998955,0.1785714
-0.002757025,0.0002981831,-2.339506e-21,0.1920047,0.9952028,0
-0.002757025,0.0002981831,-2.339506e-21,0.1920047,0.9952028,0.1785714
-0.001293735,0.000206325,-2.681983e-21,0.2394922,0.9880022,0
-0.001293735,0.000206325,-2.681983e-21,0.2394922,0.9880022,0.1785714
0.0004690564,-0.0001703684,-1.443137e-21,0.2861234,0.9765138,0
0.0004690564,-0.0001703684,-1.443137e-21,0.2861234,0.9765138,0.1785714
0.001397263,-0.0005839087,-2.53765e-22,0.3313074,0.9602531,0
0.001397263,-0.0005839087,-2.53765e-22,0.3313074,0.9602531,0.1785714
0.001462799,-0.0007495461,1.701133e-19,0.3746296,0.9395223,0
0.001462799,-0.0007495461,1.701133e-19,0.3746296,0.9395223,0.1785714
0.00114085,-0.0006901894,1.705369e-19,0.4162053,0.9154519,0
0.00114085,-0.0006901894,1.705369e-19,0.4162053,0.9154519,0.1785714
0.0008802796,-0.0005984754,-1.607274e-19,0.4562924,0.8889792,0
0.0008802796,-0.0005984754,-1.607274e-19,0.4562924,0.8889792,0.1785714
0.0007093817,-0.0005254964,-3.203196e-19,0.4951939,0.8607741,0
0.0007093817,-0.0005254964,-3.203196e-19,0.4951939,0.8607741,0.1785714
0.0006216909,-0.0004885083,-3.166442e-19,0.5331694,0.8313486,0
0.0006216909,-0.0004885083,-3.166442e-19,0.5331694,0.8313486,0.1785714
0.0005622209,-0.0004599427,-4.694361e-19,0.5704612,0.8010562,0
0.0005622209,-0.0004599427,-4.694361e-19,0.5704612,0.8010562,0.1785714
0.0005128144,-0.000430405,-3.11961e-19,0.6072791,0.770187,0
0.0005128144,-0.000430405,-3.11961e-19,0.6072791,0.770187,0.1785714
0.0004655489,-0.0003958731,-1.536118e-19,0.6438139,0.738982,0
0.0004655489,-0.0003958731,-1.536118e-19,0.6438139,0.738982,0.1785714
0.0004190977,-0.0003569121,-1.534851e-19,0.6802531,0.7076648,0
0.0004190977,-0.0003569121,-1.534851e-19,0.6802531,0.7076648,0.1785714
0.0003799596,-0.0003207499,2.154998e-22,0.7167813,0.6764519,0
