y,k
0,1e-10
0.00048240845,1.3972975e-07
0.00098049384,3.3104112e-07
0.0014947656,1.3185414e-06
0.0020257498,3.8090589e-06
0.0025739895,8.827911e-06
0.0031400454,1.7677854e-05
0.0037244966,3.1962124e-05
0.0043279408,5.3616086e-05
0.0049509953,8.4938086e-05
0.0055942973,0.00012861135
0.0062585048,0.00018770519
0.0069442972,0.00026563789
0.007652376,0.00036607764
0.0083834654,0.00049275364
0.0091383131,0.00064915444
0.0099176913,0.0008381118
0.010722397,0.0010613128
0.011553254,0.0013188436
0.012411111,0.001608915
0.013296846,0.001927907
0.014211364,0.002270775
0.015155603,0.0026317173
0.016130526,0.0030049058
0.017137132,0.0033850814
0.018176449,0.003767908
0.019249542,0.0041500847
0.020357507,0.0045292829
0.021501477,0.0049039922
0.022682624,0.0052733388
0.023902154,0.0056369162
0.025161316,0.0059946449
0.026461397,0.0063466641
0.027803728,0.0066932528
0.02918968,0.0070347735
0.030620672,0.0073716341
0.032098167,0.0077042619
0.033623676,0.0080330872
0.03519876,0.0083585329
0.03682503,0.008681008
0.03850415,0.0090009047
0.040237836,0.0093185961
0.042027862,0.009634437
0.043876059,0.0099487634
0.045784317,0.010261894
0.047754588,0.010574132
0.049788888,0.010885764
0.051889297,0.011197064
0.054057963,0.011508295
0.056297104,0.011819706
0.058609012,0.012131539
0.06099605,0.012444027
0.06346066,0.012757396
0.066005363,0.013071864
0.068632762,0.013387645
0.071345544,0.013704949
0.074146484,0.014023982
0.077038447,0.014344947
0.08002439,0.014668044
0.083107369,0.014993474
0.086290535,0.015321436
0.089577146,0.015652128
0.092970562,0.01598575
0.096474255,0.016322504
0.10009181,0.01666259
0.10382692,0.017006214
0.10768342,0.017353582
0.11166524,0.017704905
0.11577645,0.018060395
0.12002127,0.01842027
0.12440404,0.018784752
0.12892923,0.019154067
0.13360148,0.019528445
0.13842557,0.019908123
0.14340642,0.020293342
0.14854914,0.020684348
0.15385898,0.021081396
0.15934138,0.021484742
0.16500194,0.021894651
0.17084645,0.022311392
0.17688089,0.022735241
0.18311143,0.023166476
0.18954445,0.023605383
0.19618653,0.024052248
0.20304445,0.024507363
0.21012524,0.02497102
0.21743614,0.025443511
0.22498461,0.025925127
0.23277839,0.026416156
0.24082545,0.026916878
0.24913402,0.027427564
0.25771259,0.027948473
0.26656994,0.028479844
0.27571513,0.029021895
0.28515751,0.029574818
0.29490674,0.030138764
0.3049728,0.030713839
0.31536597,0.031300097
0.3260969,0.031897525
0.33717655,0.032506039
0.34861625,0.03312547
0.36042772,0.033755545
0.37262303,0.03439587
0.38521464,0.035045903
0.39821546,0.035704935
0.41163876,0.036372062
0.42549828,0.037046161
0.4398082,0.037725851
0.45458315,0.038409467
0.46983824,0.039095016
0.48558908,0.039780147
0.50185179,0.040462099
0.51864298,0.041137663
0.53597984,0.041804002
0.5538801,0.04246091
0.57236207,0.043108361
0.59144465,0.043738263
0.61114736,0.044333684
0.63149036,0.044875091
0.65249445,0.045344286
0.67418111,0.045725927
0.69657252,0.046006953
0.7196916,0.046174643
0.74356198,0.046221493
0.76820808,0.046139656
0.79365511,0.045918264
0.8199291,0.045550427
0.84705692,0.045031748
0.87506632,0.044361278
0.90398595,0.043542421
0.93384539,0.042583685
0.96467517,0.041499122
0.99650683,0.040308345
1.0293729,0.039035903
1.0633071,0.037709948
1.098344,0.036360225
1.1345196,0.035015564
1.1718707,0.033701267
1.2104356,0.032436905
1.2502538,0.031234955
1.291366,0.030100541
1.3338142,0.029032193
1.3776419,0.028023288
1.4228938,0.02706366
1.4696163,0.026140466
1.5178571,0.02524265
1.566098,0.024368075
1.6128205,0.023516741
1.6580724,0.022683419
1.7019001,0.0218627
1.7443483,0.02105145
1.7854605,0.020247994
1.8252786,0.019451938
1.8638436,0.01866418
1.9011947,0.017886355
1.9373703,0.017118998
1.9724072,0.016361896
2.0063413,0.015616242
2.0392075,0.01488432
2.0710391,0.014168429
2.1018689,0.013470712
2.1317283,0.012793215
2.160648,0.012137895
2.1886574,0.011506622
2.2157852,0.010901164
2.2420592,0.010323186
2.2675062,0.0097742434
2.2921523,0.0092557864
2.3160227,0.0087691507
2.3391418,0.0083155833
2.3615332,0.0078962691
2.3832198,0.0075122928
2.4042239,0.0071646113
2.4245669,0.0068540334
2.4442696,0.0065811653
2.4633522,0.0063463382
2.4818342,0.0061495202
2.4997344,0.0059902265
2.5170713,0.0058674352
2.5338625,0.0057795394
2.5501252,0.0057245507
2.565876,0.0056996458
2.5811311,0.0057013367
2.5959061,0.0057262786
2.610216,0.0057710408
2.6240755,0.00583211
2.6374988,0.0059061537
2.6504996,0.0059901262
2.6630913,0.0060813357
2.6752866,0.0061774764
2.687098,0.0062766318
2.6985377,0.0063772553
2.7096174,0.0064781385
2.7203483,0.00657837
2.7307415,0.0066772928
2.7408075,0.0067744619
2.7505568,0.0068696048
2.7599992,0.0069625857
2.7691443,0.0070533753
2.7780017,0.0071420242
2.7865803,0.0072286399
2.7948888,0.007313369
2.8029359,0.0073963819
2.8107297,0.0074778615
2.8182781,0.0075579938
2.825589,0.0076369609
2.8326698,0.0077149361
2.8395278,0.00779208
2.8461698,0.0078685389
2.8526028,0.0079444431
2.8588334,0.0080199077
2.8648678,0.008095033
2.8707123,0.0081699061
2.8763729,0.0082446052
2.8818553,0.0083192251
2.8871651,0.0083938839
2.8923079,0.0084686047
2.8972887,0.0085432499
2.9021128,0.0086175791
2.9067851,0.0086912804
2.9113102,0.0087639889
2.915693,0.0088352997
