(x/h,y/h,z/h)
(1.0,2.985538006,0.0)
(1.0,2.980173826,0.0)
(1.0,2.974809647,0.0)
(1.0,2.969445467,0.0)
(1.0,2.964081287,0.0)
(1.0,2.958717108,0.0)
(1.0,2.953352928,0.0)
(1.0,2.947988749,0.0)
(1.0,2.942624569,0.0)
(1.0,2.937260389,0.0)
(1.0,2.93189621,0.0)
(1.0,2.92653203,0.0)
(1.0,2.92116785,0.0)
(1.0,2.915803671,0.0)
(1.0,2.910439491,0.0)
(1.0,2.905075312,0.0)
(1.0,2.899711132,0.0)
(1.0,2.894346952,0.0)
(1.0,2.888982773,0.0)
(1.0,2.883618593,0.0)
(1.0,2.878254414,0.0)
(1.0,2.872890234,0.0)
(1.0,2.867526054,0.0)
(1.0,2.862161875,0.0)
(1.0,2.856797457,0.0)
(1.0,2.851433277,0.0)
(1.0,2.846069098,0.0)
(1.0,2.840704918,0.0)
(1.0,2.835340738,0.0)
(1.0,2.829976559,0.0)
(1.0,2.824612379,0.0)
(1.0,2.819248199,0.0)
(1.0,2.81388402,0.0)
(1.0,2.80851984,0.0)
(1.0,2.803155661,0.0)
(1.0,2.797791481,0.0)
(1.0,2.792427301,0.0)
(1.0,2.787063122,0.0)
(1.0,2.781698942,0.0)
(1.0,2.776334763,0.0)
(1.0,2.770970583,0.0)
(1.0,2.765606403,0.0)
(1.0,2.760242224,0.0)
(1.0,2.754878044,0.0)
(1.0,2.749513865,0.0)
(1.0,2.744149685,0.0)
(1.0,2.738785505,0.0)
(1.0,2.733421326,0.0)
(1.0,2.728057146,0.0)
(1.0,2.722692966,0.0)
(1.0,2.717328787,0.0)
(1.0,2.711964607,0.0)
(1.0,2.706600428,0.0)
(1.0,2.701236248,0.0)
(1.0,2.695872068,0.0)
(1.0,2.690507889,0.0)
(1.0,2.685143709,0.0)
(1.0,2.679779291,0.0)
(1.0,2.674415112,0.0)
(1.0,2.669050932,0.0)
(1.0,2.663686752,0.0)
(1.0,2.658322573,0.0)
(1.0,2.652958393,0.0)
(1.0,2.647594213,0.0)
(1.0,2.642230034,0.0)
(1.0,2.636865854,0.0)
(1.0,2.631501675,0.0)
(1.0,2.626137495,0.0)
(1.0,2.620773315,0.0)
(1.0,2.615409136,0.0)
(1.0,2.610044956,0.0)
(1.0,2.604680777,0.0)
(1.0,2.599316597,0.0)
(1.0,2.593952417,0.0)
(1.0,2.588588238,0.0)
(1.0,2.583224058,0.0)
(1.0,2.577859879,0.0)
(1.0,2.572495699,0.0)
(1.0,2.567131519,0.0)
(1.0,2.56176734,0.0)
(1.0,2.55640316,0.0)
(1.0,2.55103898,0.0)
(1.0,2.545674801,0.0)
(1.0,2.540310621,0.0)
(1.0,2.534946442,0.0)
(1.0,2.529582262,0.0)
(1.0,2.524218082,0.0)
(1.0,2.518853903,0.0)
(1.0,2.513489723,0.0)
(1.0,2.508125544,0.0)
(1.0,2.502761126,0.0)
(1.0,2.497396946,0.0)
(1.0,2.492032766,0.0)
(1.0,2.486668587,0.0)
(1.0,2.481304407,0.0)
(1.0,2.475940228,0.0)
(1.0,2.470576048,0.0)
(1.0,2.465211868,0.0)
(1.0,2.459847689,0.0)
(1.0,2.454483509,0.0)
(1.0,2.449119329,0.0)
(1.0,2.44375515,0.0)
(1.0,2.43839097,0.0)
(1.0,2.433026791,0.0)
(1.0,2.427662611,0.0)
(1.0,2.422298431,0.0)
(1.0,2.416934252,0.0)
(1.0,2.411570072,0.0)
(1.0,2.406205893,0.0)
(1.0,2.400841713,0.0)
(1.0,2.395477533,0.0)
(1.0,2.390113354,0.0)
(1.0,2.384749174,0.0)
(1.0,2.379384995,0.0)
