(x/h,y/h,z/h)
(4.0,0.8735317588,0.0)
(4.0,0.8673430085,0.0)
(4.0,0.8611542583,0.0)
(4.0,0.854965508,0.0)
(4.0,0.8487767577,0.0)
(4.0,0.8425879478,0.0)
(4.0,0.8363991976,0.0)
(4.0,0.8302104473,0.0)
(4.0,0.824021697,0.0)
(4.0,0.8178329468,0.0)
(4.0,0.8116441965,0.0)
(4.0,0.8054554462,0.0)
(4.0,0.799266696,0.0)
(4.0,0.7930779457,0.0)
(4.0,0.7868891358,0.0)
(4.0,0.7807003856,0.0)
(4.0,0.7745116353,0.0)
(4.0,0.768322885,0.0)
(4.0,0.7621341348,0.0)
(4.0,0.7559453845,0.0)
(4.0,0.7497566342,0.0)
(4.0,0.743567884,0.0)
(4.0,0.7373790741,0.0)
(4.0,0.7311903238,0.0)
(4.0,0.7250015736,0.0)
(4.0,0.7188128233,0.0)
(4.0,0.712624073,0.0)
(4.0,0.7064353228,0.0)
(4.0,0.7002465725,0.0)
(4.0,0.6940578222,0.0)
(4.0,0.687869072,0.0)
(4.0,0.6816802621,0.0)
(4.0,0.6754915118,0.0)
(4.0,0.6693027616,0.0)
(4.0,0.6631140113,0.0)
(4.0,0.656925261,0.0)
(4.0,0.6507365108,0.0)
(4.0,0.6445477605,0.0)
(4.0,0.6383590102,0.0)
(4.0,0.63217026,0.0)
(4.0,0.6259814501,0.0)
(4.0,0.6197926998,0.0)
(4.0,0.6136039495,0.0)
(4.0,0.6074151993,0.0)
(4.0,0.601226449,0.0)
(4.0,0.5950376987,0.0)
(4.0,0.5888489485,0.0)
(4.0,0.5826601982,0.0)
(4.0,0.5764714479,0.0)
(4.0,0.5702826381,0.0)
(4.0,0.5640938878,0.0)
(4.0,0.5579051375,0.0)
(4.0,0.5517163873,0.0)
(4.0,0.545527637,0.0)
(4.0,0.5393388867,0.0)
(4.0,0.5331501365,0.0)
(4.0,0.5269613862,0.0)
(4.0,0.5207726359,0.0)
(4.0,0.5145838261,0.0)
(4.0,0.5083950758,0.0)
(4.0,0.5022063255,0.0)
(4.0,0.4960175753,0.0)
(4.0,0.489828825,0.0)
(4.0,0.4836400747,0.0)
(4.0,0.4774513245,0.0)
(4.0,0.4712625444,0.0)
(4.0,0.4650737941,0.0)
(4.0,0.4588850439,0.0)
(4.0,0.4526962936,0.0)
(4.0,0.4465075135,0.0)
(4.0,0.4403187633,0.0)
(4.0,0.434130013,0.0)
(4.0,0.4279412627,0.0)
(4.0,0.4217525125,0.0)
(4.0,0.4155637324,0.0)
(4.0,0.4093749821,0.0)
(4.0,0.4031862319,0.0)
(4.0,0.3969974816,0.0)
(4.0,0.3908087015,0.0)
(4.0,0.3846199512,0.0)
(4.0,0.378431201,0.0)
(4.0,0.3722424507,0.0)
(4.0,0.3660537004,0.0)
(4.0,0.3598649204,0.0)
(4.0,0.3536761701,0.0)
(4.0,0.3474874198,0.0)
(4.0,0.3412986696,0.0)
(4.0,0.3351098895,0.0)
(4.0,0.3289211392,0.0)
(4.0,0.322732389,0.0)
(4.0,0.3165436387,0.0)
(4.0,0.3103548884,0.0)
(4.0,0.3041661084,0.0)
(4.0,0.2979773581,0.0)
(4.0,0.2917886078,0.0)
(4.0,0.2855998576,0.0)
(4.0,0.2794110775,0.0)
(4.0,0.2732223272,0.0)
(4.0,0.267033577,0.0)
(4.0,0.2608448267,0.0)
(4.0,0.2546560466,0.0)
(4.0,0.2484673113,0.0)
(4.0,0.2422785461,0.0)
(4.0,0.2360897958,0.0)
(4.0,0.2299010307,0.0)
(4.0,0.2237122804,0.0)
(4.0,0.2175235152,0.0)
(4.0,0.211334765,0.0)
(4.0,0.2051459998,0.0)
(4.0,0.1989572495,0.0)
(4.0,0.1927684844,0.0)
(4.0,0.1865797341,0.0)
(4.0,0.1803909838,0.0)
(4.0,0.1742022187,0.0)
(4.0,0.1680134684,0.0)
(4.0,0.1618247032,0.0)
(4.0,0.1556359529,0.0)
(4.0,0.1494471878,0.0)
(4.0,0.1432584375,0.0)
(4.0,0.1370696723,0.0)
(4.0,0.1308809221,0.0)
(4.0,0.1246921644,0.0)
(4.0,0.1185034066,0.0)
(4.0,0.1123146489,0.0)
(4.0,0.1061258912,0.0)
(4.0,0.09993714094,0.0)
(4.0,0.09374838322,0.0)
(4.0,0.08755962551,0.0)
(4.0,0.08137086779,0.0)
(4.0,0.07518211007,0.0)
(4.0,0.06899335235,0.0)
(4.0,0.06280459464,0.0)
(4.0,0.05661583692,0.0)
(4.0,0.05042708293,0.0)
(4.0,0.04423832521,0.0)
(4.0,0.03804956749,0.0)
(4.0,0.03186080977,0.0)
(4.0,0.02567205392,0.0)
(4.0,0.0194832962,0.0)
(4.0,0.01329454035,0.0)
(4.0,0.007105783094,0.0)
(4.0,0.0009170261328,0.0)
