x/h,y/h,z/h
0.05,2.497251034,0.0
0.05,2.49288702,0.0
0.05,2.488523006,0.0
0.05,2.484158754,0.0
0.05,2.479794741,0.0
0.05,2.475430727,0.0
0.05,2.471066713,0.0
0.05,2.466702461,0.0
0.05,2.462338448,0.0
0.05,2.457974434,0.0
0.05,2.45361042,0.0
0.05,2.449246168,0.0
0.05,2.444882154,0.0
0.05,2.440518141,0.0
0.05,2.436154127,0.0
0.05,2.431789875,0.0
0.05,2.427425861,0.0
0.05,2.423061848,0.0
0.05,2.418697834,0.0
0.05,2.414333582,0.0
0.05,2.409969568,0.0
0.05,2.405605555,0.0
0.05,2.401241541,0.0
0.05,2.396877289,0.0
0.05,2.392513275,0.0
0.05,2.388149261,0.0
0.05,2.383785248,0.0
0.05,2.379420996,0.0
0.05,2.375056982,0.0
0.05,2.370692968,0.0
0.05,2.366328955,0.0
0.05,2.361964703,0.0
0.05,2.357600689,0.0
0.05,2.353236675,0.0
0.05,2.348872662,0.0
0.05,2.34450841,0.0
0.05,2.340144396,0.0
0.05,2.335780382,0.0
0.05,2.331416368,0.0
0.05,2.327052116,0.0
0.05,2.322688103,0.0
0.05,2.318324089,0.0
0.05,2.313960075,0.0
0.05,2.309595823,0.0
0.05,2.30523181,0.0
0.05,2.300867796,0.0
0.05,2.296503782,0.0
0.05,2.29213953,0.0
0.05,2.287775517,0.0
0.05,2.283411503,0.0
0.05,2.279047489,0.0
0.05,2.274683237,0.0
0.05,2.270319223,0.0
0.05,2.26595521,0.0
0.05,2.261591196,0.0
0.05,2.257226944,0.0
0.05,2.25286293,0.0
0.05,2.248498917,0.0
0.05,2.244134903,0.0
0.05,2.239770651,0.0
0.05,2.235406637,0.0
0.05,2.231042624,0.0
0.05,2.22667861,0.0
0.05,2.222314358,0.0
0.05,2.217950344,0.0
0.05,2.21358633,0.0
0.05,2.209222317,0.0
0.05,2.204858065,0.0
0.05,2.200494051,0.0
0.05,2.196130037,0.0
0.05,2.191765785,0.0
0.05,2.187401772,0.0
0.05,2.183037758,0.0
0.05,2.178673744,0.0
0.05,2.174309492,0.0
0.05,2.169945478,0.0
0.05,2.165581465,0.0
0.05,2.161217451,0.0
0.05,2.156853199,0.0
0.05,2.152489185,0.0
0.05,2.148125172,0.0
0.05,2.143761158,0.0
0.05,2.139396906,0.0
0.05,2.135032892,0.0
0.05,2.130668879,0.0
0.05,2.126304865,0.0
0.05,2.121940613,0.0
0.05,2.117576599,0.0
0.05,2.113212585,0.0
0.05,2.108848572,0.0
0.05,2.10448432,0.0
0.05,2.100120306,0.0
0.05,2.095756292,0.0
0.05,2.091392279,0.0
0.05,2.087028027,0.0
0.05,2.082664013,0.0
0.05,2.078299999,0.0
0.05,2.073935986,0.0
0.05,2.069571733,0.0
0.05,2.06520772,0.0
0.05,2.060843706,0.0
0.05,2.056479692,0.0
0.05,2.05211544,0.0
0.05,2.047751427,0.0
0.05,2.043387413,0.0
0.05,2.039023399,0.0
0.05,2.034659147,0.0
0.05,2.030295134,0.0
0.05,2.02593112,0.0
0.05,2.021567106,0.0
0.05,2.017202854,0.0
0.05,2.01283884,0.0
0.05,2.008474827,0.0
0.05,2.004110813,0.0
0.05,1.99974668,0.0
0.05,1.995382547,0.0
0.05,1.991018534,0.0
0.05,1.986654401,0.0
0.05,1.982290387,0.0
0.05,1.977926254,0.0
0.05,1.973562241,0.0
0.05,1.969198108,0.0
0.05,1.964834094,0.0
0.05,1.960469961,0.0
0.05,1.956105947,0.0
0.05,1.951741815,0.0
0.05,1.947377801,0.0
0.05,1.943013668,0.0
0.05,1.938649654,0.0
0.05,1.934285522,0.0
0.05,1.929921508,0.0
0.05,1.925557375,0.0
0.05,1.921193361,0.0
0.05,1.916829228,0.0
0.05,1.912465215,0.0
0.05,1.908101082,0.0
0.05,1.903737068,0.0
0.05,1.899372935,0.0
0.05,1.895008922,0.0
0.05,1.890644789,0.0
0.05,1.886280775,0.0
0.05,1.881916642,0.0
0.05,1.877552629,0.0
0.05,1.873188496,0.0
0.05,1.868824482,0.0
0.05,1.864460349,0.0
0.05,1.860096335,0.0
0.05,1.855732203,0.0
0.05,1.851368189,0.0
0.05,1.847004056,0.0
0.05,1.842640042,0.0
0.05,1.838275909,0.0
0.05,1.833911777,0.0
0.05,1.829547763,0.0
0.05,1.82518363,0.0
0.05,1.820819616,0.0
0.05,1.816455483,0.0
0.05,1.81209147,0.0
0.05,1.807727337,0.0
0.05,1.803363323,0.0
0.05,1.79899919,0.0
0.05,1.794635177,0.0
0.05,1.790271044,0.0
0.05,1.78590703,0.0
0.05,1.781542897,0.0
0.05,1.777178884,0.0
0.05,1.772814751,0.0
0.05,1.768450737,0.0
0.05,1.764086604,0.0
0.05,1.75972259,0.0
0.05,1.755358458,0.0
0.05,1.750994444,0.0
0.05,1.746630311,0.0
0.05,1.742266297,0.0
0.05,1.737902164,0.0
0.05,1.733538151,0.0
0.05,1.729174018,0.0
0.05,1.724810004,0.0
0.05,1.720445871,0.0
0.05,1.716081858,0.0
0.05,1.711717725,0.0
0.05,1.707353711,0.0
0.05,1.702989578,0.0
0.05,1.698625565,0.0
0.05,1.694261432,0.0
0.05,1.689897418,0.0
0.05,1.685533285,0.0
0.05,1.681169271,0.0
0.05,1.676805139,0.0
0.05,1.672441125,0.0
0.05,1.668076992,0.0
0.05,1.663712978,0.0
0.05,1.659348845,0.0
0.05,1.654984832,0.0
0.05,1.650620699,0.0
0.05,1.646256685,0.0
0.05,1.641892552,0.0
0.05,1.637528539,0.0
0.05,1.633164406,0.0
0.05,1.628800392,0.0
0.05,1.624436259,0.0
0.05,1.620072246,0.0
0.05,1.615708113,0.0
0.05,1.611344099,0.0
0.05,1.606979966,0.0
0.05,1.602615952,0.0
0.05,1.59825182,0.0
0.05,1.593887806,0.0
0.05,1.589523673,0.0
0.05,1.585159659,0.0
0.05,1.580795527,0.0
0.05,1.576431513,0.0
0.05,1.57206738,0.0
0.05,1.567703366,0.0
0.05,1.563339233,0.0
0.05,1.55897522,0.0
0.05,1.554611087,0.0
0.05,1.550247073,0.0
0.05,1.54588294,0.0
0.05,1.541518927,0.0
0.05,1.537154794,0.0
0.05,1.53279078,0.0
0.05,1.528426647,0.0
0.05,1.524062634,0.0
0.05,1.519698501,0.0
0.05,1.515334487,0.0
0.05,1.510970354,0.0
0.05,1.50660634,0.0
0.05,1.502242208,0.0
0.05,1.497878194,0.0
0.05,1.493514061,0.0
0.05,1.489150047,0.0
0.05,1.484785914,0.0
0.05,1.480421901,0.0
0.05,1.476057768,0.0
0.05,1.471693635,0.0
0.05,1.467329621,0.0
0.05,1.462965488,0.0
0.05,1.458601475,0.0
0.05,1.454237342,0.0
0.05,1.449873328,0.0
0.05,1.445509195,0.0
0.05,1.441145182,0.0
0.05,1.436781049,0.0
0.05,1.432417035,0.0
0.05,1.428052902,0.0
0.05,1.423688889,0.0
0.05,1.419324756,0.0
0.05,1.414960742,0.0
0.05,1.410596609,0.0
0.05,1.406232595,0.0
0.05,1.401868463,0.0
0.05,1.397504449,0.0
0.05,1.393140316,0.0
0.05,1.388776302,0.0
0.05,1.384412169,0.0
0.05,1.380048156,0.0
0.05,1.375684023,0.0
0.05,1.371320009,0.0
0.05,1.366955876,0.0
0.05,1.362591863,0.0
0.05,1.35822773,0.0
0.05,1.353863716,0.0
0.05,1.349499583,0.0
0.05,1.34513557,0.0
0.05,1.340771437,0.0
0.05,1.336407423,0.0
0.05,1.33204329,0.0
0.05,1.327679276,0.0
0.05,1.323315144,0.0
0.05,1.31895113,0.0
0.05,1.314586997,0.0
0.05,1.310222983,0.0
0.05,1.30585885,0.0
0.05,1.301494837,0.0
0.05,1.297130704,0.0
0.05,1.29276669,0.0
0.05,1.288402557,0.0
0.05,1.284038544,0.0
0.05,1.279674411,0.0
0.05,1.275310397,0.0
0.05,1.270946264,0.0
0.05,1.266582251,0.0
0.05,1.262218118,0.0
0.05,1.257854104,0.0
0.05,1.253489971,0.0
0.05,1.249125957,0.0
0.05,1.244761825,0.0
0.05,1.240397811,0.0
0.05,1.236033678,0.0
0.05,1.231669664,0.0
0.05,1.227305532,0.0
0.05,1.222941518,0.0
0.05,1.218577385,0.0
0.05,1.214213371,0.0
0.05,1.209849238,0.0
0.05,1.205485225,0.0
0.05,1.201121092,0.0
0.05,1.196757078,0.0
0.05,1.192392945,0.0
0.05,1.188028932,0.0
0.05,1.183664799,0.0
0.05,1.179300785,0.0
0.05,1.174936652,0.0
0.05,1.170572639,0.0
0.05,1.166208506,0.0
0.05,1.161844492,0.0
0.05,1.157480359,0.0
0.05,1.153116345,0.0
0.05,1.148752213,0.0
0.05,1.144388199,0.0
0.05,1.140024066,0.0
0.05,1.135660052,0.0
0.05,1.131295919,0.0
0.05,1.126931906,0.0
0.05,1.122567773,0.0
0.05,1.118203759,0.0
0.05,1.113839626,0.0
0.05,1.109475493,0.0
0.05,1.10511148,0.0
0.05,1.100747347,0.0
0.05,1.096383333,0.0
0.05,1.0920192,0.0
0.05,1.087655187,0.0
0.05,1.083291054,0.0
0.05,1.07892704,0.0
0.05,1.074562907,0.0
0.05,1.070198894,0.0
