(x/h,y/h,z/h)
(7.0,1.925620437,0.0)
(7.0,1.919431686,0.0)
(7.0,1.913242936,0.0)
(7.0,1.907054186,0.0)
(7.0,1.900865436,0.0)
(7.0,1.894676685,0.0)
(7.0,1.888487935,0.0)
(7.0,1.882299185,0.0)
(7.0,1.876110435,0.0)
(7.0,1.869921684,0.0)
(7.0,1.863732815,0.0)
(7.0,1.857544065,0.0)
(7.0,1.851355314,0.0)
(7.0,1.845166564,0.0)
(7.0,1.838977814,0.0)
(7.0,1.832789063,0.0)
(7.0,1.826600313,0.0)
(7.0,1.820411563,0.0)
(7.0,1.814222813,0.0)
(7.0,1.808034062,0.0)
(7.0,1.801845312,0.0)
(7.0,1.795656562,0.0)
(7.0,1.789467812,0.0)
(7.0,1.783279061,0.0)
(7.0,1.777090311,0.0)
(7.0,1.770901561,0.0)
(7.0,1.764712811,0.0)
(7.0,1.75852406,0.0)
(7.0,1.752335191,0.0)
(7.0,1.746146441,0.0)
(7.0,1.73995769,0.0)
(7.0,1.73376894,0.0)
(7.0,1.72758019,0.0)
(7.0,1.721391439,0.0)
(7.0,1.715202689,0.0)
(7.0,1.709013939,0.0)
(7.0,1.702825189,0.0)
(7.0,1.696636438,0.0)
(7.0,1.690447688,0.0)
(7.0,1.684258938,0.0)
(7.0,1.678070188,0.0)
(7.0,1.671881437,0.0)
(7.0,1.665692687,0.0)
(7.0,1.659503937,0.0)
(7.0,1.653315187,0.0)
(7.0,1.647126317,0.0)
(7.0,1.640937567,0.0)
(7.0,1.634748816,0.0)
(7.0,1.628560066,0.0)
(7.0,1.622371316,0.0)
(7.0,1.616182566,0.0)
(7.0,1.609993815,0.0)
(7.0,1.603805065,0.0)
(7.0,1.597616315,0.0)
(7.0,1.591427565,0.0)
(7.0,1.585238814,0.0)
(7.0,1.579050064,0.0)
(7.0,1.572861314,0.0)
(7.0,1.566672564,0.0)
(7.0,1.560483813,0.0)
(7.0,1.554295063,0.0)
(7.0,1.548106313,0.0)
(7.0,1.541917562,0.0)
(7.0,1.535728693,0.0)
(7.0,1.529539943,0.0)
(7.0,1.523351192,0.0)
(7.0,1.517162442,0.0)
(7.0,1.510973692,0.0)
(7.0,1.504784942,0.0)
(7.0,1.498596191,0.0)
(7.0,1.492407441,0.0)
(7.0,1.486218691,0.0)
(7.0,1.480029941,0.0)
(7.0,1.47384119,0.0)
(7.0,1.46765244,0.0)
(7.0,1.46146369,0.0)
(7.0,1.45527494,0.0)
(7.0,1.449086189,0.0)
(7.0,1.442897439,0.0)
(7.0,1.436708689,0.0)
(7.0,1.430519938,0.0)
(7.0,1.424331069,0.0)
(7.0,1.418142319,0.0)
(7.0,1.411953568,0.0)
(7.0,1.405764818,0.0)
(7.0,1.399576068,0.0)
(7.0,1.393387318,0.0)
(7.0,1.387198567,0.0)
(7.0,1.381009817,0.0)
(7.0,1.374821067,0.0)
(7.0,1.368632317,0.0)
(7.0,1.362443566,0.0)
(7.0,1.356254816,0.0)
(7.0,1.350066066,0.0)
(7.0,1.343877316,0.0)
(7.0,1.337688565,0.0)
(7.0,1.331499815,0.0)
(7.0,1.325311065,0.0)
(7.0,1.319122314,0.0)
(7.0,1.312933445,0.0)
(7.0,1.306744695,0.0)
(7.0,1.300555944,0.0)
(7.0,1.294367194,0.0)
(7.0,1.288178444,0.0)
