(x/h,y/h,z/h)
(0.5,2.505171061,0.0)
(0.5,2.500408173,0.0)
(0.5,2.495645046,0.0)
(0.5,2.490882158,0.0)
(0.5,2.48611927,0.0)
(0.5,2.481356144,0.0)
(0.5,2.476593256,0.0)
(0.5,2.47183013,0.0)
(0.5,2.467067242,0.0)
(0.5,2.462304354,0.0)
(0.5,2.457541227,0.0)
(0.5,2.452778339,0.0)
(0.5,2.448015213,0.0)
(0.5,2.443252325,0.0)
(0.5,2.438489437,0.0)
(0.5,2.433726311,0.0)
(0.5,2.428963423,0.0)
(0.5,2.424200296,0.0)
(0.5,2.419437408,0.0)
(0.5,2.414674282,0.0)
(0.5,2.409911394,0.0)
(0.5,2.405148506,0.0)
(0.5,2.40038538,0.0)
(0.5,2.395622492,0.0)
(0.5,2.390859365,0.0)
(0.5,2.386096478,0.0)
(0.5,2.38133359,0.0)
(0.5,2.376570463,0.0)
(0.5,2.371807575,0.0)
(0.5,2.367044449,0.0)
(0.5,2.362281561,0.0)
(0.5,2.357518673,0.0)
(0.5,2.352755547,0.0)
(0.5,2.347992659,0.0)
(0.5,2.343229532,0.0)
(0.5,2.338466644,0.0)
(0.5,2.333703756,0.0)
(0.5,2.32894063,0.0)
(0.5,2.324177742,0.0)
(0.5,2.319414616,0.0)
(0.5,2.314651728,0.0)
(0.5,2.30988884,0.0)
(0.5,2.305125713,0.0)
(0.5,2.300362825,0.0)
(0.5,2.295599699,0.0)
(0.5,2.290836811,0.0)
(0.5,2.286073923,0.0)
(0.5,2.281310797,0.0)
(0.5,2.276547909,0.0)
(0.5,2.271784782,0.0)
(0.5,2.267021894,0.0)
(0.5,2.262259007,0.0)
(0.5,2.25749588,0.0)
(0.5,2.252732992,0.0)
(0.5,2.247969866,0.0)
(0.5,2.243206978,0.0)
(0.5,2.23844409,0.0)
(0.5,2.233680964,0.0)
(0.5,2.228918076,0.0)
(0.5,2.224154949,0.0)
(0.5,2.219392061,0.0)
(0.5,2.214628935,0.0)
(0.5,2.209866047,0.0)
(0.5,2.205103159,0.0)
(0.5,2.200340033,0.0)
(0.5,2.195577145,0.0)
(0.5,2.190814018,0.0)
(0.5,2.18605113,0.0)
(0.5,2.181288242,0.0)
(0.5,2.176525116,0.0)
(0.5,2.171762228,0.0)
(0.5,2.166999102,0.0)
(0.5,2.162236214,0.0)
(0.5,2.157473326,0.0)
(0.5,2.152710199,0.0)
(0.5,2.147947311,0.0)
(0.5,2.143184185,0.0)
(0.5,2.138421297,0.0)
(0.5,2.133658409,0.0)
(0.5,2.128895283,0.0)
(0.5,2.124132395,0.0)
(0.5,2.119369268,0.0)
(0.5,2.11460638,0.0)
(0.5,2.109843493,0.0)
(0.5,2.105080366,0.0)
(0.5,2.100317478,0.0)
(0.5,2.095554352,0.0)
(0.5,2.090791464,0.0)
(0.5,2.086028576,0.0)
(0.5,2.08126545,0.0)
(0.5,2.076502562,0.0)
(0.5,2.071739435,0.0)
(0.5,2.066976547,0.0)
(0.5,2.062213659,0.0)
(0.5,2.057450533,0.0)
(0.5,2.052687645,0.0)
(0.5,2.047924519,0.0)
(0.5,2.043161631,0.0)
(0.5,2.038398743,0.0)
(0.5,2.033635616,0.0)
(0.5,2.028872728,0.0)
(0.5,2.024109602,0.0)
(0.5,2.019346714,0.0)
(0.5,2.014583588,0.0)
(0.5,2.0098207,0.0)
(0.5,2.005057812,0.0)
(0.5,2.000294685,0.0)
(0.5,1.995531797,0.0)
(0.5,1.99076879,0.0)
(0.5,1.986005783,0.0)
(0.5,1.981242776,0.0)
(0.5,1.976479888,0.0)
(0.5,1.971716881,0.0)
(0.5,1.966953874,0.0)
(0.5,1.962190866,0.0)
(0.5,1.957427859,0.0)
(0.5,1.952664852,0.0)
(0.5,1.947901964,0.0)
(0.5,1.943138957,0.0)
(0.5,1.93837595,0.0)
(0.5,1.933612943,0.0)
(0.5,1.928849936,0.0)
(0.5,1.924087048,0.0)
(0.5,1.91932404,0.0)
(0.5,1.914561033,0.0)
(0.5,1.909798026,0.0)
(0.5,1.905035019,0.0)
(0.5,1.900272131,0.0)
(0.5,1.895509124,0.0)
(0.5,1.890746117,0.0)
(0.5,1.885983109,0.0)
(0.5,1.881220102,0.0)
(0.5,1.876457214,0.0)
(0.5,1.871694207,0.0)
(0.5,1.8669312,0.0)
(0.5,1.862168193,0.0)
(0.5,1.857405186,0.0)
(0.5,1.852642179,0.0)
(0.5,1.847879291,0.0)
(0.5,1.843116283,0.0)
(0.5,1.838353276,0.0)
(0.5,1.833590269,0.0)
(0.5,1.828827262,0.0)
