(x/h,y/h,z/h)
(8.0,2.191736937,0.0)
(8.0,2.185548306,0.0)
(8.0,2.179359436,0.0)
(8.0,2.173170805,0.0)
(8.0,2.166981936,0.0)
(8.0,2.160793304,0.0)
(8.0,2.154604435,0.0)
(8.0,2.148415804,0.0)
(8.0,2.142226934,0.0)
(8.0,2.136038065,0.0)
(8.0,2.129849434,0.0)
(8.0,2.123660564,0.0)
(8.0,2.117471933,0.0)
(8.0,2.111283064,0.0)
(8.0,2.105094433,0.0)
(8.0,2.098905563,0.0)
(8.0,2.092716932,0.0)
(8.0,2.086528063,0.0)
(8.0,2.080339432,0.0)
(8.0,2.074150562,0.0)
(8.0,2.067961931,0.0)
(8.0,2.061773062,0.0)
(8.0,2.055584431,0.0)
(8.0,2.049395561,0.0)
(8.0,2.04320693,0.0)
(8.0,2.037018061,0.0)
(8.0,2.030829191,0.0)
(8.0,2.02464056,0.0)
(8.0,2.018451691,0.0)
(8.0,2.01226306,0.0)
(8.0,2.00607419,0.0)
(8.0,1.999885559,0.0)
(8.0,1.993696809,0.0)
(8.0,1.987508059,0.0)
(8.0,1.981319308,0.0)
(8.0,1.975130439,0.0)
(8.0,1.968941689,0.0)
(8.0,1.962752938,0.0)
(8.0,1.956564188,0.0)
(8.0,1.950375438,0.0)
(8.0,1.944186687,0.0)
(8.0,1.937997937,0.0)
(8.0,1.931809187,0.0)
(8.0,1.925620437,0.0)
(8.0,1.919431686,0.0)
(8.0,1.913242936,0.0)
(8.0,1.907054186,0.0)
(8.0,1.900865436,0.0)
(8.0,1.894676685,0.0)
(8.0,1.888487935,0.0)
(8.0,1.882299185,0.0)
(8.0,1.876110435,0.0)
(8.0,1.869921684,0.0)
(8.0,1.863732815,0.0)
(8.0,1.857544065,0.0)
(8.0,1.851355314,0.0)
(8.0,1.845166564,0.0)
(8.0,1.838977814,0.0)
(8.0,1.832789063,0.0)
(8.0,1.826600313,0.0)
(8.0,1.820411563,0.0)
(8.0,1.814222813,0.0)
(8.0,1.808034062,0.0)
(8.0,1.801845312,0.0)
(8.0,1.795656562,0.0)
(8.0,1.789467812,0.0)
(8.0,1.783279061,0.0)
(8.0,1.777090311,0.0)
(8.0,1.770901561,0.0)
(8.0,1.764712811,0.0)
(8.0,1.75852406,0.0)
(8.0,1.752335191,0.0)
(8.0,1.746146441,0.0)
(8.0,1.73995769,0.0)
(8.0,1.73376894,0.0)
(8.0,1.72758019,0.0)
(8.0,1.721391439,0.0)
(8.0,1.715202689,0.0)
(8.0,1.709013939,0.0)
(8.0,1.702825189,0.0)
(8.0,1.696636438,0.0)
(8.0,1.690447688,0.0)
(8.0,1.684258938,0.0)
(8.0,1.678070188,0.0)
(8.0,1.671881437,0.0)
