(x/h,y/h,z/h)
(8.0,3.033407927,0.0)
(8.0,3.027219296,0.0)
(8.0,3.021030426,0.0)
(8.0,3.014841557,0.0)
(8.0,3.008652925,0.0)
(8.0,1.665692687,0.0)
(8.0,1.659503937,0.0)
(8.0,1.653315187,0.0)
(8.0,1.647126317,0.0)
(8.0,1.640937567,0.0)
(8.0,1.634748816,0.0)
(8.0,1.628560066,0.0)
(8.0,1.622371316,0.0)
(8.0,1.616182566,0.0)
(8.0,1.609993815,0.0)
(8.0,1.603805065,0.0)
(8.0,1.597616315,0.0)
(8.0,1.591427565,0.0)
(8.0,1.585238814,0.0)
(8.0,1.579050064,0.0)
(8.0,1.572861314,0.0)
(8.0,1.566672564,0.0)
(8.0,1.560483813,0.0)
(8.0,1.554295063,0.0)
(8.0,1.548106313,0.0)
(8.0,1.541917562,0.0)
(8.0,1.535728693,0.0)
(8.0,1.529539943,0.0)
(8.0,1.523351192,0.0)
(8.0,1.517162442,0.0)
(8.0,1.510973692,0.0)
(8.0,1.504784942,0.0)
(8.0,1.498596191,0.0)
(8.0,1.492407441,0.0)
(8.0,1.486218691,0.0)
(8.0,1.480029941,0.0)
(8.0,1.47384119,0.0)
(8.0,1.46765244,0.0)
(8.0,1.46146369,0.0)
(8.0,1.45527494,0.0)
(8.0,1.449086189,0.0)
(8.0,1.442897439,0.0)
(8.0,1.436708689,0.0)
(8.0,1.430519938,0.0)
(8.0,1.424331069,0.0)
(8.0,1.418142319,0.0)
(8.0,1.411953568,0.0)
(8.0,1.405764818,0.0)
(8.0,1.399576068,0.0)
(8.0,1.393387318,0.0)
(8.0,1.387198567,0.0)
(8.0,1.381009817,0.0)
(8.0,1.374821067,0.0)
(8.0,1.368632317,0.0)
(8.0,1.362443566,0.0)
(8.0,1.356254816,0.0)
(8.0,1.350066066,0.0)
(8.0,1.343877316,0.0)
(8.0,1.337688565,0.0)
(8.0,1.331499815,0.0)
(8.0,1.325311065,0.0)
(8.0,1.319122314,0.0)
(8.0,1.312933445,0.0)
(8.0,1.306744695,0.0)
(8.0,1.300555944,0.0)
(8.0,1.294367194,0.0)
(8.0,1.288178444,0.0)
(8.0,1.281989694,0.0)
(8.0,1.275800943,0.0)
(8.0,1.269612193,0.0)
(8.0,1.263423443,0.0)
(8.0,1.257234693,0.0)
(8.0,1.251045942,0.0)
(8.0,1.244857192,0.0)
(8.0,1.238668442,0.0)
(8.0,1.232479692,0.0)
(8.0,1.226290941,0.0)
(8.0,1.220102191,0.0)
(8.0,1.213913441,0.0)
(8.0,1.20772469,0.0)
(8.0,1.201535821,0.0)
(8.0,1.195347071,0.0)
(8.0,1.18915832,0.0)
(8.0,1.18296957,0.0)
(8.0,1.17678082,0.0)
(8.0,1.17059207,0.0)
(8.0,1.164403319,0.0)
(8.0,1.158214569,0.0)
(8.0,1.152025819,0.0)
(8.0,1.145837069,0.0)
(8.0,1.139648318,0.0)
(8.0,1.133459568,0.0)
(8.0,1.127270818,0.0)
(8.0,1.121082067,0.0)
(8.0,1.114893317,0.0)
(8.0,1.108704567,0.0)
(8.0,1.102515817,0.0)
(8.0,1.096327066,0.0)
(8.0,1.090138197,0.0)
(8.0,1.083949447,0.0)
(8.0,1.077760696,0.0)
(8.0,1.071571946,0.0)
(8.0,1.065383196,0.0)
(8.0,1.059194446,0.0)
(8.0,1.053005695,0.0)
(8.0,1.046816945,0.0)
(8.0,1.040628195,0.0)
(8.0,1.034439445,0.0)
(8.0,1.028250694,0.0)
(8.0,1.022061944,0.0)
(8.0,1.015873194,0.0)
(8.0,1.009684443,0.0)
(8.0,1.003495693,0.0)
(8.0,0.9973068833,0.0)
(8.0,0.9911181331,0.0)
(8.0,0.9849293828,0.0)
(8.0,0.9787406325,0.0)
(8.0,0.9725518823,0.0)
(8.0,0.966363132,0.0)
(8.0,0.9601743817,0.0)
(8.0,0.9539855719,0.0)
(8.0,0.9477968216,0.0)
(8.0,0.9416080713,0.0)
(8.0,0.9354193211,0.0)
(8.0,0.9292305708,0.0)
(8.0,0.9230418205,0.0)
(8.0,0.9168530703,0.0)
(8.0,0.91066432,0.0)
(8.0,0.9044755697,0.0)
(8.0,0.8982867599,0.0)
(8.0,0.8920980096,0.0)
(8.0,0.8859092593,0.0)
(8.0,0.8797205091,0.0)
(8.0,0.8735317588,0.0)
(8.0,0.8673430085,0.0)
(8.0,0.8611542583,0.0)
(8.0,0.854965508,0.0)
