x,y,z,U_0,U_1,U_2
1.08573,0.522747,0.05,0,0,0
1.08573,0.525263,0.05,-0.000455418,0.00030087,-1.88468e-20
1.08573,0.527779,0.05,-0.000792033,0.000523452,4.04061e-21
1.08573,0.530294,0.05,-0.00102538,0.000678869,7.01665e-21
1.08573,0.53281,0.05,-0.00119298,0.000791198,8.41201e-21
1.08573,0.535326,0.05,-0.00131724,0.000875139,7.76273e-21
1.08573,0.537842,0.05,-0.00140477,0.000934977,5.44526e-21
1.08573,0.540357,0.05,-0.00146615,0.00097795,6.01006e-22
1.08573,0.542873,0.05,-0.00151704,0.00101415,-6.15852e-21
1.08573,0.545389,0.05,-0.00155214,0.00104012,-6.81251e-21
1.08573,0.547905,0.05,-0.00157972,0.00106142,-1.35575e-21
1.08573,0.55042,0.05,-0.00160094,0.0010786,2.36012e-21
1.08573,0.552936,0.05,-0.00161444,0.00109107,1.68488e-21
1.08573,0.555452,0.05,-0.00162562,0.001102,2.86597e-21
1.08573,0.557968,0.05,-0.00162983,0.00110877,4.854e-21
1.08573,0.560484,0.05,-0.00163336,0.00111504,4.94024e-21
1.08573,0.562999,0.05,-0.00163093,0.00111786,-1.10204e-21
1.08573,0.565515,0.05,-0.0016283,0.00112048,-4.4724e-21
1.08573,0.568031,0.05,-0.00162081,0.00112039,-2.83624e-21
1.08573,0.570547,0.05,-0.00161303,0.00112005,-2.61477e-21
1.08573,0.573062,0.05,-0.0016015,0.00111771,-4.31627e-21
1.08573,0.575578,0.05,-0.00158923,0.00111488,-4.37805e-21
1.08573,0.578094,0.05,-0.00157436,0.00111076,-2.39068e-21
1.08573,0.58061,0.05,-0.001558,0.00110576,-9.19892e-22
1.08573,0.583125,0.05,-0.00153845,0.00109931,5.29447e-22
1.08573,0.585641,0.05,-0.00152015,0.00109326,2.85343e-21
1.08573,0.588157,0.05,-0.00149999,0.00108634,3.85585e-21
1.08573,0.590673,0.05,-0.00147629,0.00107779,2.24795e-21
1.08573,0.593189,0.05,-0.00145246,0.00106911,1.83679e-21
1.08573,0.595704,0.05,-0.00142475,0.00105873,1.44205e-21
1.08573,0.59822,0.05,-0.00139945,0.00104937,-1.3992e-22
1.08573,0.600736,0.05,-0.00137201,0.00103905,7.8764e-23
1.08573,0.603252,0.05,-0.00134131,0.00102735,5.63721e-21
1.08573,0.605767,0.05,-0.00131024,0.00101548,5.05157e-21
1.08573,0.608283,0.05,-0.00127917,0.00100361,4.46593e-21
1.08573,0.610799,0.05,-0.00124362,0.000989915,-1.55969e-21
1.08573,0.613315,0.05,-0.00120884,0.000976546,-2.73104e-21
1.08573,0.61583,0.05,-0.00117406,0.000963177,-3.90239e-21
1.08573,0.618346,0.05,-0.00113389,0.000947706,-2.11312e-21
1.08573,0.620862,0.05,-0.00109527,0.00093288,-1.93573e-21
