x,y,z,U_0,U_1,U_2
1.48055,0.27039,0.05,-6.07575e-07,3.64521e-07,5.99929e-24
1.48055,0.273158,0.05,-0.00054672,0.000328576,6.61808e-22
1.48055,0.275927,0.05,-0.000958617,0.000576729,-1.93122e-20
1.48055,0.278695,0.05,-0.00125303,0.000754984,-1.78343e-21
1.48055,0.281464,0.05,-0.00145876,0.000880724,8.16008e-21
1.48055,0.284232,0.05,-0.00161888,0.000979253,8.45013e-22
1.48055,0.287,0.05,-0.00173902,0.00105366,-7.82173e-21
1.48055,0.289769,0.05,-0.00182482,0.00110797,-1.64434e-21
1.48055,0.292537,0.05,-0.0019007,0.00115636,2.39015e-21
1.48055,0.295305,0.05,-0.00195415,0.00119131,1.15503e-21
1.48055,0.298074,0.05,-0.00200265,0.00122351,1.77535e-21
1.48055,0.300842,0.05,-0.00203914,0.00124851,2.73148e-21
1.48055,0.303611,0.05,-0.00207155,0.00127124,1.57103e-21
1.48055,0.306379,0.05,-0.00209621,0.00128933,-3.19236e-22
1.48055,0.309147,0.05,-0.00211836,0.00130605,-2.59648e-21
1.48055,0.311916,0.05,-0.00213437,0.00131912,-2.76727e-21
1.48055,0.314684,0.05,-0.00214972,0.00133104,-1.88706e-21
1.48055,0.317452,0.05,-0.00215893,0.00134103,-1.01236e-22
1.48055,0.320221,0.05,-0.0021684,0.00135006,1.59677e-21
1.48055,0.322989,0.05,-0.00217325,0.00135703,3.42081e-21
1.48055,0.325758,0.05,-0.00217748,0.00136335,2.86835e-21
1.48055,0.328526,0.05,-0.00217953,0.00136843,-8.27854e-22
1.48055,0.331294,0.05,-0.00217951,0.00137235,-1.27746e-21
1.48055,0.334063,0.05,-0.00217976,0.0013743,-8.29131e-22
1.48055,0.336831,0.05,-0.00217573,0.00137806,-1.43693e-21
1.48055,0.339599,0.05,-0.00217215,0.00137999,-1.26015e-21
1.48055,0.342368,0.05,-0.00216707,0.00138103,1.04887e-21
1.48055,0.345136,0.05,-0.00216041,0.00138127,1.21622e-21
1.48055,0.347905,0.05,-0.00215376,0.00138131,1.29733e-21
1.48055,0.350673,0.05,-0.00214484,0.00138043,4.71041e-23
1.48055,0.353441,0.05,-0.00213546,0.00137919,-4.06484e-22
1.48055,0.35621,0.05,-0.00212601,0.00137589,-6.88389e-22
1.48055,0.358978,0.05,-0.00211406,0.0013752,-7.34119e-22
1.48055,0.361746,0.05,-0.0021022,0.00137266,-7.22133e-22
1.48055,0.364515,0.05,-0.00208996,0.00136759,-6.62329e-22
1.48055,0.367283,0.05,-0.00207574,0.00136599,-3.47352e-22
1.48055,0.370052,0.05,-0.00206158,0.00136225,1.91965e-22
1.48055,0.37282,0.05,-0.00204683,0.00135566,2.586e-22
1.48055,0.375588,0.05,-0.00203061,0.00135326,-8.5824e-22
1.48055,0.378357,0.05,-0.00201427,0.00134842,-1.19245e-21
1.48055,0.381125,0.05,-0.00199731,0.00134139,-7.3592e-22
1.48055,0.383894,0.05,-0.0019792,0.00133738,-1.81996e-22
1.48055,0.386662,0.05,-0.00196075,0.00133152,-8.26684e-23
1.48055,0.38943,0.05,-0.00194215,0.00132523,1.42421e-23
1.48055,0.392199,0.05,-0.0019219,0.00131863,5.97551e-23
1.48055,0.394967,0.05,-0.00190138,0.00131179,3.62987e-22
1.48055,0.397735,0.05,-0.00188086,0.00130494,6.66219e-22
1.48055,0.400504,0.05,-0.0018585,0.00129558,1.49966e-21
1.48055,0.403272,0.05,-0.00183642,0.00128945,1.88442e-21
1.48055,0.406041,0.05,-0.00181383,0.00128166,1.67638e-21
1.48055,0.408809,0.05,-0.00179019,0.00127214,1.12209e-21
1.48055,0.411577,0.05,-0.00176608,0.0012647,2.23358e-22
1.48055,0.414346,0.05,-0.00174138,0.00125599,3.86586e-22
1.48055,0.417114,0.05,-0.00171669,0.00124728,5.49814e-22
1.48055,0.419882,0.05,-0.00168895,0.00123462,3.53295e-22
1.48055,0.422651,0.05,-0.00166368,0.00122807,6.03979e-22
1.48055,0.425419,0.05,-0.00163683,0.00121847,5.93354e-22
1.48055,0.428188,0.05,-0.00160997,0.00120886,5.82729e-22
1.48055,0.430956,0.05,-0.00157958,0.00119602,5.2974e-22
1.48055,0.433724,0.05,-0.00155178,0.00118755,2.92178e-22
1.48055,0.436493,0.05,-0.00152268,0.00117706,-1.48637e-22
1.48055,0.439261,0.05,-0.00149359,0.00116657,-5.89452e-22
1.48055,0.442029,0.05,-0.00146027,0.00115282,-4.41197e-22
1.48055,0.444798,0.05,-0.00143023,0.00114329,-9.08159e-22
1.48055,0.447566,0.05,-0.00139879,0.00113192,-1.38358e-21
1.48055,0.450335,0.05,-0.00136735,0.00112054,-1.859e-21
1.48055,0.453103,0.05,-0.00133056,0.0011052,-2.75189e-21
1.48055,0.455871,0.05,-0.00129886,0.00109542,-3.06789e-21
1.48055,0.45864,0.05,-0.00126494,0.00108317,-2.40434e-21
1.48055,0.461408,0.05,-0.00123103,0.00107093,-1.74079e-21
1.48055,0.464176,0.05,-0.00118992,0.00105328,-7.0109e-23
1.48055,0.466945,0.05,-0.00115744,0.00104407,1.6518e-21
1.48055,0.469713,0.05,-0.0011209,0.00103095,1.66278e-21
1.48055,0.472482,0.05,-0.00108437,0.00101783,1.67376e-21
1.48055,0.47525,0.05,-0.00104209,0.00100077,5.93699e-22
1.48055,0.478018,0.05,-0.0010049,0.000988659,-1.47706e-21
1.48055,0.480787,0.05,-0.000966401,0.000975369,-1.92509e-21
1.48055,0.483555,0.05,-0.00092707,0.000961379,-2.13748e-21
1.48055,0.486324,0.05,-0.000887104,0.000946998,-2.24484e-21
1.48055,0.489092,0.05,-0.000838406,0.000927623,-3.05546e-22
1.48055,0.49186,0.05,-0.000801198,0.000916563,1.44315e-21
1.48055,0.494629,0.05,-0.000758877,0.000901707,2.10486e-21
1.48055,0.497397,0.05,-0.000716556,0.00088685,2.76656e-21
1.48055,0.500165,0.05,-0.000668073,0.000868588,2.43014e-21
1.48055,0.502934,0.05,-0.000621515,0.000852315,1.44953e-21
1.48055,0.505702,0.05,-0.000579546,0.000838947,1.02408e-21
1.48055,0.508471,0.05,-0.000534018,0.000823231,5.69052e-22
1.48055,0.511239,0.05,-0.00048849,0.000807514,1.14023e-22
1.48055,0.514007,0.05,-0.000432527,0.000786584,-5.52465e-23
1.48055,0.516776,0.05,-0.000385855,0.000771452,-4.89918e-23
1.48055,0.519544,0.05,-0.00033992,0.00075668,1.01179e-22
1.48055,0.522312,0.05,-0.000290948,0.000740114,3.17919e-22
1.48055,0.525081,0.05,-0.000241975,0.000723548,5.34658e-22
1.48055,0.527849,0.05,-0.000180275,0.000701214,1.20063e-21
1.48055,0.530618,0.05,-0.00013015,0.000685237,9.11955e-22
1.48055,0.533386,0.05,-8.14619e-05,0.000669957,6.80582e-22
1.48055,0.536154,0.05,-2.87884e-05,0.00065256,8.31592e-22
1.48055,0.538923,0.05,2.38851e-05,0.000635162,9.82602e-22
1.48055,0.541691,0.05,8.87561e-05,0.000612734,1.27613e-21
1.48055,0.544459,0.05,0.00014689,0.000593907,1.25865e-21
1.48055,0.547228,0.05,0.000196652,0.000579011,8.31319e-22
1.48055,0.549996,0.05,0.000253296,0.000560809,3.00796e-22
1.48055,0.552765,0.05,0.000309941,0.000542608,-2.29727e-22
1.48055,0.555533,0.05,0.000374488,0.000521434,-7.44107e-22
1.48055,0.558301,0.05,0.000446491,0.000497752,-1.04616e-21
1.48055,0.56107,0.05,0.000495714,0.000483872,-5.71246e-22
1.48055,0.563838,0.05,0.000556035,0.000465154,-5.35499e-22
1.48055,0.566606,0.05,0.000616924,0.000446188,-5.22224e-22
1.48055,0.569375,0.05,0.000677813,0.000427223,-5.08948e-22
1.48055,0.572143,0.05,0.000760168,0.000400888,-6.72957e-22
1.48055,0.574912,0.05,0.000822563,0.000382449,-6.10144e-22
1.48055,0.57768,0.05,0.000880008,0.000365935,-3.63792e-22
1.48055,0.580448,0.05,0.000945412,0.000346261,1.33161e-23
1.48055,0.583217,0.05,0.00101082,0.000326588,3.90424e-22
1.48055,0.585985,0.05,0.00108467,0.000304265,7.91506e-22
1.48055,0.588754,0.05,0.00117427,0.00027702,1.24376e-21
1.48055,0.591522,0.05,0.00123093,0.000261609,2.54157e-21
1.48055,0.59429,0.05,0.0012958,0.000243225,2.71037e-21
1.48055,0.597059,0.05,0.00136598,0.000222917,2.1479e-21
1.48055,0.599827,0.05,0.00143616,0.000202608,1.58543e-21
1.48055,0.602595,0.05,0.00152122,0.000178048,9.03738e-24
1.48055,0.605364,0.05,0.00161231,0.000151993,-2.40408e-21
1.48055,0.608132,0.05,0.0016731,0.00013591,-5.19548e-21
1.48055,0.610901,0.05,0.00174346,0.000116657,-5.91515e-21
1.48055,0.613669,0.05,0.00181865,9.58064e-05,-5.59072e-21
1.48055,0.616437,0.05,0.00189384,7.4956e-05,-5.2663e-21
1.48055,0.619206,0.05,0.00198612,4.96691e-05,-3.05483e-21
1.48055,0.621974,0.05,0.00208505,2.28229e-05,3.37592e-22
1.48055,0.624742,0.05,0.00215021,6.15395e-06,3.62078e-21
1.48055,0.627511,0.05,0.00222361,-1.30033e-05,5.35224e-21
1.48055,0.630279,0.05,0.00230402,-3.42817e-05,5.76098e-21
1.48055,0.633048,0.05,0.00238443,-5.55601e-05,6.16971e-21
1.48055,0.635816,0.05,0.00247887,-8.01402e-05,5.19926e-21
1.48055,0.638584,0.05,0.00258874,-0.000108345,2.71459e-21
1.48055,0.641353,0.05,0.00266302,-0.00012674,3.05633e-22
1.48055,0.644121,0.05,0.00273647,-0.000144906,-1.67633e-21
1.48055,0.646889,0.05,0.00282225,-0.000166475,-2.25713e-21
1.48055,0.649658,0.05,0.00290803,-0.000188045,-2.83793e-21
1.48055,0.652426,0.05,0.0029987,-0.00021065,-3.16965e-21
1.48055,0.655195,0.05,0.00311529,-0.000238744,-2.18066e-21
1.48055,0.657963,0.05,0.00321167,-0.000261746,-1.37609e-21
1.48055,0.660731,0.05,0.00328626,-0.000279258,-7.70383e-22
