x,y,z,U_0,U_1,U_2
6.2189,0,0.05,0,0,0
6.2189,0.00303904,0.05,0.00137461,-1.37802e-07,3.73865e-24
6.2189,0.00607808,0.05,0.00232014,-5.39324e-07,-1.66951e-23
6.2189,0.00911712,0.05,0.00295063,-1.21279e-06,-1.50619e-23
6.2189,0.0121562,0.05,0.00338665,-2.11423e-06,2.1711e-23
6.2189,0.0151952,0.05,0.00371162,-3.19434e-06,3.07573e-23
6.2189,0.0182342,0.05,0.00396928,-4.41416e-06,7.31608e-24
6.2189,0.0212733,0.05,0.00418067,-5.75465e-06,1.72395e-23
6.2189,0.0243123,0.05,0.00435292,-7.2188e-06,1.28865e-23
6.2189,0.0273514,0.05,0.00450663,-8.75403e-06,-9.28061e-24
6.2189,0.0303904,0.05,0.00464551,-1.03488e-05,-3.53191e-23
6.2189,0.0334294,0.05,0.00476541,-1.2036e-05,-1.2485e-23
6.2189,0.0364685,0.05,0.00487625,-1.37687e-05,1.65437e-23
6.2189,0.0395075,0.05,0.00498014,-1.55432e-05,4.79139e-23
6.2189,0.0425465,0.05,0.00507226,-1.73869e-05,-1.85496e-24
6.2189,0.0455856,0.05,0.00516125,-1.92515e-05,-4.61329e-23
6.2189,0.0486246,0.05,0.0052429,-2.1173e-05,-5.00356e-23
6.2189,0.0516637,0.05,0.00532078,-2.31186e-05,-2.23774e-23
6.2189,0.0547027,0.05,0.0053945,-2.51024e-05,2.65752e-23
6.2189,0.0577417,0.05,0.00546422,-2.71148e-05,1.25037e-23
6.2189,0.0607808,0.05,0.00553144,-2.91551e-05,-2.89519e-23
6.2189,0.0638198,0.05,0.00559506,-3.12228e-05,-2.29314e-23
6.2189,0.0668589,0.05,0.00565689,-3.33142e-05,-4.84586e-24
6.2189,0.0698979,0.05,0.00571587,-3.54274e-05,-1.12454e-23
6.2189,0.0729369,0.05,0.00577319,-3.75653e-05,-2.58058e-23
6.2189,0.075976,0.05,0.00582857,-3.9716e-05,-1.80099e-23
6.2189,0.079015,0.05,0.00588208,-4.1896e-05,2.60817e-23
6.2189,0.0820541,0.05,0.00593466,-4.40774e-05,7.76733e-23
6.2189,0.0850931,0.05,0.00598491,-4.62956e-05,7.98497e-23
6.2189,0.0881321,0.05,0.00603516,-4.85138e-05,8.2026e-23
6.2189,0.0911712,0.05,0.00608274,-5.07548e-05,9.29281e-24
6.2189,0.0942102,0.05,0.00613021,-5.30075e-05,-4.62447e-23
6.2189,0.0972492,0.05,0.00617639,-5.52654e-05,-5.03375e-23
6.2189,0.100288,0.05,0.00622146,-5.75492e-05,-2.4731e-23
6.2189,0.103327,0.05,0.00626645,-5.98231e-05,1.76183e-24
6.2189,0.106366,0.05,0.00630952,-6.21321e-05,-4.16053e-23
6.2189,0.109405,0.05,0.00635252,-6.44437e-05,-8.50749e-23
6.2189,0.112444,0.05,0.00639488,-6.67501e-05,-1.00432e-22
6.2189,0.115483,0.05,0.00643608,-6.90863e-05,-1.90369e-23
6.2189,0.118523,0.05,0.00647728,-7.14224e-05,6.23579e-23
6.2189,0.121562,0.05,0.00651756,-7.3756e-05,1.59216e-22
6.2189,0.124601,0.05,0.00655721,-7.61136e-05,2.002e-22
6.2189,0.12764,0.05,0.00659686,-7.84712e-05,2.41183e-22
6.2189,0.130679,0.05,0.00663554,-8.08251e-05,9.80489e-23
6.2189,0.133718,0.05,0.00667384,-8.32009e-05,-8.41793e-23
6.2189,0.136757,0.05,0.00671214,-8.55768e-05,-2.66407e-22
6.2189,0.139796,0.05,0.00674961,-8.79451e-05,-2.74411e-22
6.2189,0.142835,0.05,0.00678675,-9.03361e-05,-1.74507e-22
6.2189,0.145874,0.05,0.00682388,-9.27272e-05,-7.46032e-23
6.2189,0.148913,0.05,0.00686043,-9.51052e-05,4.49567e-23
6.2189,0.151952,0.05,0.00689655,-9.75083e-05,1.11577e-22
6.2189,0.154991,0.05,0.00693268,-9.99114e-05,1.78198e-22
6.2189,0.15803,0.05,0.00696853,-0.000102295,1.79024e-22
6.2189,0.161069,0.05,0.00700378,-0.000104707,8.63839e-23
6.2189,0.164108,0.05,0.00703904,-0.000107119,-6.25599e-24
6.2189,0.167147,0.05,0.0070743,-0.000109531,-9.88959e-23
6.2189,0.170186,0.05,0.00710888,-0.000111924,-7.62968e-23
6.2189,0.173225,0.05,0.00714339,-0.000114342,-4.77224e-23
6.2189,0.176264,0.05,0.00717791,-0.00011676,-1.9148e-23
6.2189,0.179303,0.05,0.00721219,-0.000119152,-3.44039e-24
6.2189,0.182342,0.05,0.00724608,-0.000121572,-3.85911e-24
6.2189,0.185381,0.05,0.00727997,-0.000123993,-4.27782e-24
6.2189,0.18842,0.05,0.00731386,-0.000126413,-4.69653e-24
6.2189,0.191459,0.05,0.00734738,-0.000128804,-4.24159e-24
6.2189,0.194498,0.05,0.00738075,-0.000131223,-3.3043e-24
