y,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5
0,0,0,0,0,0,0
0.00048240845,4.8257801e-06,4.5536385e-10,5.3588864e-27,9.0394962e-12,-5.9477553e-29,4.8013265e-45
0.00098049384,1.6348908e-05,1.6048217e-09,6.4480914e-27,5.11315e-11,-6.6208255e-29,7.668961e-45
0.0014947656,3.5749861e-05,5.0670584e-09,1.1279705e-27,2.1551206e-10,-4.3634289e-30,3.8661626e-45
0.0020257498,6.3327544e-05,1.3117686e-08,0,6.5878873e-10,0,0
0.0025739895,9.9416271e-05,2.9115243e-08,9.7802596e-27,1.6137707e-09,-2.1735298e-29,7.262689e-45
0.0031400454,0.00014437594,5.7652099e-08,2.564737e-26,3.4055737e-09,-8.3065029e-30,8.5213417e-45
0.0037244966,0.00019858704,1.0468944e-07,1.7915283e-26,6.4639352e-09,5.0736132e-29,3.8858416e-45
0.0043279408,0.0002624467,1.7781446e-07,2.4023726e-26,1.1329477e-08,8.8566223e-29,3.7397859e-45
0.0049509953,0.00033636334,2.8634034e-07,5.0032659e-26,1.8667959e-08,1.8765378e-28,2.371393e-45
0.0055942973,0.00042074773,4.416106e-07,3.2494613e-26,2.9277816e-08,1.6597101e-28,1.4436304e-45
0.0062585048,0.00051599776,6.5706486e-07,5.2743899e-28,4.4097268e-08,-6.1436532e-29,2.2435518e-45
0.0069442972,0.0006224741,9.4833966e-07,-6.2177369e-27,6.4208287e-08,3.0358947e-29,1.0459175e-44
0.007652376,0.00074046327,1.3330654e-06,7.8382833e-27,9.0837128e-08,3.7280311e-28,1.5681442e-44
0.0083834654,0.00087012583,1.8305564e-06,-1.1839505e-27,1.2534728e-07,-3.5969504e-29,1.4118863e-44
0.0091383131,0.0010114287,2.4611584e-06,-1.1414608e-26,1.6922665e-07,-2.8800618e-28,6.8409975e-45
0.0099176913,0.0011640666,3.2451328e-06,-9.7513895e-26,2.2406918e-07,-6.5556565e-28,2.7654937e-45
0.010722397,0.0013273836,4.2016652e-06,-9.4763451e-26,2.9155693e-07,-8.7408028e-28,8.9360329e-45
0.011553254,0.0015003141,5.3472466e-06,-8.5845014e-26,3.7343513e-07,-1.0172924e-27,1.0978173e-44
0.012411111,0.0016813672,6.6943305e-06,1.3938245e-25,4.7146084e-07,1.1458705e-27,1.0246227e-44
0.013296846,0.0018686712,8.2497441e-06,3.4460845e-25,5.8737839e-07,3.1015252e-27,8.4244782e-45
0.014211364,0.0020600808,1.0015588e-05,7.5223384e-26,7.2290388e-07,4.0735145e-28,7.7604331e-45
0.015155603,0.0022533298,1.1989808e-05,2.0400498e-25,8.7972422e-07,1.7728674e-27,1.5272507e-44
0.016130526,0.0024461956,1.4167674e-05,2.4573215e-25,1.0595028e-06,2.5243832e-27,1.0513532e-44
0.017137132,0.0026366442,1.6542717e-05,0,1.2639174e-06,0,0
0.018176449,0.0028229303,1.91078e-05,0,1.4946443e-06,0,0
0.019249542,0.0030036514,2.1855705e-05,5.4145152e-25,1.7533415e-06,5.6667672e-27,1.2534691e-44
0.020357507,0.0031777575,2.4779895e-05,4.968674e-25,2.0416838e-06,4.6968451e-27,2.4229574e-44
0.021501477,0.0033445306,2.7874614e-05,-4.4559827e-26,2.3613969e-06,-9.6980616e-28,1.1695008e-44
0.022682624,0.0035035451,3.1135032e-05,-2.0765715e-27,2.7142876e-06,3.0241065e-28,1.1202847e-44
0.023902154,0.0036546202,3.4557632e-05,-2.0972882e-27,3.102193e-06,3.0098392e-28,1.1203062e-44
0.025161316,0.0037977707,3.8139152e-05,0,3.5269657e-06,0,0
0.026461397,0.0039331616,4.187717e-05,-2.1399125e-25,3.9904783e-06,-2.1193419e-27,2.0461424e-44
0.027803728,0.0040610682,4.5769305e-05,-2.1065996e-25,4.4946153e-06,-2.7395696e-27,5.4879401e-44
0.02918968,0.0041818427,4.9814274e-05,-4.6995242e-25,5.0412694e-06,-7.4554408e-27,5.0514794e-44
0.030620672,0.0042958865,5.4011488e-05,-1.4299785e-26,5.6323833e-06,-6.2107544e-28,3.1019159e-44
0.032098167,0.0044036285,5.8360966e-05,3.8304951e-25,6.2698996e-06,4.995367e-27,1.74652e-44
0.033623676,0.0045055091,6.2862742e-05,2.74986e-25,6.9557554e-06,3.5852535e-27,1.323656e-44
0.03519876,0.0046019674,6.7517117e-05,1.3403593e-26,7.6918838e-06,-7.4864569e-28,2.5529365e-44
0.03682503,0.0046934331,7.2324463e-05,-2.6735424e-25,8.4801841e-06,-3.5207499e-27,3.6002884e-44
0.03850415,0.0047803204,7.7284765e-05,3.8225199e-25,9.3224885e-06,7.5847791e-27,3.419616e-44
0.040237836,0.0048630241,8.2397927e-05,-5.4297888e-26,1.02205e-05,-1.2602911e-27,2.3300267e-44
0.042027862,0.0049419163,8.766265e-05,-4.3067998e-25,1.1175831e-05,-8.2306034e-27,1.2029394e-44
0.043876059,0.0050173481,9.3078921e-05,2.1320067e-25,1.2189977e-05,3.2762808e-27,9.0150639e-45
0.045784317,0.0050896498,9.8645307e-05,-2.5903342e-25,1.3264282e-05,-6.1499213e-27,4.7802768e-44
0.047754588,0.0051591299,0.00010435929,-5.3571872e-25,1.4399891e-05,-1.0835318e-26,4.0699375e-44
0.049788888,0.005226076,0.00011021796,0,1.5597684e-05,0,0
0.051889297,0.0052907546,0.00011621699,-5.945806e-25,1.6858252e-05,-1.2220205e-26,2.7542767e-44
