x,wallShearStress_0,wallShearStress_1,wallShearStress_2
0.10000458,-6.1820051e-12,1.0974449e-13,1.4266184e-30
0.39775998,-5.3289211e-12,3.049998e-12,8.6556825e-31
0.70039081,-2.3305752e-12,1.9851974e-12,-5.3181743e-31
0.99909327,-1.6608262e-12,1.2904856e-12,-1.0167949e-32
1.3017854,-1.1342795e-12,7.7213029e-13,1.4653565e-30
1.6007759,-9.2012699e-13,3.4463447e-13,3.9843838e-32
1.9000332,-1.06552e-12,3.8072471e-14,6.4906374e-31
2.2,-1.5470524e-12,4.6990634e-16,2.7236647e-36
2.5,-1.7664006e-12,2.6906575e-16,9.5157666e-34
2.8,-1.8968395e-12,1.6306321e-16,3.4892215e-37
3.1,-1.9761552e-12,9.8610137e-17,2.6899119e-33
3.4,-2.023707e-12,5.8125931e-17,-1.9520811e-32
3.7,-2.051202e-12,3.2721878e-17,4.0760373e-33
4,-2.0661173e-12,1.6646869e-17,2.6223551e-38
4.3,-2.0728379e-12,5.5984102e-18,6.8435918e-34
4.6,-2.0736046e-12,-3.0627889e-18,7.2107565e-34
4.9,-2.0687956e-12,-1.2736346e-17,2.311398e-33
5.2,-2.0568703e-12,-2.6546662e-17,-3.0276241e-37
5.5,-2.034205e-12,-4.8202061e-17,1.5583972e-32
5.8,-1.9945194e-12,-8.2727981e-17,-1.898748e-32
6.1,-1.9276319e-12,-1.3779673e-16,-6.1044695e-37
6.4,-1.8173428e-12,-2.2692001e-16,-9.7163916e-30
6.7,-1.6343399e-12,-3.8402236e-16,-7.9912061e-37
7,-1.2955889e-12,-1.0174544e-15,7.614605e-38
7.2998928,-9.1834559e-13,-2.4086927e-13,-2.4419086e-31
7.6001892,-1.0202004e-12,-6.0740029e-13,1.0291159e-30
7.8995713,-1.4765603e-12,-1.1325326e-12,-1.2448822e-30
8.2014087,-2.0379915e-12,-1.6713079e-12,-7.5702773e-31
8.7994087,-6.8970874e-12,-9.058972e-13,2.7790588e-33
