y,k,kMean
-5.2554039e-17,1e-10,1e-10
0.00024233637,3.8012641e-11,9.2623569e-11
0.00048856526,2.7085481e-10,7.0004714e-10
0.00073874919,1.1013701e-09,2.8498798e-09
0.00099295171,3.1087305e-09,8.0433679e-09
0.0012512373,7.0151847e-09,1.8146275e-08
0.0015136717,1.3670615e-08,3.5349935e-08
0.0017803214,2.4052121e-08,6.2167711e-08
0.0020512541,3.926848e-08,1.01443e-07
0.0023265387,6.0566949e-08,1.5636218e-07
0.0026062451,8.9341521e-08,2.3046999e-07
0.0028904442,1.2714227e-07,3.2768619e-07
0.0031792083,1.7568562e-07,4.5232258e-07
0.0034726106,2.3686534e-07,6.0909983e-07
0.0037707257,3.1276435e-07,8.0316334e-07
0.0040736293,4.05667e-07,1.0400976e-06
0.0043813983,5.1807209e-07,1.325938e-06
0.0046941108,6.5270619e-07,1.6671801e-06
0.0050118462,8.1253748e-07,2.0707838e-06
0.0053346853,1.0007899e-06,2.5441738e-06
0.0056627099,1.2209574e-06,3.0952324e-06
0.0059960035,1.4768182e-06,3.732286e-06
0.0063346505,1.7724493e-06,4.4640824e-06
0.0066787371,2.1122401e-06,5.2997581e-06
0.0070283505,2.5009047e-06,6.2487942e-06
0.0073835797,2.9434938e-06,7.3209591e-06
0.0077445146,3.4454078e-06,8.5262377e-06
0.0081112471,4.0124076e-06,9.8747511e-06
0.0084838703,4.6506221e-06,1.1376666e-05
0.0088624786,5.3665547e-06,1.3042069e-05
0.0092471684,6.1670863e-06,1.4880877e-05
0.0096380372,7.0594766e-06,1.6902736e-05
0.010035184,8.0513607e-06,1.9116864e-05
0.010438711,9.1507419e-06,2.1531905e-05
0.010848719,1.036598e-05,2.4155817e-05
0.011265312,1.1705773e-05,2.6995749e-05
0.011688598,1.3179133e-05,3.0057914e-05
0.012118682,1.4795358e-05,3.3347472e-05
0.012555674,1.656399e-05,3.6868426e-05
0.012999686,1.8494769e-05,4.0623579e-05
0.01345083,2.059758e-05,4.461452e-05
0.01390922,2.2882383e-05,4.8841694e-05
0.014374973,2.5359135e-05,5.3304478e-05
0.014848207,2.8037706e-05,5.8001252e-05
0.015329042,3.0927771e-05,6.2929535e-05
0.015817601,3.4038703e-05,6.8086163e-05
0.016314007,3.7379443e-05,7.3467459e-05
0.016818387,4.0958363e-05,7.9069315e-05
0.017330868,4.4783117e-05,8.4887387e-05
0.017851582,4.8860476e-05,9.09173e-05
0.018380659,5.3196163e-05,9.7154738e-05
0.018918234,5.7794674e-05,0.00010359555
0.019464444,6.2659104e-05,0.0001102359
0.020019428,6.7790964e-05,0.00011707265
0.020583326,7.319002e-05,0.00012410332
0.021156282,7.8854143e-05,0.00013132557
0.02173844,8.4779179e-05,0.00013873705
0.02232995,9.0958867e-05,0.00014633542
0.022930961,9.7384799e-05,0.00015411826
0.023541625,0.00010404644,0.00016208306
0.024162099,0.00011093121,0.00017022714
0.024792538,0.00011802469,0.00017854739
0.025433104,0.00012531082,0.00018704043
0.026083959,0.0001327723,0.00019570258
0.026745269,0.00014039093,0.00020452982
0.027417201,0.00014814814,0.00021351784
0.028099925,0.00015602544,0.00022266217
0.028793616,0.00016400491,0.00023195808
0.029498449,0.00017207294,0.00024140071
0.030214604,0.0001802264,0.00025098523
0.030942262,0.00018847358,0.0002607072
0.031681608,0.00019683275,0.00027056305
0.03243283,0.00020532322,0.00028054927
0.033196118,0.00021395147,0.00029066186
0.033971666,0.00022271789,0.00030089647
0.034759672,0.00023161805,0.00031124838
0.035560335,0.00024063716,0.00032171327
0.036373858,0.00024975794,0.0003322871
0.037200449,0.00025896399,0.00034296573
0.038040317,0.00026823972,0.00035374556
0.038893675,0.00027757028,0.00036462402
0.03976074,0.00028694174,0.00037559861
0.040641733,0.00029634107,0.00038666622
0.041536876,0.00030575613,0.00039782434
0.042446398,0.00031517561,0.00040907229
0.043370529,0.00032458902,0.00042041164
0.044309504,0.00033398662,0.00043184471
0.045263561,0.00034335944,0.00044337327
0.046232942,0.00035269925,0.00045499849
0.047217894,0.00036199855,0.00046672044
0.048218667,0.00037125058,0.00047853706
0.049235515,0.00038044939,0.00049044319
0.050268696,0.00038958987,0.00050243277
0.051318472,0.00039866774,0.00051450067
0.052385111,0.0004076797,0.0005266404
0.053468882,0.00041662345,0.00053884279
0.054570061,0.00042549776,0.00055109813
0.055688928,0.0004343026,0.00056339918
0.056825767,0.00044303912,0.00057574046
0.057980866,0.00045170982,0.0005881185
0.059154519,0.00046031858,0.0006005337
0.060347024,0.00046887067,0.00061298827
0.061558683,0.00047737288,0.00062548217
0.062789805,0.00048583346,0.00063801115
0.064040701,0.00049426218,0.00065056621
0.06531169,0.00050267028,0.00066313445
0.066603094,0.00051107044,0.00067570257
0.067915242,0.00051947672,0.00068826193
0.069248465,0.00052790441,0.00070081162
0.070603104,0.00053636997,0.00071335596
0.071979501,0.00054489079,0.00072589935
0.073378007,0.00055348501,0.00073844506
0.074798976,0.00056217119,0.00075099681
0.07624277,0.00057096798,0.00076355807
0.077709754,0.00057989351,0.00077613125
0.079200302,0.00058896466,0.0007887168
0.080714792,0.00059819594,0.00080131112
0.082253608,0.00060759802,0.00081390584
0.083817142,0.00061717582,0.000826487
0.085405789,0.00062692762,0.000839033
0.087019955,0.00063685071,0.00085151423
0.088660047,0.00064694979,0.0008638956
0.090326484,0.00065723165,0.00087613968
0.092019688,0.00066769747,0.00088821433
0.093740089,0.0006783432,0.00090010461
0.095488124,0.00068915934,0.00091181333
0.097264236,0.00070013116,0.00092334914
0.099068878,0.00071123935,0.00093472096
0.10090251,0.00072246104,0.00094593593
0.10276559,0.00073377073,0.00095699834
0.10465859,0.00074514104,0.00096791327
0.10658201,0.00075654306,0.00097868729
0.10853631,0.00076794635,0.00098932549
0.11052201,0.00077931896,0.00099983332
0.11253961,0.00079062748,0.0010102194
0.11458961,0.00080183746,0.0010204925
0.11667254,0.00081291405,0.0010306597
0.11878893,0.00082382297,0.0010407295
0.12093931,0.00083453162,0.0010507123
0.12312423,0.00084501038,0.0010606181
0.12534425,0.00085523357,0.001070456
0.12759992,0.00086517997,0.0010802347
0.12989183,0.00087482845,0.0010899629
0.13222055,0.00088413118,0.00109965
0.13458668,0.00089305092,0.0011093053
0.13699081,0.00090160432,0.0011189366
0.13943356,0.00090982864,0.0011285536
0.14191555,0.00091776728,0.0011381671
0.1444374,0.0009254734,0.0011477863
0.14699976,0.00093300995,0.0011574214
0.14960327,0.00094044983,0.0011670826
0.15224861,0.00094787613,0.0011767795
0.15493644,0.00095538088,0.0011865236
0.15766744,0.00096306235,0.0011963269
0.1604423,0.00097102142,0.0012062015
0.16326174,0.00097935803,0.0012161612
0.16612647,0.00098816898,0.0012262186
0.16903721,0.00099754551,0.0012363852
0.1719947,0.0010075692,0.0012466732
0.17278523,0.0010103925,0.0012494155
0.1749997,0.0010183187,0.0012571063
0.17805296,0.00102984,0.0012676896
0.18115527,0.0010421742,0.0012784307
0.18430741,0.0010553536,0.0012893416
0.18751018,0.0010693944,0.0013004347
0.1907644,0.0010843034,0.001311721
0.19407088,0.00110008,0.0013232107
0.19743048,0.0011167102,0.001334914
0.20084404,0.0011341703,0.0013468403
0.20431243,0.0011524374,0.0013589974
0.20783653,0.0011714792,0.0013713894
0.21141724,0.0011912502,0.0013840172
0.21505546,0.0012117162,0.0013968806
0.21875212,0.0012328332,0.0014099766
0.22250816,0.0012545267,0.0014232985
0.22632453,0.0012767378,0.0014368382
0.2302022,0.001299406,0.0014505874
0.23414215,0.001322475,0.0014645378
0.23814539,0.0013459136,0.0014786807
0.24221294,0.0013696859,0.0014930062
0.24634581,0.0013937486,0.0015075047
0.25054508,0.0014180554,0.0015221667
0.25481179,0.0014425598,0.0015369827
0.25914703,0.0014672163,0.0015519425
0.26355191,0.001491981,0.0015670378
0.26802755,0.0015168119,0.0015822656
0.27257507,0.0015416688,0.0015976333
0.27719564,0.0015665137,0.0016131607
0.28189043,0.0015913104,0.0016288775
0.28666062,0.0016160245,0.0016448163
0.29150744,0.0016406236,0.0016610101
0.29643211,0.0016650769,0.0016774917
0.30143588,0.0016893551,0.0016942894
0.30652003,0.0017134304,0.001711428
0.31168584,0.0017372759,0.0017289304
0.31693462,0.0017608661,0.0017468202
0.32226771,0.001784176,0.0017651249
0.32768647,0.0018071814,0.0017838747
0.33319226,0.0018298584,0.0018031015
0.33878649,0.0018521835,0.001822838
0.34447058,0.0018741332,0.0018431179
0.35024597,0.0018956839,0.0018639733
0.35611413,0.0019168118,0.0018854322
0.36207654,0.0019374929,0.0019075124
0.36813472,0.0019577027,0.001930212
0.37429022,0.0019774161,0.001953535
0.38054458,0.0019966073,0.001977522
0.38689941,0.0020152499,0.0020022175
0.39335631,0.0020333166,0.0020276403
0.39991692,0.0020507794,0.0020537927
0.40658292,0.0020676092,0.0020806772
0.41335599,0.0020837759,0.0021083123
0.42023785,0.0020992483,0.0021367407
0.42723025,0.0021139942,0.0021660351
0.43433496,0.00212798,0.0021963002
0.44155379,0.0021411706,0.0022276614
0.44888858,0.0021535298,0.0022602442
0.45634118,0.0021650197,0.0022941667
0.46391349,0.0021756009,0.0023295381
0.47160743,0.0021852321,0.0023664395
0.47942495,0.0021938704,0.002404912
0.48736804,0.0022014713,0.002444954
0.49543872,0.0022079882,0.0024865338
0.50363903,0.0022133729,0.0025296986
0.50880976,0.002215982,0.002557616
0.51197106,0.002217568,0.002574682
0.52043692,0.002220517,0.0026218031
0.52903876,0.0022221793,0.0026713217
0.53777878,0.0022225013,0.0027234645
0.54665917,0.0022214287,0.0027784888
0.55568221,0.0022189073,0.0028366573
0.56485018,0.0022148836,0.002898177
0.57416542,0.0022093059,0.0029631836
0.58363027,0.0022021264,0.0030317714
0.59324716,0.0021933045,0.0031040064
0.60301852,0.002182812,0.0031799179
